male_bleached_K5_03	female_bleached_K5_06	female_bleached_K5_04	male_bleached_K5_02	male_bleached_K5_01	female_bleached_K5_05
TRINITY_DN173292_c2_g1	-0.829261681991328	0.654618571822776	0.688265988345938	-0.829261681991328	-0.829261681991328	1.14490048580527
TRINITY_DN162207_c6_g1	-0.8386958969435	-0.0479238590815004	1.42012449993291	-0.8386958969435	-0.8386958969435	1.14388704997909
TRINITY_DN154947_c5_g1	2.28415151006809	-1.65121394086204	-1.65121394086204	1.10772877601031	1.39055470908959	-1.4800071134439
TRINITY_DN162520_c2_g3	-2.12943034238719	1.92376790079454	1.98160097000155	-2.12943034238719	-2.12943034238719	2.48292215636547
TRINITY_DN168468_c8_g4	0.0722960448168732	-1.09441940014955	-1.09441940014955	1.35659384279442	1.85436831283735	-1.09441940014955
TRINITY_DN168018_c2_g4	-1.65279772631223	1.35438092619719	1.12443057294978	-0.723504583651563	-1.08915833087988	0.9866491416967
TRINITY_DN159216_c9_g2	-1.09157127525909	-0.473332619663636	3.24506917114964	-1.09157127525909	-1.09157127525909	0.502977274291263
TRINITY_DN156444_c3_g1	0.584608606367842	-0.931910891293254	-0.931910891293254	-0.118796699946965	2.32992076745888	-0.931910891293254
TRINITY_DN165864_c0_g1	-0.944916337584738	1.2548345191311	0.316313571402308	-0.944916337584738	-0.944916337584738	1.26360092222081
TRINITY_DN191284_c3_g1	-0.00105151918804869	-1.15052026048813	-1.31520525708963	0.665981259156791	3.09265372298483	-1.29185794537581
TRINITY_DN180905_c1_g4	-1.32809622432601	-0.00098375357892877	1.36075551953987	-1.32809622432601	-1.32809622432601	2.6245169070171
TRINITY_DN193207_c5_g1	1.34337579275538	-1.42088128470696	-1.40023630640793	1.88604677774758	0.505729574859	-0.914034554247075
TRINITY_DN167620_c1_g1	-0.834041524590165	1.11119159854473	0.536122755950045	-0.834041524590165	-0.834041524590165	0.854810219275716
TRINITY_DN174955_c5_g1	2.30259156462478	-1.21543992797739	-1.21543992797739	1.40795875439988	-0.0642305350924943	-1.21543992797739
TRINITY_DN176139_c5_g2	0.389158988145913	-0.859982915134435	-0.859982915134435	1.13965636601361	1.05113339124378	-0.859982915134435
TRINITY_DN181320_c3_g5	-0.0692440017189047	-0.952082657486156	-0.952082657486156	1.91225208329627	1.0132398908811	-0.952082657486156
TRINITY_DN197952_c8_g1	1.91378754606887	-1.48182370243493	-1.48182370243493	1.58581501444043	0.876853868880301	-1.41280902451975
TRINITY_DN178337_c3_g1	1.46047079404931	-1.67979466512022	-1.695576354388	1.41066570559581	1.54893682449069	-1.0447023046276
TRINITY_DN198914_c3_g1	3.10386327401626	-2.75672713535859	-2.30571389241462	2.7073202733035	1.62504074624305	-2.3737832657896
TRINITY_DN160077_c10_g1	-0.950376415435089	1.31145524331705	0.207314098146965	-0.950376415435089	-0.950376415435089	1.33235990484125
TRINITY_DN173526_c2_g4	-1.79127388072991	1.77602817677562	1.93871386222781	-1.79127388072991	-1.79127388072991	1.65907960318629
TRINITY_DN159565_c0_g2	5.92855387525383	-3.05560430075691	-3.59355944158463	-2.46780656338403	5.02332793118544	-1.83491150071371
TRINITY_DN180934_c6_g1	-1.39290169153446	2.4168214276035	-1.12386854507922	-1.39290169153446	-1.39290169153446	2.88575219207909
TRINITY_DN156709_c0_g1	-1.99053408036586	1.5922443168649	2.53015358536244	-2.33195060484458	-2.33195060484458	2.53203738782767
TRINITY_DN192047_c0_g8	-1.66785316120474	1.72226419246159	0.200043302787914	-1.66785316120474	-1.66785316120474	3.08125198836472
TRINITY_DN180836_c2_g3	1.89490430250673	-1.534711661695	-1.50614250949823	1.12384259895589	1.55681893142561	-1.534711661695
TRINITY_DN173461_c1_g1	0.477123460821251	-1.0742695072062	-1.0742695072062	0.997836293274216	1.74784876752314	-1.0742695072062
TRINITY_DN166986_c2_g1	1.12241966761441	-1.10778334575201	-1.10778334575201	0.44655991991075	1.75437044973089	-1.10778334575201
TRINITY_DN171460_c12_g2	0.927469361071014	-1.00307875817684	-1.00307875817684	0.05627651943958	2.02549039401993	-1.00307875817684
TRINITY_DN173282_c4_g1	-1.14024156845369	1.38832975041707	0.56595741897609	-1.14024156845369	-1.14024156845369	1.4664375359679
TRINITY_DN160679_c5_g1	-0.223326865495438	-1.20590981241803	-1.20590981241803	3.12134640316462	0.719709899584907	-1.20590981241803
TRINITY_DN157427_c4_g1	0.315467448144001	-0.784837457651685	-0.784837457651685	0.8020473552005	1.23699756961055	-0.784837457651685
TRINITY_DN194356_c1_g1	-1.35727550477506	1.76413572719169	1.4380326008155	-0.726731043934274	-2.02578186393336	0.907620084635506
TRINITY_DN166007_c10_g1	-0.857497298293962	1.20910858591047	-0.0642256437958795	-0.857497298293962	-0.857497298293962	1.42760895276729
TRINITY_DN184437_c7_g2	1.04746978929195	-0.940214888274812	-0.940214888274812	0.887604136342508	0.885570739189979	-0.940214888274812
TRINITY_DN178189_c11_g2	0.997009215446355	-1.20775753520826	-1.20775753520826	1.86537716942196	0.760886220756459	-1.20775753520826
TRINITY_DN173049_c1_g4	0.742141287607778	-1.03732856968739	-1.03732856968739	2.24496295482748	0.124881466626915	-1.03732856968739
TRINITY_DN178337_c3_g4	1.38712779030274	-1.36111873996396	-1.36111873996396	1.08778221118117	1.60844621840796	-1.36111873996396
TRINITY_DN168832_c0_g1	-0.868500330648199	1.01081334566269	1.24719882278339	-0.868500330648199	-0.868500330648199	0.347488823498522
TRINITY_DN174467_c4_g1	0.230524653967739	-1.0391069969727	-1.0391069969727	1.74162303950368	1.14517329744668	-1.0391069969727
TRINITY_DN194968_c3_g4	1.02665714858958	-0.881002679263708	-0.881002679263708	0.161641658144786	1.45470923105675	-0.881002679263708
