UniqueCount	AmbigCount
0	0
4	0
0	0
0	0
2	0
0	0
0	0
18	0
0	0
2	0
0	0
1	0
1	0
0	0
23	0
0	0
1	0
0	0
20	0
0	0
0	0
0	0
0	0
4	0
0	0
27	0
5	0
1	0
6	0
0	0
0	0
0	0
0	0
2	0
0	0
2	0
0	0
7	0
1	0
8	0
5	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
3	0
4	0
1	0
3	0
1	0
8	0
8	0
1	0
0	0
0	0
1	1
0	1
0	0
7	0
2	0
0	0
0	0
0	0
1	0
0	0
0	0
10	0
0	0
0	0
1	0
3	0
3	0
0	0
1	0
0	0
0	0
0	0
0	0
3	0
0	0
3	0
0	0
2	0
0	0
7	0
1	0
0	0
1	0
0	0
0	2
1	0
1	0
5	0
3	0
0	0
4	0
0	0
7	0
2	0
0	0
1	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
2	0
0	0
4	0
8	0
0	0
11	0
0	0
0	0
0	0
0	0
1	0
22	0
6	0
0	0
2	0
0	0
0	0
0	0
8	0
0	0
0	0
0	0
0	10
0	10
0	0
0	0
7	0
0	0
1	0
0	0
0	0
15	0
3	0
4	0
5	0
0	0
0	0
0	0
0	0
1	0
0	0
1	0
0	0
0	0
2	0
0	0
1	0
4	0
0	0
2	0
0	0
1	0
0	0
4	0
1	0
2	0
0	0
0	0
0	0
10	0
4	0
2	0
0	0
0	0
0	0
2	0
0	0
1	0
17	0
0	0
3	0
36	0
2	0
2	0
3	0
0	0
0	0
0	0
1	0
1	0
3	0
9	0
0	0
1	0
5	0
4	0
0	0
0	0
1	0
0	0
1	0
1	0
7	0
0	0
7	0
0	0
15	0
0	0
0	0
0	0
0	0
1	0
1	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
10	0
0	0
19	0
18	0
2	0
10	0
2	0
0	0
6	0
0	0
5	0
0	0
0	0
4	0
2	0
0	0
9	0
2	0
6	0
0	0
0	0
4	0
22	0
69	0
0	0
2	0
5	0
0	0
10	0
0	0
0	0
24	0
28	0
6	0
0	0
3	0
7	0
0	0
3	0
0	0
1	0
30	0
12	0
3	0
6	0
0	0
0	0
2	0
0	0
0	0
0	0
5	0
0	0
7	0
7	0
8	0
1	0
0	0
15	0
4	0
11	0
0	0
0	0
0	0
0	0
6	0
3	0
6	0
5	0
6	0
2	0
0	0
6	0
11	0
0	0
4	0
0	0
1	0
0	0
0	0
9	0
0	0
6	0
1	0
0	1
0	1
0	0
5	0
2	0
0	0
0	0
0	0
3	0
4	0
15	0
0	0
3	0
7	0
0	0
0	0
3	0
0	0
0	0
6	0
0	0
8	0
2	0
2	0
0	0
2	0
1	0
0	0
0	0
0	0
2	0
8	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
5	0
3	0
1	0
0	0
1	0
1	0
1	0
0	0
0	0
3	0
1	0
0	0
0	0
5	0
0	0
0	0
0	0
0	0
7	0
0	0
0	0
0	0
1	0
0	0
1	0
6	0
0	0
0	0
0	0
0	0
0	0
9	0
85	0
1	0
0	0
0	0
0	0
12	0
0	0
0	0
0	0
3	0
0	0
1	0
0	0
0	0
5	0
0	0
5	0
1	0
4	0
25	0
4	0
2	0
0	0
1	0
16	0
0	0
0	0
0	0
4	0
0	0
11	0
3	0
0	0
12	0
0	0
1	0
0	0
4	0
24	0
6	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
1	0
0	0
2	0
0	0
0	0
0	0
9	0
3	0
1	0
0	0
0	0
4	0
16	0
4	0
6	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
13	0
0	0
0	0
0	0
2	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
9	0
13	0
0	0
0	0
2	0
1	0
0	0
2	0
0	0
2	0
0	0
3	0
4	0
2	0
4	0
0	0
0	0
0	0
1	0
5	0
0	0
6	0
0	0
1	0
0	0
0	0
2	0
5	0
1	0
0	0
5	0
0	0
2	0
1	0
3	0
3	0
0	0
0	0
2	0
1	0
0	0
6	0
0	0
7	0
7	0
2	0
1	0
0	0
0	0
1	0
14	0
0	0
1	0
2	0
7	0
8	0
0	0
0	0
6	0
0	0
1	0
0	0
3	0
2	0
2	0
0	0
3	0
0	0
0	0
1	0
1	0
1	0
5	0
2	0
0	0
12	0
0	0
0	0
6	0
0	0
2	0
2	0
7	0
10	0
11	0
0	0
0	0
2	0
1	0
3	0
0	0
2	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
3	0
0	0
1	0
1	0
4	0
5	0
3	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
13	0
0	0
0	0
1	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
1	0
0	0
2	0
0	0
10	0
0	0
2	0
0	0
0	0
4	0
0	0
1	0
1	0
0	0
5	0
0	0
1	0
0	0
11	0
0	0
0	0
7	0
0	0
0	0
1	0
0	0
1	0
4	0
2	0
0	0
0	0
16	0
0	0
0	0
3	0
7	0
1	0
2	0
3	0
0	0
0	0
1	0
0	0
16	0
0	0
0	0
1	0
11	0
0	0
2	0
2	0
1	0
0	0
1	0
6	0
0	0
0	0
0	0
0	0
5	0
3	0
1	0
0	0
0	0
0	0
4	0
7	0
0	0
5	0
5	0
0	0
3	0
16	0
4	0
0	0
1	0
1	0
0	0
0	0
0	0
0	0
0	0
22	0
0	0
2	0
2	0
0	0
1	0
0	0
0	0
9	0
0	0
5	0
1	0
0	0
0	0
5	0
2	0
0	0
3	0
22	0
4	0
3	0
10	0
0	0
4	0
0	0
0	0
0	0
45	0
0	0
4	0
0	0
0	0
2	0
13	0
1	0
3	0
8	0
0	0
0	0
7	0
0	0
1	0
4	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
16	0
0	0
0	0
3	0
0	0
3	0
3	0
0	0
0	0
5	0
8	0
2	0
0	0
7	0
0	0
13	0
0	2
1	2
31	0
5	0
2	0
0	0
0	0
64	0
0	0
0	0
7	0
1	0
4	0
1	0
1	0
0	0
0	0
10	0
17	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
3	0
4	0
2	0
0	0
0	0
0	0
2	0
0	0
4	0
1	0
0	0
2	0
8	0
0	0
0	0
11	0
2	0
0	0
21	0
0	0
13	0
1	0
0	0
2	0
9	0
0	0
0	0
1	0
0	0
0	0
2	0
2	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
5	0
1	0
0	0
0	0
3	0
3	0
0	0
0	0
3	0
1	0
0	0
0	0
4	0
2	0
0	0
0	0
0	0
5	0
0	0
0	0
3	0
4	0
1	0
0	0
1	0
5	0
0	0
0	0
0	0
1	0
5	0
0	0
3	0
8	0
1	0
0	0
0	0
0	0
0	0
10	0
2	0
0	0
2	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
5	0
1	0
1	0
12	0
0	0
0	0
0	0
0	0
0	0
1	0
11	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
1	0
0	0
0	0
3	0
0	0
2	0
5	0
0	0
3	0
129	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	0
1	0
1	2
3	0
0	0
0	0
0	0
0	0
0	0
1	0
1	0
0	0
0	0
0	0
0	0
4	0
1	0
0	0
1	0
0	0
7	0
0	0
1	0
2	0
0	0
8	0
0	0
0	0
0	0
0	0
0	0
8	0
2	0
0	0
0	0
2	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
5	0
0	4
0	4
15	0
0	0
0	0
1	0
0	0
2	0
2	0
1	0
2	0
1	0
2	0
1	0
0	0
7	0
0	0
1	0
0	0
13	0
1	0
22	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
2	0
0	0
5	0
0	0
2	0
3	0
0	0
0	0
0	0
0	0
0	0
63	0
55	0
0	0
0	0
0	0
2	0
1	0
2	0
0	0
0	0
0	0
0	0
0	0
5	0
8	0
3	0
1	0
2	0
57	0
0	0
2	0
9	0
1	0
2	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
4	0
6	0
0	0
0	0
0	0
26	0
0	0
18	0
0	0
0	0
6	0
4	0
4	0
5	0
1	0
2	0
0	0
1	0
1	0
0	0
5	0
0	0
0	0
0	0
3	0
0	0
0	0
1	0
0	0
4	0
1	0
2	0
3	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
5	0
1	0
0	0
0	0
1	0
0	0
0	0
3	0
0	0
0	0
0	0
4	0
0	0
1	0
8	0
13	0
8	0
0	0
0	0
2	0
0	0
0	0
0	0
1	0
0	0
8	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
36	0
3	0
0	0
0	0
1	0
3	0
0	0
10	0
3	0
1	0
6	0
2	0
26	0
3	0
3	0
0	0
0	0
0	0
0	0
3	0
1	0
2	0
10	0
0	0
0	0
6	0
1	0
9	0
0	0
47	0
6	0
0	0
0	0
0	0
3	0
0	0
7	0
0	5
0	5
0	0
0	0
0	0
1	0
0	0
1	0
5	0
2	0
2	0
2	0
0	0
16	0
0	0
0	0
0	0
29	0
0	0
2	0
4	0
0	0
0	0
0	0
2	0
28	0
0	0
0	0
1	0
0	0
16	0
2	0
21	0
1	0
1	0
4	0
0	0
0	0
0	0
2	0
0	0
6	0
0	0
0	0
0	0
0	0
3	0
5	0
1	0
1	0
0	0
0	0
4	0
0	0
0	0
0	0
1	0
2	0
0	0
3	0
4	0
0	0
1	0
0	0
0	0
7	0
4	0
2	0
0	0
2	0
0	0
2	0
0	0
12	0
3	0
3	0
0	0
1	0
0	0
2	0
0	0
2	0
9	0
0	0
0	0
2	0
0	0
0	0
0	0
4	0
0	0
0	30
0	30
1	0
7	0
6	0
0	0
0	0
0	0
0	0
5	0
0	0
0	0
1	0
1	0
0	0
1	0
0	0
0	0
10	0
0	0
5	0
0	0
0	0
2	0
9	0
0	0
5	0
2	0
4	0
0	0
5	0
1	0
0	0
0	0
0	0
8	0
0	0
0	0
4	0
