,Count,Percent,Term
GO:0000003,2,1.02040816326531,reproduction
GO:0000278,1,0.510204081632653,mitotic cell cycle
GO:0000902,3,1.53061224489796,cell morphogenesis
GO:0002376,2,1.02040816326531,immune system process
GO:0003013,0,0,circulatory system process
GO:0005975,0,0,carbohydrate metabolic process
GO:0006091,0,0,generation of precursor metabolites...
GO:0006259,6,3.06122448979592,DNA metabolic process
GO:0006397,0,0,mRNA processing
GO:0006399,0,0,tRNA metabolic process
GO:0006412,0,0,translation
GO:0006457,0,0,protein folding
GO:0006464,7,3.57142857142857,cellular protein modification proce...
GO:0006520,0,0,cellular amino acid metabolic proce...
GO:0006605,0,0,protein targeting
GO:0006629,0,0,lipid metabolic process
GO:0006790,0,0,sulfur compound metabolic process
GO:0006810,5,2.55102040816327,transport
GO:0006913,0,0,nucleocytoplasmic transport
GO:0006914,0,0,autophagy
GO:0006950,11,5.61224489795918,response to stress
GO:0007005,10,5.10204081632653,mitochondrion organization
GO:0007009,0,0,plasma membrane organization
GO:0007010,0,0,cytoskeleton organization
GO:0007034,0,0,vacuolar transport
GO:0007049,1,0.510204081632653,cell cycle
GO:0007059,0,0,chromosome segregation
GO:0007155,0,0,cell adhesion
GO:0007165,0,0,signal transduction
GO:0007267,0,0,cell-cell signaling
GO:0007568,0,0,aging
GO:0008150,96,48.9795918367347,biological_process
GO:0008219,0,0,cell death
GO:0008283,0,0,cell proliferation
GO:0009056,2,1.02040816326531,catabolic process
GO:0009058,1,0.510204081632653,biosynthetic process
GO:0009790,0,0,embryo development
GO:0015031,0,0,protein transport
GO:0015979,0,0,photosynthesis
GO:0016192,4,2.04081632653061,vesicle-mediated transport
GO:0019748,0,0,secondary metabolic process
GO:0021700,0,0,developmental maturation
GO:0022607,2,1.02040816326531,cellular component assembly
GO:0022618,0,0,ribonucleoprotein complex assembly
GO:0030154,5,2.55102040816327,cell differentiation
GO:0030198,0,0,extracellular matrix organization
GO:0030705,1,0.510204081632653,cytoskeleton-dependent intracellula...
GO:0032196,0,0,transposition
GO:0034330,0,0,cell junction organization
GO:0034641,9,4.59183673469388,cellular nitrogen compound metaboli...
GO:0034655,0,0,nucleobase-containing compound cata...
GO:0040007,0,0,growth
GO:0040011,0,0,locomotion
GO:0042254,0,0,ribosome biogenesis
GO:0042592,2,1.02040816326531,homeostatic process
GO:0043473,0,0,pigmentation
GO:0044281,2,1.02040816326531,small molecule metabolic process
GO:0044403,0,0,symbiont process
GO:0048646,0,0,anatomical structure formation invo...
GO:0048856,13,6.63265306122449,anatomical structure development
GO:0048870,0,0,cell motility
GO:0050877,0,0,nervous system process
GO:0051186,0,0,cofactor metabolic process
GO:0051276,4,2.04081632653061,chromosome organization
GO:0051301,0,0,cell division
GO:0051604,0,0,protein maturation
GO:0055085,0,0,transmembrane transport
GO:0061024,7,3.57142857142857,membrane organization
GO:0065003,0,0,protein-containing complex assembly
GO:0071554,0,0,cell wall organization or biogenesi...
GO:0071941,0,0,nitrogen cycle metabolic process
GO:0140014,0,0,mitotic nuclear division
