description	log10pvalue	representative
chromosome passenger complex localization to spindle midzone	2.0814	chromosome passenger complex localization to spindle midzone
protein localization to cytoskeleton	1.5767	chromosome passenger complex localization to spindle midzone
synaptic vesicle targeting	1.3307	chromosome passenger complex localization to spindle midzone
eye pigmentation	2.3413	eye pigmentation
pyrimidine-containing compound metabolic process	2.325	pyrimidine-containing compound metabolism
arginine metabolic process	1.506	pyrimidine-containing compound metabolism
nucleobase catabolic process	1.4411	pyrimidine-containing compound metabolism
tryptophan metabolic process	1.371	pyrimidine-containing compound metabolism
purine nucleobase catabolic process	1.4911	pyrimidine-containing compound metabolism
pyrimidine nucleotide biosynthetic process	1.4209	pyrimidine-containing compound metabolism
cellular response to exogenous dsRNA	1.3402	cellular response to exogenous dsRNA
positive regulation of interferon-alpha production	1.5353	positive regulation of interferon-alpha production
positive regulation of ATPase activity	1.392	positive regulation of interferon-alpha production
regulation of vacuole fusion, non-autophagic	1.3113	positive regulation of interferon-alpha production
regulation of ATPase activity	1.3071	positive regulation of interferon-alpha production
