b_F_K5_04	b_F_K5_05	b_F_K5_06	nb_F_K5_07	nb_F_K5_08	nb_F_K5_09
TRINITY_DN164358_c3_g5	1.72766640033908	1.03029175609324	-0.0232608677017138	-0.911565762910201	-0.911565762910201	-0.911565762910201
TRINITY_DN157561_c8_g1	-1.30815265834382	-1.30815265834382	-1.30815265834382	0.199261440671625	2.82795667971395	0.89723985464587
TRINITY_DN141422_c0_g1	0.836342932303713	0.807261868439763	0.82302918429808	-0.822211328347185	-0.822211328347185	-0.822211328347185
TRINITY_DN138006_c0_g1	-1.08026503943575	-1.08026503943575	-1.08026503943575	0.575086789176807	1.18697110237666	1.47873722675377
TRINITY_DN151684_c1_g1	1.61579831120066	1.66533578462847	-0.283692928620494	-0.999147055736212	-0.999147055736212	-0.999147055736212
TRINITY_DN155734_c0_g2	-0.84411197398357	-0.84411197398357	-0.84411197398357	0.993023939939613	0.843396686737158	0.695915295273938
TRINITY_DN167620_c1_g1	0.514064370924211	0.833921776457131	1.09288283237417	-0.813622993251836	-0.813622993251836	-0.813622993251836
TRINITY_DN178403_c0_g1	-0.812053900991295	-0.812053900991295	-0.812053900991295	0.466525649467128	1.3970874968473	0.57254855665946
TRINITY_DN189977_c5_g7	-1.0899294359727	-1.0899294359727	-1.0899294359727	-0.610698874766363	1.85754970999398	2.02293747269048
TRINITY_DN161353_c4_g2	-0.982003965384285	-0.982003965384285	-0.982003965384285	2.01329963995096	-0.365646268387595	1.29835852458949
TRINITY_DN198266_c0_g2	2.92975312442291	1.60114802601059	2.26504905779292	-2.75189290972702	-2.40252763213281	-1.6415296663666
TRINITY_DN174833_c6_g1	1.14709845236442	1.71902113996344	0.496091226871735	-1.1207369397332	-1.1207369397332	-1.1207369397332
TRINITY_DN180369_c0_g1	-1.02382370098718	-1.02382370098718	-1.02382370098718	1.48840318552677	0.96349716494207	0.619570752492709
TRINITY_DN157373_c7_g2	-0.886147072644276	-0.886147072644276	-0.886147072644276	1.37928982340482	0.373276079637139	0.905875314890866
TRINITY_DN167082_c2_g1	-1.86216536407268	-1.86216536407268	-1.44748858364579	2.43341073903115	0.310002085980594	2.4284064867794
TRINITY_DN184152_c0_g1	1.7487029591058	0.343160597886786	0.70367579184667	-0.931846449613084	-0.931846449613084	-0.931846449613084
TRINITY_DN190417_c1_g3	-0.947341804940473	-0.947341804940473	-0.947341804940473	0.73253234280615	0.74329877367522	1.36619429834005
TRINITY_DN191807_c2_g2	0.656562175041033	0.435407374987388	1.56586102928326	-0.885943526437229	-0.885943526437229	-0.885943526437229
TRINITY_DN174722_c1_g2	-1.37473852456143	-1.37473852456143	-1.37473852456143	2.39851939046626	1.65842014221957	0.0672760409984579
TRINITY_DN161605_c2_g1	-0.857979959572178	-0.857979959572178	-0.857979959572178	0.925267137805938	0.905431614897829	0.743241126012768
TRINITY_DN160364_c7_g1	2.29957353500852	2.29824547554407	-0.757912940767423	-1.27996868992839	-1.27996868992839	-1.27996868992839
TRINITY_DN177718_c5_g1	-0.97869825536721	-0.97869825536721	-0.97869825536721	2.11570673843412	0.289137136730405	0.531250890937101
TRINITY_DN166151_c5_g1	0.916207144897944	1.90734790821061	0.429987013928575	-1.08451402234571	-1.08451402234571	-1.08451402234571
TRINITY_DN155435_c1_g2	-1.00787854963815	-0.994019701077767	-1.05890255266262	1.64928468335809	1.14273130850703	0.268784811513426
TRINITY_DN170705_c10_g1	-1.91999735095817	-1.91999735095817	-1.91999735095817	2.1123680208361	1.96616256237924	1.68146146965918
TRINITY_DN200008_c11_g3	-0.839440266832135	-0.839440266832135	-0.839440266832135	0.393834272158799	1.1405850334066	0.983901494931008
TRINITY_DN181678_c8_g4	-1.21507103161885	-1.31537593741454	-1.31537593741454	0.768348028978469	1.30098175958215	1.77649311788731
TRINITY_DN160257_c8_g1	-1.38656968416869	-1.38656968416869	-1.38656968416869	1.5488900636366	1.13523487755525	1.47558411131421
TRINITY_DN196151_c8_g1	-0.896086452285997	-0.896086452285997	-0.896086452285997	0.960301724528093	1.0780757155106	0.649881916819295
TRINITY_DN177294_c0_g1	0.556560336070038	1.2396475615344	0.877642027271704	-0.891283308292047	-0.891283308292047	-0.891283308292047
TRINITY_DN162229_c5_g1	-1.13932976239401	-1.13932976239401	-1.13932976239401	-0.57959323796103	2.33120710269857	1.6663754224445
TRINITY_DN198515_c4_g1	-0.943578126728219	-0.943578126728219	-0.943578126728219	0.881800477164713	0.782817164922233	1.16611673809771
TRINITY_DN161471_c7_g2	-2.18660082359879	-2.60127760402568	-2.60127760402568	2.69606056957615	2.27120644316014	2.42188901891386
TRINITY_DN183417_c3_g3	-0.857591945994455	-0.857591945994455	-0.857591945994455	0.119871165245011	1.7779302954653	0.674974377273057
TRINITY_DN147815_c1_g1	2.14120026071584	3.39295474168363	-0.910035892504257	-1.54137303663174	-1.54137303663174	-1.54137303663174
TRINITY_DN187488_c1_g1	-0.985564870478927	-0.985564870478927	-0.985564870478927	0.546003738336036	1.34871735481631	1.06197351828443
TRINITY_DN174849_c7_g2	0.601567637439917	2.114605595847	1.22383203025111	-1.39698894569041	-1.1460273721572	-1.39698894569041
TRINITY_DN176468_c8_g4	2.4572499967631	3.57308163469312	2.00323975474387	-2.5560256688309	-2.69131703517186	-2.78622868219733
TRINITY_DN196667_c0_g2	-0.899450122118068	-0.899450122118068	-0.899450122118068	0.478506511692046	0.521167016860623	1.69867683780154
TRINITY_DN161948_c1_g1	-1.35857622764429	-1.35857622764429	-1.35857622764429	1.30658911452649	2.05081470849341	0.718324859912972
TRINITY_DN155020_c3_g1	-0.984007687592384	-0.984007687592384	-0.984007687592384	1.95916350503499	0.0267721511608586	0.966087406581302
TRINITY_DN157391_c2_g2	2.63096314239642	1.10268369060839	1.91753490092614	-1.88372724464365	-1.88372724464365	-1.88372724464365
TRINITY_DN170794_c4_g1	1.80821245064872	0.958203917795789	2.58434351396279	-1.7835866274691	-1.7835866274691	-1.7835866274691
TRINITY_DN175803_c7_g1	-1.51166006181855	-1.4522921400184	-1.48296174582377	-0.451660072082382	2.49965911135447	2.39891490838863
TRINITY_DN182831_c2_g1	-0.941314145970864	-0.941314145970864	-0.941314145970864	0.386947882638549	1.8542450254677	0.582749529806346
TRINITY_DN140132_c1_g1	1.25085583556657	0.613496936441475	0.906298976881508	-0.923550582963183	-0.923550582963183	-0.923550582963183
TRINITY_DN171558_c2_g1	-0.963877597183287	-0.963877597183287	-0.963877597183287	0.668855928767248	0.399013045482573	1.82376381730004
TRINITY_DN174938_c6_g1	-1.18082469702767	-1.18082469702767	-1.18082469702767	0.138215118534861	1.56182831727553	1.84243065527263
TRINITY_DN181012_c7_g1	0.703539366011507	2.58078310894735	2.78191736018368	-2.14004255714248	-2.14004255714248	-1.78615472085758
TRINITY_DN197647_c4_g2	-0.923136806346827	-0.923136806346827	-0.923136806346827	0.403975664400258	1.02583774793294	1.33959700670728
TRINITY_DN193258_c2_g1	2.05447732990241	-0.19630192402474	1.10054397313713	-0.986239793004935	-0.986239793004935	-0.986239793004935
TRINITY_DN160002_c4_g5	-0.830933897873399	-0.830933897873399	-0.830933897873399	0.798072935553778	1.21415954047155	0.480569217594871
TRINITY_DN156709_c0_g1	2.54960305215173	2.55985112631531	1.62888168458297	-2.24611195435	-2.24611195435	-2.24611195435
TRINITY_DN189879_c3_g5	2.45070051590995	3.53911588466984	2.64856955173179	-2.8065975203747	-2.94822892974731	-2.88355950218958
TRINITY_DN167340_c6_g1	-0.813541522625812	-0.813541522625812	-0.813541522625812	0.52217038769465	1.42982290306785	0.48863127711494
TRINITY_DN171594_c4_g3	-1.07963992858051	-1.07963992858051	-1.07963992858051	1.81294538661215	0.873811572785753	0.552162826343622
TRINITY_DN164528_c0_g1	-0.995060430662294	-0.995060430662294	-0.995060430662294	0.0794450057013354	1.90043608826433	1.00530019802122
TRINITY_DN196164_c4_g3	-1.22945263755507	-1.22945263755507	-1.22945263755507	0.326363517506566	1.60485406540783	1.75714032975082
TRINITY_DN199845_c2_g3	-0.897097744274503	-0.897097744274503	-0.897097744274503	1.63721292073522	1.12011154575772	-0.0660312336694298
TRINITY_DN167220_c6_g6	1.1754537869722	1.35373662745239	0.852721371572902	-1.12730392866583	-1.12730392866583	-1.12730392866583
TRINITY_DN198145_c2_g1	-1.62147434351013	-1.55320040462074	-1.99998596676386	1.78053411627536	1.47820929117531	1.91591730744406
TRINITY_DN161602_c1_g5	1.04696654396246	1.56926201962751	0.761294334448938	-1.12584096601297	-1.12584096601297	-1.12584096601297
TRINITY_DN160038_c8_g2	1.4582556812322	1.9368301825159	0.831464281063256	-1.40885004827045	-1.40885004827045	-1.40885004827045
TRINITY_DN194663_c5_g5	-1.44382735051083	-1.44382735051083	-1.44382735051083	0.751520247811394	1.67669048360964	1.90327132011144
TRINITY_DN147815_c2_g1	1.2971341257099	1.90983680195191	1.186036076515	-1.39483691797874	-1.54227348475958	-1.45589660143849
TRINITY_DN167105_c7_g1	0.0799997386881482	1.16947056601628	1.47794750133582	-0.909139268680085	-0.909139268680085	-0.909139268680085
TRINITY_DN133471_c0_g1	-1.42756719190131	-1.42756719190131	-1.42756719190131	3.83783219598964	1.58910740356396	-1.14423802384967
TRINITY_DN199407_c3_g1	-1.76216724421922	-1.51249809647147	-2.47470463808736	1.69715686705629	3.71238316491715	0.339829946804612
TRINITY_DN183476_c2_g1	0.644200331345469	1.15896207943736	1.10483155393455	-0.969331321572459	-0.969331321572459	-0.969331321572459
TRINITY_DN173296_c3_g1	-1.03657730781984	-0.966187979928441	-1.03657730781984	1.02312406432646	0.586821374557425	1.42939715668423
TRINITY_DN186652_c6_g5	-2.23215353571619	-2.23215353571619	-2.23215353571619	1.86106857482284	2.79619459847312	2.03919743385259
TRINITY_DN179194_c2_g1	-1.01911186074721	-1.01911186074721	-1.01911186074721	-0.250186525183455	2.26347620951196	1.04404589791312
