description	log10pvalue	representative
protein localization to nucleus	1.6147	protein localization to nucleus
regulation of transcription from mitochondrial promoter	3.4958	regulation of transcription from mitochondrial promoter
regulation of membrane permeability	2.0589	regulation of transcription from mitochondrial promoter
oxidative phosphorylation	2.9414	regulation of transcription from mitochondrial promoter
stabilization of membrane potential	2.5818	regulation of transcription from mitochondrial promoter
mitochondrial nucleoid organization	3.4958	mitochondrial nucleoid organization
positive regulation of cytochrome-c oxidase activity	3.4958	mitochondrial nucleoid organization
long-term synaptic potentiation	1.87	mitochondrial nucleoid organization
regulation of neurological system process	1.596	mitochondrial nucleoid organization
mitochondrial membrane organization	1.8639	mitochondrial nucleoid organization
positive regulation of signaling	1.3679	mitochondrial nucleoid organization
neuromuscular process	1.3355	mitochondrial nucleoid organization
regulation of electron carrier activity	3.021	mitochondrial nucleoid organization
regulation of oxidoreductase activity	1.8005	mitochondrial nucleoid organization
regulation of release of cytochrome c from mitochondria	2.2351	mitochondrial nucleoid organization
cellular component maintenance	1.9864	mitochondrial nucleoid organization
regulation of transporter activity	1.5085	mitochondrial nucleoid organization
cellular component disassembly	1.3569	mitochondrial nucleoid organization
neuromuscular process controlling balance	1.4268	mitochondrial nucleoid organization
maintenance of synapse structure	2.42	mitochondrial nucleoid organization
regulation of mitochondrial membrane permeability	2.2356	mitochondrial nucleoid organization
regulation of sprouting of injured axon	1.8798	mitochondrial nucleoid organization
telencephalon cell migration	1.7325	mitochondrial nucleoid organization
positive regulation of transmembrane transport	1.5742	mitochondrial nucleoid organization
regulation of transmission of nerve impulse	1.8569	mitochondrial nucleoid organization
nucleoid organization	3.4958	mitochondrial nucleoid organization
regulation of proton transport	2.9001	mitochondrial nucleoid organization
macromolecular complex disassembly	1.5253	mitochondrial nucleoid organization
synapse organization	2.6225	mitochondrial nucleoid organization
negative regulation of cell morphogenesis involved in differentiation	1.51	mitochondrial nucleoid organization
positive regulation of cristae formation	3.4958	mitochondrial nucleoid organization
regulation of cristae formation	3.4958	mitochondrial nucleoid organization
exploration behavior	1.7418	exploration behavior
locomotory exploration behavior	1.8196	exploration behavior
neuron cell-cell adhesion	1.6391	neuron cell-cell adhesion
negative regulation of cell-cell adhesion	1.6022	neuron cell-cell adhesion
