,Count,Percent,Term
GO:0000003,2,0.46189376443418,reproduction
GO:0000278,2,0.46189376443418,mitotic cell cycle
GO:0000902,0,0,cell morphogenesis
GO:0002376,9,2.07852193995381,immune system process
GO:0003013,1,0.23094688221709,circulatory system process
GO:0005975,0,0,carbohydrate metabolic process
GO:0006091,0,0,generation of precursor metabolites...
GO:0006259,1,0.23094688221709,DNA metabolic process
GO:0006397,0,0,mRNA processing
GO:0006399,0,0,tRNA metabolic process
GO:0006412,2,0.46189376443418,translation
GO:0006457,0,0,protein folding
GO:0006464,1,0.23094688221709,cellular protein modification proce...
GO:0006520,0,0,cellular amino acid metabolic proce...
GO:0006605,0,0,protein targeting
GO:0006629,9,2.07852193995381,lipid metabolic process
GO:0006790,0,0,sulfur compound metabolic process
GO:0006810,16,3.69515011547344,transport
GO:0006913,1,0.23094688221709,nucleocytoplasmic transport
GO:0006914,0,0,autophagy
GO:0006950,28,6.46651270207852,response to stress
GO:0007005,1,0.23094688221709,mitochondrion organization
GO:0007009,0,0,plasma membrane organization
GO:0007010,4,0.92378752886836,cytoskeleton organization
GO:0007034,2,0.46189376443418,vacuolar transport
GO:0007049,3,0.69284064665127,cell cycle
GO:0007059,0,0,chromosome segregation
GO:0007155,3,0.69284064665127,cell adhesion
GO:0007165,17,3.92609699769053,signal transduction
GO:0007267,2,0.46189376443418,cell-cell signaling
GO:0007568,0,0,aging
GO:0008150,187,43.1870669745958,biological_process
GO:0008219,6,1.38568129330254,cell death
GO:0008283,9,2.07852193995381,cell proliferation
GO:0009056,8,1.84757505773672,catabolic process
GO:0009058,15,3.46420323325635,biosynthetic process
GO:0009790,0,0,embryo development
GO:0015031,1,0.23094688221709,protein transport
GO:0015979,0,0,photosynthesis
GO:0016192,4,0.92378752886836,vesicle-mediated transport
GO:0019748,0,0,secondary metabolic process
GO:0021700,0,0,developmental maturation
GO:0022607,6,1.38568129330254,cellular component assembly
GO:0022618,1,0.23094688221709,ribonucleoprotein complex assembly
GO:0030154,11,2.54041570438799,cell differentiation
GO:0030198,0,0,extracellular matrix organization
GO:0030705,0,0,cytoskeleton-dependent intracellula...
GO:0032196,0,0,transposition
GO:0034330,0,0,cell junction organization
GO:0034641,14,3.23325635103926,cellular nitrogen compound metaboli...
GO:0034655,0,0,nucleobase-containing compound cata...
GO:0040007,0,0,growth
GO:0040011,0,0,locomotion
GO:0042254,2,0.46189376443418,ribosome biogenesis
GO:0042592,22,5.08083140877598,homeostatic process
GO:0043473,0,0,pigmentation
GO:0044281,0,0,small molecule metabolic process
GO:0044403,0,0,symbiont process
GO:0048646,1,0.23094688221709,anatomical structure formation invo...
GO:0048856,28,6.46651270207852,anatomical structure development
GO:0048870,0,0,cell motility
GO:0050877,5,1.15473441108545,nervous system process
GO:0051186,0,0,cofactor metabolic process
GO:0051276,1,0.23094688221709,chromosome organization
GO:0051301,1,0.23094688221709,cell division
GO:0051604,0,0,protein maturation
GO:0055085,2,0.46189376443418,transmembrane transport
GO:0061024,0,0,membrane organization
GO:0065003,5,1.15473441108545,protein-containing complex assembly
GO:0071554,0,0,cell wall organization or biogenesi...
GO:0071941,0,0,nitrogen cycle metabolic process
GO:0140014,0,0,mitotic nuclear division
