description	log10pvalue	representative
cytoplasmic translation	6.7811	cytoplasmic translation
protein metabolic process	5.0404	cytoplasmic translation
regulation of MHC class II biosynthetic process	1.9552	cytoplasmic translation
cellular macromolecule metabolic process	3.0156	cytoplasmic translation
macromolecule biosynthetic process	13.251	cytoplasmic translation
cellular biosynthetic process	8.3623	cytoplasmic translation
cellular nitrogen compound biosynthetic process	12.9034	cytoplasmic translation
cellular protein metabolic process	5.181	cytoplasmic translation
translation	20.1499	cytoplasmic translation
organic substance biosynthetic process	8.7277	cytoplasmic translation
organonitrogen compound metabolic process	3.7402	cytoplasmic translation
organonitrogen compound biosynthetic process	13.5155	cytoplasmic translation
cellular amide metabolic process	16.6448	cytoplasmic translation
cellular nitrogen compound metabolic process	4.8608	cytoplasmic translation
cellular macromolecule biosynthetic process	14.6301	cytoplasmic translation
biological_process	2.8469	biological_process
metabolic process	1.4426	metabolism
cellular process	2.3072	cellular process
biosynthetic process	8.0409	biosynthesis
negative regulation of keratinocyte proliferation	3.9042	negative regulation of keratinocyte proliferation
copper ion export	1.96	negative regulation of keratinocyte proliferation
fatty acid homeostasis	2.3116	negative regulation of keratinocyte proliferation
cellular response to antibiotic	1.7012	negative regulation of keratinocyte proliferation
osteoclast fusion	1.9393	negative regulation of keratinocyte proliferation
cellular response to lipopolysaccharide	1.8173	negative regulation of keratinocyte proliferation
sodium ion homeostasis	1.6125	negative regulation of keratinocyte proliferation
system process	1.3551	negative regulation of keratinocyte proliferation
water homeostasis	2.6697	negative regulation of keratinocyte proliferation
response to insulin-like growth factor stimulus	2.2571	negative regulation of keratinocyte proliferation
negative regulation of homotypic cell-cell adhesion	1.8788	negative regulation of keratinocyte proliferation
regulation of epidermal cell division	1.8625	negative regulation of keratinocyte proliferation
regulation of body fluid levels	3.079	negative regulation of keratinocyte proliferation
regulation of myoblast proliferation	2.5651	negative regulation of keratinocyte proliferation
serotonin transport	2.213	negative regulation of keratinocyte proliferation
positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus	1.5495	negative regulation of keratinocyte proliferation
cellular homeostasis	2.4437	negative regulation of keratinocyte proliferation
cellular copper ion homeostasis	1.6698	negative regulation of keratinocyte proliferation
mitotic G1 DNA damage checkpoint	1.735	negative regulation of keratinocyte proliferation
forebrain morphogenesis	1.4915	negative regulation of keratinocyte proliferation
sensory perception	2.7068	negative regulation of keratinocyte proliferation
positive regulation of hepatocyte proliferation	2.2229	negative regulation of keratinocyte proliferation
response to interleukin-4	1.6155	negative regulation of keratinocyte proliferation
response to testosterone	1.3643	negative regulation of keratinocyte proliferation
cellular response to biotic stimulus	1.6968	negative regulation of keratinocyte proliferation
