B_female_44_01	B_female_44_02	B_female_44_03	NB_female_44_01	NB_female_44_02	NB_female_44_03	B_female_K5_01	B_female_K5_02	B_female_K5_03	B_male_K5_01	B_male_K5_02	B_male_K5_03	NB_female_K5_01	NB_female_K5_02	NB_female_K5_03
TRINITY_DN192376_c1_g1	0.425299718688784	0.805854026349057	1.16688687059537	-0.000349043319304632	0.556320612989548	-0.0223930634917475	-0.325735457979078	-0.325735457979078	-0.325735457979078	-0.325735457979078	-0.325735457979078	-0.325735457979078	-0.325735457979078	-0.325735457979078	-0.325735457979078
TRINITY_DN82462_c0_g1	0.985192846388431	0.616381408433106	1.26327165829746	1.07176084502678	1.30082139661386	-0.523742815475964	-0.523742815475964	-0.523742815475964	-0.523742815475964	-0.523742815475964	-0.523742815475964	-0.523742815475964	-0.523742815475964	-0.523742815475964	-0.523742815475964
TRINITY_DN96745_c0_g2	0.895393407752679	0.776780963664963	-0.467497234913181	1.25540590364727	0.825873249291572	0.921518824775328	-0.467497234913181	-0.467497234913181	-0.467497234913181	-0.467497234913181	-0.467497234913181	-0.467497234913181	-0.467497234913181	-0.467497234913181	-0.467497234913181
TRINITY_DN160906_c10_g3	-2.49464407755806	-2.49464407755806	-1.27865492341134	-1.72149168054401	-1.65468449006853	-2.21012994431381	1.18241307581347	0.937647260689722	-0.568644659001836	2.25295815271688	1.11002033760565	2.70710738982669	0.569893920423889	0.951479788916495	2.71137392646284
TRINITY_DN199629_c5_g1	-0.148213467029036	-0.780827395559099	8.38226335824542	-0.368257234201081	-1.60543448183847	4.25232393880973	-2.01642798396096	-0.804602683362199	-0.697936563534857	-1.91790224747676	-0.928312030554696	-0.782972667390657	-1.38087422381931	-1.93021281480975	0.72738649648172
TRINITY_DN152120_c0_g3	0.225535970288685	0.368241525062661	0.560778418456928	0.715051685526806	0.187784667331074	1.26372094668887	-0.369012579261669	-0.369012579261669	-0.369012579261669	-0.369012579261669	-0.369012579261669	-0.369012579261669	-0.369012579261669	-0.369012579261669	-0.369012579261669
TRINITY_DN160048_c5_g1	0.667416367228363	0.390838135385212	0.192847664506041	1.34629472280565	0.210671165556647	0.262857385753783	-0.341213937915077	-0.341213937915077	-0.341213937915077	-0.341213937915077	-0.341213937915077	-0.341213937915077	-0.341213937915077	-0.341213937915077	-0.341213937915077
TRINITY_DN189613_c4_g3	-2.75036214945951	-2.75701563569145	-2.04856139816003	-2.42931941516507	-1.72187977330204	-1.81311019776238	1.84434025669301	0.930973284644593	0.971449967933754	1.43131603340848	1.64274531498013	2.04970401773374	1.62771324621198	0.655275295981607	2.36673115195318
TRINITY_DN179079_c5_g3	-2.35766064363726	-2.02767599387884	-2.12499988684698	-1.44692798173435	-2.35766064363726	-2.09222374758816	-2.10185780703454	2.79342694972533	2.14097318943922	0.741129444849799	1.92966388735602	1.14683263347119	1.71083820266255	1.46853189259934	2.57761050425393
TRINITY_DN8652_c0_g1	-1.41122154241968	-1.23533100064382	-1.48335010504962	-1.71914677790807	-0.780369135078518	-0.87879799368683	0.967353749275147	0.448271367923665	1.01787004741671	2.30743953672906	1.16738119985874	0.750864961138827	0.458046223998279	0.0472315440781732	0.343757924367936
