B_female_44_01	B_female_44_02	B_female_44_03	NB_female_44_01	NB_female_44_02	NB_female_44_03	B_female_K5_01	B_female_K5_02	B_female_K5_03	B_male_K5_01	B_male_K5_02	B_male_K5_03	NB_female_K5_01	NB_female_K5_02	NB_female_K5_03
B_female_44_01	1	0.688001972256672	0.176497808417618	0.446713388747784	0.49942799699821	0.29766771776216	-0.468267946804525	-0.684842958160374	-0.491091136500785	-0.600364444934363	-0.693065225210448	-0.685100502808035	-0.568264521423888	-0.430951366735503	-0.623601987627211
B_female_44_02	0.688001972256672	1	-0.0114677931951989	0.355322620429688	0.379616253831967	0.160756560745947	-0.308150596221887	-0.611866870267056	-0.406775254043057	-0.423857809644066	-0.536807491385725	-0.488246397997352	-0.538032842376875	-0.293505194067447	-0.49048827501536
B_female_44_03	0.176497808417618	-0.0114677931951989	1	0.179782661224773	-0.147271433458866	0.808811259485719	-0.667429697719146	-0.533347152347701	-0.612176234476777	-0.712499173618254	-0.678863996276338	-0.653666199231617	-0.602253319686783	-0.604237180440688	-0.526235096059679
NB_female_44_01	0.446713388747784	0.355322620429688	0.179782661224773	1	0.733144519131437	0.160994660232255	-0.363985078905327	-0.606335273387316	-0.507967368536391	-0.630750858751241	-0.624999638851407	-0.519035919424112	-0.466297812995815	-0.458100284867542	-0.609806909094585
NB_female_44_02	0.49942799699821	0.379616253831967	-0.147271433458866	0.733144519131437	1	-0.0218726936479389	-0.142439987021714	-0.494052549173023	-0.27307177685952	-0.361880280106607	-0.467118684853076	-0.401017973092372	-0.322801572295308	-0.344959625830636	-0.521234054553393
NB_female_44_03	0.29766771776216	0.160756560745947	0.808811259485719	0.160994660232255	-0.0218726936479389	1	-0.694176853556867	-0.523727228189694	-0.680881374388676	-0.695187442984391	-0.712213232418902	-0.711306604185864	-0.687706599864375	-0.64293314872806	-0.715176588993986
B_female_K5_01	-0.468267946804525	-0.308150596221887	-0.667429697719146	-0.363985078905327	-0.142439987021714	-0.694176853556867	1	0.445780039851447	0.387671315551205	0.723431349190377	0.661569521578838	0.802521886933651	0.744051812777027	0.430701935415358	0.631089677462143
B_female_K5_02	-0.684842958160374	-0.611866870267056	-0.533347152347701	-0.606335273387316	-0.494052549173023	-0.523727228189694	0.445780039851447	1	0.733017707510755	0.732354629856559	0.853737483054957	0.706392112679858	0.730248744921905	0.708947699796245	0.794524429922913
B_female_K5_03	-0.491091136500785	-0.406775254043057	-0.612176234476777	-0.507967368536391	-0.27307177685952	-0.680881374388676	0.387671315551205	0.733017707510755	1	0.799040746496313	0.833381117104235	0.584154130030549	0.577392645567014	0.674960960600194	0.676153475178021
B_male_K5_01	-0.600364444934363	-0.423857809644066	-0.712499173618254	-0.630750858751241	-0.361880280106607	-0.695187442984391	0.723431349190377	0.732354629856559	0.799040746496313	1	0.909546760271297	0.835365345937337	0.712752584541513	0.662575926714155	0.701034649238188
B_male_K5_02	-0.693065225210448	-0.536807491385725	-0.678863996276338	-0.624999638851407	-0.467118684853076	-0.712213232418902	0.661569521578838	0.853737483054957	0.833381117104235	0.909546760271297	1	0.865328999690043	0.779101558630605	0.776785447704324	0.819924421827708
B_male_K5_03	-0.685100502808035	-0.488246397997352	-0.653666199231617	-0.519035919424112	-0.401017973092372	-0.711306604185864	0.802521886933651	0.706392112679858	0.584154130030549	0.835365345937337	0.865328999690043	1	0.837826926460291	0.557242740571636	0.821530415465249
NB_female_K5_01	-0.568264521423888	-0.538032842376875	-0.602253319686783	-0.466297812995815	-0.322801572295308	-0.687706599864375	0.744051812777027	0.730248744921905	0.577392645567014	0.712752584541513	0.779101558630605	0.837826926460291	1	0.450256863574542	0.746461029429563
NB_female_K5_02	-0.430951366735503	-0.293505194067447	-0.604237180440688	-0.458100284867542	-0.344959625830636	-0.64293314872806	0.430701935415358	0.708947699796245	0.674960960600194	0.662575926714155	0.776785447704324	0.557242740571636	0.450256863574542	1	0.680679313364765
NB_female_K5_03	-0.623601987627211	-0.49048827501536	-0.526235096059679	-0.609806909094585	-0.521234054553393	-0.715176588993986	0.631089677462143	0.794524429922913	0.676153475178021	0.701034649238188	0.819924421827708	0.821530415465249	0.746461029429563	0.680679313364765	1
