group	lib.size	norm.factors	eff.lib.size
B_female_44_01	995127	1.25783891179555	1251709.46277837
B_female_44_02	990813	1.03141907188306	1021943.42486967
B_female_44_03	987781	1.06248426832987	1049501.77305515
NB_female_44_01	992977	1.03091800967144	1023677.87248952
NB_female_44_02	986484	0.998406987838472	984912.518990847
NB_female_44_03	990005	1.02969298128258	1019401.19993466
B_female_K5_01	988066	1.03071144316001	1018410.93279734
B_female_K5_02	990382	1.03651204659115	1026542.87372703
B_female_K5_03	994383	0.87474414805509	869830.710175465
B_male_K5_01	990352	0.996740622846237	987124.069317017
B_male_K5_02	994141	0.91487171303927	909511.479672572
B_male_K5_03	988144	1.06474786999242	1052124.21924579
NB_female_K5_01	986684	0.630782026808804	622382.533339818
NB_female_K5_02	985750	1.15606429887103	1139590.38261212
NB_female_K5_03	984370	1.03451044879904	1018341.05048431
