group	lib.size	norm.factors	eff.lib.size
B_female_44_01	989982	1.27524969058882	1262474.2391885
B_female_44_02	985037	1.07534858270671	1059258.14186367
B_female_44_03	979684	1.10756308674776	1085061.83507739
NB_female_44_01	987911	1.14399734599934	1130167.56208355
NB_female_44_02	979631	0.930567311888888	911612.586313023
NB_female_44_03	982757	1.0339722785354	1016143.49453662
B_female_K5_01	982050	1.0800113847397	1060625.18038362
B_female_K5_02	985782	0.932450399903172	919192.820117349
B_female_K5_03	991071	0.823966031768007	816608.83907035
B_male_K5_01	985141	0.965036094187363	950696.622863833
B_male_K5_02	989341	0.92607262486238	916201.616753972
B_male_K5_03	982246	1.15894842575253	1138372.45540172
NB_female_K5_01	980467	0.567733955468232	556644.408116071
NB_female_K5_02	977264	1.21580303313468	1188160.53537333
NB_female_K5_03	976772	1.00827997333534	984859.646114704
