UniqueCount	AmbigCount
4	0
4	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
2	0
3	0
0	0
3	0
0	0
0	0
0	0
5	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
24	0
2	0
0	0
2	4
0	4
5	0
0	0
0	0
0	0
11	0
0	0
0	0
0	0
3	0
6	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
3	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	0
0	0
2	0
0	0
0	0
1	0
0	0
9	0
1	0
0	0
9	0
0	0
1	0
0	0
0	0
0	0
3	0
0	0
1	0
6	0
1	0
1	0
0	0
0	0
2	0
0	0
5	0
0	0
0	0
58	0
12	0
0	0
0	0
7	0
0	0
0	0
10	0
0	0
0	0
0	0
0	5
0	5
0	0
4	0
7	0
1	0
1	0
2	0
0	0
2	0
4	0
5	0
1	0
4	0
0	0
0	0
0	0
2	0
1	0
1	0
0	0
0	0
7	0
0	0
0	0
5	0
3	0
0	0
6	0
2	0
0	0
0	0
0	0
2	0
0	0
7	0
0	0
22	0
4	0
0	0
0	0
0	0
0	0
21	0
0	0
0	0
0	0
0	0
10	0
0	0
1	0
9	0
14	0
9	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
1	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
2	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
1	0
8	0
15	0
21	0
19	0
6	0
1	0
1	0
2	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
15	0
5	0
7	0
1	0
0	0
1	0
36	0
140	0
1	0
0	0
3	0
3	0
16	0
1	0
0	0
26	0
0	0
0	0
2	0
1	0
0	0
0	3
0	3
0	0
2	0
32	0
7	0
10	0
9	0
4	0
0	0
4	0
0	0
3	0
5	0
7	0
2	0
0	0
21	0
20	0
1	0
0	0
14	0
7	0
18	0
0	0
0	0
2	0
1	0
12	0
6	0
6	0
3	0
1	0
0	0
1	0
2	0
22	0
0	0
2	0
0	0
0	0
2	0
0	0
26	0
0	0
0	0
7	0
4	15
0	15
0	0
0	0
1	0
3	0
0	0
1	0
2	0
0	0
35	0
0	0
2	0
1	0
0	0
1	0
0	0
0	0
2	0
0	0
11	0
0	0
0	0
0	0
0	0
4	0
0	0
3	0
0	0
3	0
7	0
20	0
0	0
0	0
0	0
3	0
0	0
4	0
3	0
0	0
0	0
0	0
0	0
0	0
2	0
2	0
1	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
1	0
3	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
4	0
0	0
2	0
0	0
0	0
1	0
1	0
0	0
2	0
0	0
9	0
1	0
1	0
2	0
2	0
3	0
0	0
1	0
0	0
14	0
1	0
1	0
1	0
0	0
0	0
17	0
0	0
0	0
0	0
8	0
1	0
0	0
0	0
1	0
0	0
1	0
3	0
0	0
0	0
47	0
3	0
6	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
7	0
0	0
3	0
5	0
7	0
0	0
0	0
3	0
3	0
7	0
0	0
12	0
0	0
0	0
4	0
10	0
12	0
0	0
3	0
0	0
18	0
0	0
0	0
1	0
6	0
23	0
0	0
0	0
0	0
0	0
0	0
0	0
5	0
3	0
0	0
0	0
6	0
0	0
1	0
5	0
9	0
6	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
4	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
18	0
0	0
0	0
8	0
0	0
2	0
1	0
14	0
13	0
0	0
23	0
13	0
1	0
0	0
4	0
0	0
8	0
11	0
0	0
0	0
5	0
0	0
6	0
29	0
2	0
5	0
11	0
0	0
1	0
0	0
0	0
11	0
2	0
1	0
0	0
2	0
0	0
2	0
16	0
0	0
1	0
0	0
1	0
7	0
0	0
4	0
2	0
0	0
30	0
0	0
1	0
0	0
1	0
2	0
11	0
12	0
28	0
17	0
1	0
0	0
2	0
1	0
0	0
3	0
0	0
4	0
0	0
0	0
0	0
1	0
5	0
2	0
4	0
5	0
0	0
0	0
12	0
0	0
0	0
4	0
1	0
0	0
0	0
0	0
4	0
0	0
0	0
5	0
0	0
22	0
0	0
0	0
1	0
4	0
10	0
0	0
2	0
3	0
7	0
0	0
0	0
0	0
1	0
6	0
1	0
1	0
0	0
4	0
0	0
5	0
0	0
0	0
1	0
1	0
0	0
0	0
0	0
4	0
0	0
0	0
1	0
16	0
2	0
2	0
0	0
2	0
2	0
0	0
0	0
0	0
0	0
27	0
0	0
0	0
1	0
0	0
2	0
1	0
2	0
0	0
0	0
14	0
0	0
3	0
0	0
8	0
0	0
4	0
0	0
2	0
6	0
0	0
1	0
8	0
0	0
0	0
35	0
2	0
0	0
0	0
1	0
0	0
1	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
1	0
1	0
3	0
0	0
20	0
0	0
2	0
0	0
0	0
0	0
41	0
0	0
0	0
0	0
0	0
0	0
4	0
5	0
3	0
1	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
12	0
0	0
0	0
0	0
5	0
3	0
25	0
3	0
0	0
0	0
17	0
0	0
2	0
7	0
0	0
12	0
1	0
2	0
0	0
84	0
3	0
2	0
0	0
0	0
3	0
0	0
5	0
11	0
11	0
0	0
0	0
7	0
0	0
7	0
0	0
40	0
6	0
2	0
0	0
1	0
0	0
0	0
0	0
0	0
3	0
3	0
14	0
0	0
0	0
1	0
3	0
0	0
3	0
6	0
1	0
33	0
7	0
0	0
0	0
22	0
0	0
15	0
0	5
0	5
99	0
16	0
2	0
3	0
2	0
129	0
0	0
0	0
17	0
4	0
2	0
0	0
2	0
1	0
0	0
0	0
18	0
0	0
0	0
0	0
1	0
0	0
0	0
2	0
0	0
0	0
0	0
5	0
1	0
5	0
1	0
1	0
0	0
0	0
5	0
0	0
0	0
0	0
16	0
2	0
0	0
14	0
4	0
0	0
0	0
0	0
2	0
11	0
1	0
10	0
31	0
1	0
0	0
0	0
0	0
0	0
0	0
1	0
1	0
0	0
0	0
0	0
1	0
0	0
0	0
11	0
2	0
0	0
0	0
0	0
1	0
3	0
0	0
20	0
1	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
23	0
0	0
0	0
1	0
21	0
0	0
0	0
2	0
3	0
0	0
0	0
7	0
3	0
7	0
0	0
0	0
24	0
0	0
0	0
0	0
0	0
0	0
11	0
0	0
1	0
1	0
0	0
0	1
2	1
1	0
0	0
2	0
2	0
1	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
3	0
0	0
29	0
0	0
0	0
2	0
9	0
2	0
0	0
2	0
5	0
0	0
0	0
4	0
0	0
2	0
3	0
0	0
1	0
149	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
5	0
0	0
0	0
1	0
0	0
3	0
20	0
14	0
2	0
0	0
2	0
14	0
0	0
0	0
0	0
1	0
19	0
0	0
0	0
0	0
3	0
7	0
0	0
2	0
1	0
0	0
9	0
2	0
0	0
3	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
1	0
0	0
3	0
0	0
0	0
2	0
1	0
0	6
6	6
56	0
2	0
0	0
3	0
0	0
0	0
3	0
2	0
1	0
4	0
1	0
0	0
0	0
15	0
3	0
3	0
2	0
0	0
2	0
25	0
0	0
1	0
3	0
1	0
9	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
2	0
1	0
1	0
3	0
1	0
0	0
4	0
15	0
10	0
114	0
148	0
8	0
13	0
0	0
3	0
1	0
0	0
0	0
3	0
1	0
0	0
0	0
0	0
25	0
10	0
0	0
4	0
0	0
2	0
8	0
0	0
0	0
0	0
0	0
1	0
2	0
2	0
1	0
0	0
0	0
1	0
0	0
0	0
7	0
1	0
0	0
4	0
19	0
0	0
11	0
0	0
0	0
0	0
0	0
0	0
2	0
2	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	0
0	0
0	0
2	0
3	0
0	0
1	0
0	0
1	0
5	0
2	0
1	0
0	0
0	0
0	0
0	0
2	0
0	0
2	0
2	0
0	0
0	0
0	0
6	0
0	0
0	0
2	0
0	0
1	0
0	0
0	0
0	0
1	0
0	0
10	0
1	0
0	0
0	0
1	0
1	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
1	0
2	0
0	0
1	0
0	0
42	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
6	0
34	0
0	0
0	0
1	0
5	0
0	0
2	0
0	0
0	0
9	0
0	0
0	0
0	0
3	0
0	0
0	0
5	0
0	0
1	0
4	0
5	0
0	0
0	0
0	0
16	0
0	0
1	0
6	9
1	9
0	0
0	0
3	0
19	0
0	0
6	0
2	0
3	0
1	0
6	0
2	0
8	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
1	0
7	0
1	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
13	0
3	0
4	0
0	0
1	0
0	0
16	0
3	0
1	0
0	0
0	0
7	0
4	0
0	0
0	0
0	0
0	0
4	0
1	0
0	1
0	1
1	0
0	0
0	0
0	0
4	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
3	0
1	0
0	0
0	0
4	0
4	0
0	0
6	0
2	0
1	0
0	0
2	0
0	0
0	0
8	0
0	0
4	0
0	0
6	0
1	0
0	0
3	0
0	0
1	29
0	29
1	0
3	0
0	0
0	0
3	0
0	0
0	0
3	0
1	0
0	0
4	0
3	0
20	0
0	0
0	0
3	0
7	0
0	0
0	0
2	0
0	0
0	0
2	0
1	0
3	0
0	0
9	0
2	0
2	0
11	0
0	0
0	0
0	0
2	0
1	0
1	0
0	0
0	0
0	0
13	0
3	0
0	0
0	0
0	0
7	0
0	0
2	0
1	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
32	0
3	0
0	0
0	0
0	0
0	0
2	0
2	8
0	8
0	0
0	0
5	0
0	0
0	0
0	0
0	0
40	0
1	0
0	0
0	0
31	0
0	0
6	0
9	0
1	0
0	0
5	0
33	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
1	0
0	0
0	0
0	0
0	5
0	5
0	0
0	0
0	8
0	8
6	0
1	0
0	0
2	0
0	0
0	0
0	0
0	0
1	0
1	0
0	0
0	0
1	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
3	0
0	0
0	0
7	0
1	0
0	0
0	0
12	0
8	0
2	7
0	7
0	0
0	0
2	0
0	0
1	0
7	0
0	0
5	0
