% WARNING - This is exported REVIGO data useful only for the specific purpose of constructing a TreeMap visualization.
% Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive 
% threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.
% To export a reduced-redundancy set of GO terms, go to the Scatterplot & Table tab, and export to CSV from there.
term_ID,description,frequencyInDb,log10pvalue,uniqueness,dispensability,representative
GO:0008150,"biological_process",100.000%,-3.9104,1.000,0.000,"biological_process"
GO:0008152,"metabolic process",75.387%,-3.1081,0.999,0.000,"metabolism"
GO:0009987,"cellular process",63.780%,-3.9577,0.998,0.000,"cellular process"
GO:0022610,"biological adhesion",0.550%,-1.5912,0.994,0.000,"biological adhesion"
GO:0032502,"developmental process",2.812%,-4.4574,0.994,0.000,"developmental process"
GO:0044699,"single-organism process",46.569%,-4.0837,0.997,0.000,"single-organism process"
GO:0044767,"single-organism developmental process",2.699%,-4.4405,0.818,0.000,"single-organism developmental process"
GO:0033327,"Leydig cell differentiation",0.002%,-1.8568,0.791,0.547,"single-organism developmental process"
GO:0044763,"single-organism cellular process",27.536%,-4.1131,0.895,0.167,"single-organism developmental process"
GO:0044237,"cellular metabolic process",53.061%,-3.8183,0.933,0.169,"single-organism developmental process"
GO:0030225,"macrophage differentiation",0.007%,-1.7491,0.780,0.526,"single-organism developmental process"
GO:0031424,"keratinization",0.005%,-1.9515,0.779,0.513,"single-organism developmental process"
GO:0001501,"skeletal system development",0.107%,-2.2688,0.790,0.664,"single-organism developmental process"
GO:0050774,"negative regulation of dendrite morphogenesis",0.003%,-3.5901,0.616,0.492,"single-organism developmental process"
GO:0043584,"nose development",0.003%,-3.6590,0.824,0.492,"single-organism developmental process"
GO:0030238,"male sex determination",0.003%,-1.8580,0.826,0.496,"single-organism developmental process"
GO:0061061,"muscle structure development",0.142%,-1.8043,0.850,0.683,"single-organism developmental process"
GO:0014037,"Schwann cell differentiation",0.007%,-1.9727,0.779,0.544,"single-organism developmental process"
GO:0001649,"osteoblast differentiation",0.040%,-2.0932,0.762,0.607,"single-organism developmental process"
GO:0035265,"organ growth",0.034%,-2.0739,0.795,0.599,"single-organism developmental process"
GO:0007530,"sex determination",0.015%,-1.5623,0.897,0.605,"single-organism developmental process"
GO:0010830,"regulation of myotube differentiation",0.011%,-2.8547,0.697,0.576,"single-organism developmental process"
GO:0060348,"bone development",0.038%,-1.9840,0.799,0.604,"single-organism developmental process"
GO:0035149,"lumen formation, open tracheal system",0.001%,-1.7266,0.724,0.677,"single-organism developmental process"
GO:0065007,"biological regulation",20.498%,-3.7541,0.995,0.000,"biological regulation"
GO:0071840,"cellular component organization or biogenesis",8.568%,-1.8687,0.995,0.000,"cellular component organization or biogenesis"
GO:2001032,"regulation of double-strand break repair via nonhomologous end joining",0.004%,-4.6367,0.675,0.000,"regulation of double-strand break repair via nonhomologous end joining"
GO:0006302,"double-strand break repair",0.211%,-2.1486,0.789,0.455,"regulation of double-strand break repair via nonhomologous end joining"
GO:0051193,"regulation of cofactor metabolic process",0.017%,-2.4095,0.764,0.319,"regulation of double-strand break repair via nonhomologous end joining"
GO:0048518,"positive regulation of biological process",1.744%,-2.3710,0.748,0.299,"regulation of double-strand break repair via nonhomologous end joining"
