B_female_44_01	B_female_44_02	B_female_44_03	NB_female_44_01	NB_female_44_02	NB_female_44_03
TRINITY_DN173340_c1_g1	0.534383993759791	1.54564240116562	0.882988871278108	-0.987671755401173	-0.987671755401173	-0.987671755401173
TRINITY_DN186396_c0_g4	-1.08489792010652	-1.08489792010652	-1.08489792010652	0.503906646909034	2.73067750875606	0.0201096046544578
TRINITY_DN183461_c1_g2	-1.11084273706703	-1.11084273706703	-1.11084273706703	0.87974913552055	1.55750335136421	0.895275724316346
TRINITY_DN190915_c3_g3	-1.05022488745308	-1.05022488745308	-1.05022488745308	0.990667543193823	1.67617040419737	0.48383671496804
TRINITY_DN170073_c8_g2	2.16760554589369	0.198491734036276	0.820311242341307	-1.06213617409042	-1.06213617409042	-1.06213617409042
TRINITY_DN192743_c1_g3	-1.89943534598127	-1.88140142315101	-1.81510207907403	2.52523085449535	4.76395172991188	-1.69324373620093
TRINITY_DN153606_c1_g1	-1.02585849023425	-1.02585849023425	-1.02585849023425	0.718302605336163	1.33759296683747	1.02167989852911
TRINITY_DN194704_c2_g1	-1.31873177446499	-1.31873177446499	-1.31873177446499	0.793301061768823	3.6027045563413	-0.439810294715144
TRINITY_DN169246_c3_g2	-0.0498625846373344	1.64419553366002	1.45011396359172	-1.01481563753813	-1.01481563753813	-1.01481563753813
TRINITY_DN159185_c3_g2	-1.14865024269709	-1.30827942851831	-1.30827942851831	1.28292124441406	1.12494711977159	1.35734073554807
TRINITY_DN155097_c4_g4	-1.0756235813956	-1.0756235813956	-1.0756235813956	1.63653195033245	0.281083671539781	1.30925512231457
TRINITY_DN194524_c2_g1	0.802999935941248	1.44564820558732	0.750792843244553	-0.999813661591039	-0.999813661591039	-0.999813661591039
TRINITY_DN179137_c0_g4	0.87428848570907	1.4060608914779	1.06311185269906	-1.11448707662868	-1.11448707662868	-1.11448707662868
TRINITY_DN198225_c0_g3	1.22269508809164	1.34573170621882	0.352364798551272	-0.973597197620581	-0.973597197620581	-0.973597197620581
TRINITY_DN163144_c6_g1	-0.866939101581517	-0.866939101581517	-0.866939101581517	0.9163079957966	1.56013065362927	0.124378655318682
TRINITY_DN168987_c4_g2	-1.07773682498585	-1.07773682498585	-1.07773682498585	1.06989550183801	2.57474966993231	-0.411434696812758
TRINITY_DN177344_c6_g6	-2.08237076167486	-1.80942088697598	-1.57158340771209	1.79049195521115	4.37330224446897	-0.700419143317191
TRINITY_DN154507_c0_g1	-1.76602376962597	-1.8624904868029	-1.06777271694771	1.43253232403341	1.17615286593838	2.08760178340478
TRINITY_DN140582_c0_g1	3.93541281467575	-0.495542596135967	2.7068390798741	-2.04890309947129	-2.04890309947129	-2.04890309947129
TRINITY_DN188884_c1_g1	-1.04287244521119	-1.04287244521119	-1.04287244521119	0.798698192184331	2.54497256404309	-0.215053420593866
TRINITY_DN197952_c6_g1	0.968943647838325	0.959952196903277	0.435342951265802	-0.788079598669135	-0.788079598669135	-0.788079598669135
TRINITY_DN174262_c0_g2	0.37587198535392	2.05139052516755	3.30116747852858	-1.98168001926416	-1.98168001926416	-1.76506995052172
TRINITY_DN167691_c6_g1	2.12539325509498	1.38973259257042	0.208290523661048	-1.24113879044215	-1.24113879044215	-1.24113879044215
TRINITY_DN110600_c0_g1	-0.803433053627059	-0.803433053627059	-0.803433053627059	0.751401342267134	1.15781983043115	0.501077988182894
TRINITY_DN252227_c0_g1	-1.63485743408274	-1.63485743408274	-1.63485743408274	2.25354488456778	3.59972052570182	-0.948693108021383
TRINITY_DN177471_c12_g7	-0.772584550223268	-0.772584550223268	-0.772584550223268	0.984438696284191	0.61532937416268	0.717985580222933
TRINITY_DN155191_c5_g1	-1.03056934658775	-1.03056934658775	-1.03056934658775	0.496000313910033	2.44995429980051	0.145753426052712
TRINITY_DN149411_c5_g1	-1.01986079057057	-1.01986079057057	-1.01986079057057	0.989844681713101	1.10082291823142	0.96891477176718
TRINITY_DN50592_c0_g1	-1.28107778361232	-1.28107778361232	-1.28107778361232	1.70824291194215	3.0860835727487	-0.951093133853897
TRINITY_DN172582_c0_g2	-1.21372161938616	-1.21372161938616	-1.21372161938616	1.36787065944986	2.7062857816184	-0.432991582909781
TRINITY_DN170582_c4_g1	1.15411317340876	1.85811909238017	0.159399485109599	-1.05721058363284	-1.05721058363284	-1.05721058363284
TRINITY_DN151799_c0_g1	-1.20490920577411	-1.20490920577411	-1.20490920577411	1.14615369316628	1.26341343817376	1.20516048598227
TRINITY_DN157956_c3_g1	1.5116800489206	0.411125163005932	2.80250593973787	-1.57510371722147	-1.57510371722147	-1.57510371722147
TRINITY_DN161079_c8_g2	-1.12821888118082	-1.12821888118082	-1.12821888118082	-0.659374938206186	2.2143358642965	1.82969571745216
TRINITY_DN191962_c6_g1	2.99789880303791	0.728691053399106	-0.327987757918251	-1.13286736617292	-1.13286736617292	-1.13286736617292
TRINITY_DN192653_c5_g1	-1.08157886310816	-1.08157886310816	-1.08157886310816	1.99737247828666	1.84764403259841	-0.600279921560595
TRINITY_DN162514_c8_g1	-1.5149977162755	-1.5149977162755	-1.5149977162755	-0.0228881636228884	3.88564267380619	0.682238638643206
TRINITY_DN162892_c4_g1	-1.22736742069955	-1.22736742069955	-1.22736742069955	1.53625661162239	-0.618558178024021	2.76440382850027
TRINITY_DN158461_c0_g1	-0.887923434242678	-0.887923434242678	-0.887923434242678	1.52972658291801	0.559391266010498	0.574652453799526
TRINITY_DN15186_c0_g1	-0.971796401839085	-0.971796401839085	-0.971796401839085	0.0910160905659365	1.58671615116145	1.23765696378986
TRINITY_DN166638_c3_g2	-2.76074294974601	-3.03385656167617	-2.44889406095502	6.246310937839	4.69429158121448	-2.69710894667629
TRINITY_DN160988_c0_g2	-1.35786315363273	-1.35786315363273	-1.35786315363273	1.71389951566736	3.4861206904156	-1.12643074518477
TRINITY_DN177458_c4_g3	-1.7967043239822	-1.7967043239822	-1.7967043239822	1.55746570204265	4.04968869687016	-0.217041426966197
TRINITY_DN184951_c3_g6	0.354221113175582	2.05413745201078	0.918275897331206	-1.10887815417252	-1.10887815417252	-1.10887815417252
TRINITY_DN188203_c0_g3	-1.49918907479048	-1.49918907479048	-1.49918907479048	2.01682607221318	2.11599177652476	0.364749375633492
TRINITY_DN182558_c5_g6	-2.89676430587272	5.43410366870671	5.81930823941588	-2.5439752472806	-2.33244445244882	-3.48022790252046
TRINITY_DN189902_c1_g3	1.28672649236051	1.1455031504968	2.53217241483069	-1.64022175558926	-1.42092414067568	-1.90325616142306
TRINITY_DN227835_c0_g1	-1.61746758063931	-1.61746758063931	-1.61746758063931	2.47304714924894	3.73860578377229	-1.35925019110329
TRINITY_DN160011_c6_g2	-1.30481281878365	-1.67087806117708	-2.19796474974888	2.6711088806574	1.07396989432855	1.42857685472367
TRINITY_DN167188_c2_g3	0.917837633673342	0.33582586160279	1.31354687201776	-0.855736789097965	-0.855736789097965	-0.855736789097965
TRINITY_DN183050_c0_g2	1.05464909298705	0.50162655633944	0.818956134269452	-0.791743927865313	-0.791743927865313	-0.791743927865313
TRINITY_DN179269_c2_g2	-1.11945232880856	-1.11945232880856	-1.11945232880856	0.998907397144499	2.85222916548374	-0.492779576202565
TRINITY_DN162545_c2_g1	-1.23146310941725	-1.23146310941725	-1.23146310941725	1.28303792685703	3.08699835575033	-0.675646954355612
