,Count,Percent,Term
GO:0000003,2,0.37037037037037,reproduction
GO:0000278,0,0,mitotic cell cycle
GO:0000902,15,2.77777777777778,cell morphogenesis
GO:0002376,29,5.37037037037037,immune system process
GO:0003013,0,0,circulatory system process
GO:0005975,0,0,carbohydrate metabolic process
GO:0006091,0,0,generation of precursor metabolites...
GO:0006259,1,0.185185185185185,DNA metabolic process
GO:0006397,0,0,mRNA processing
GO:0006399,0,0,tRNA metabolic process
GO:0006412,0,0,translation
GO:0006457,0,0,protein folding
GO:0006464,23,4.25925925925926,cellular protein modification proce...
GO:0006520,0,0,cellular amino acid metabolic proce...
GO:0006605,3,0.555555555555556,protein targeting
GO:0006629,0,0,lipid metabolic process
GO:0006790,0,0,sulfur compound metabolic process
GO:0006810,13,2.40740740740741,transport
GO:0006913,0,0,nucleocytoplasmic transport
GO:0006914,0,0,autophagy
GO:0006950,33,6.11111111111111,response to stress
GO:0007005,4,0.740740740740741,mitochondrion organization
GO:0007009,0,0,plasma membrane organization
GO:0007010,0,0,cytoskeleton organization
GO:0007034,0,0,vacuolar transport
GO:0007049,0,0,cell cycle
GO:0007059,0,0,chromosome segregation
GO:0007155,0,0,cell adhesion
GO:0007165,42,7.77777777777778,signal transduction
GO:0007267,0,0,cell-cell signaling
GO:0007568,0,0,aging
GO:0008150,216,40,biological_process
GO:0008219,31,5.74074074074074,cell death
GO:0008283,0,0,cell proliferation
GO:0009056,14,2.59259259259259,catabolic process
GO:0009058,2,0.37037037037037,biosynthetic process
GO:0009790,0,0,embryo development
GO:0015031,7,1.2962962962963,protein transport
GO:0015979,0,0,photosynthesis
GO:0016192,3,0.555555555555556,vesicle-mediated transport
GO:0019748,0,0,secondary metabolic process
GO:0021700,0,0,developmental maturation
GO:0022607,9,1.66666666666667,cellular component assembly
GO:0022618,0,0,ribonucleoprotein complex assembly
GO:0030154,23,4.25925925925926,cell differentiation
GO:0030198,0,0,extracellular matrix organization
GO:0030705,0,0,cytoskeleton-dependent intracellula...
GO:0032196,0,0,transposition
GO:0034330,0,0,cell junction organization
GO:0034641,7,1.2962962962963,cellular nitrogen compound metaboli...
GO:0034655,4,0.740740740740741,nucleobase-containing compound cata...
GO:0040007,13,2.40740740740741,growth
GO:0040011,12,2.22222222222222,locomotion
GO:0042254,0,0,ribosome biogenesis
GO:0042592,0,0,homeostatic process
GO:0043473,0,0,pigmentation
GO:0044281,0,0,small molecule metabolic process
GO:0044403,0,0,symbiont process
GO:0048646,0,0,anatomical structure formation invo...
GO:0048856,29,5.37037037037037,anatomical structure development
GO:0048870,0,0,cell motility
GO:0050877,0,0,nervous system process
GO:0051186,0,0,cofactor metabolic process
GO:0051276,1,0.185185185185185,chromosome organization
GO:0051301,0,0,cell division
GO:0051604,0,0,protein maturation
GO:0055085,0,0,transmembrane transport
GO:0061024,0,0,membrane organization
GO:0065003,4,0.740740740740741,protein-containing complex assembly
GO:0071554,0,0,cell wall organization or biogenesi...
GO:0071941,0,0,nitrogen cycle metabolic process
GO:0140014,0,0,mitotic nuclear division
