description	log10pvalue	representative
protein polyubiquitination	3.5764	protein polyubiquitination
protein modification by small protein conjugation or removal	2.6257	protein polyubiquitination
histone ubiquitination	2.0681	protein polyubiquitination
cellular protein modification process	1.3255	protein polyubiquitination
protein K63-linked ubiquitination	1.7269	protein polyubiquitination
proteolysis	2.098	protein polyubiquitination
protein monoubiquitination	1.7849	protein polyubiquitination
catabolic process	1.7879	catabolism
negative regulation of apoptotic signaling pathway	3.4489	negative regulation of apoptotic signaling pathway
negative regulation of chemotaxis	1.8984	negative regulation of apoptotic signaling pathway
body morphogenesis	1.7615	negative regulation of apoptotic signaling pathway
cellular response to inorganic substance	1.426	negative regulation of apoptotic signaling pathway
programmed necrotic cell death	2.0805	negative regulation of apoptotic signaling pathway
response to endoplasmic reticulum stress	1.4483	negative regulation of apoptotic signaling pathway
regulation of protein transport	2.3312	negative regulation of apoptotic signaling pathway
negative regulation of cell projection organization	1.431	negative regulation of apoptotic signaling pathway
base-excision repair	1.9626	negative regulation of apoptotic signaling pathway
positive regulation of multicellular organismal process	1.4957	negative regulation of apoptotic signaling pathway
positive regulation of NIK/NF-kappaB signaling	1.6376	negative regulation of apoptotic signaling pathway
protein homotrimerization	1.9869	negative regulation of apoptotic signaling pathway
protein trimerization	1.9339	negative regulation of apoptotic signaling pathway
negative regulation of glial cell apoptotic process	2.3141	negative regulation of apoptotic signaling pathway
negative regulation of cellular component movement	1.4701	negative regulation of apoptotic signaling pathway
regulation of localization	2.1372	negative regulation of apoptotic signaling pathway
positive regulation of I-kappaB phosphorylation	2.4374	negative regulation of apoptotic signaling pathway
positive regulation of presynapse assembly	2.9629	negative regulation of apoptotic signaling pathway
necrotic cell death	2.057	negative regulation of apoptotic signaling pathway
cellular response to nitric oxide	2.2194	negative regulation of apoptotic signaling pathway
response to nitric oxide	2.1779	negative regulation of apoptotic signaling pathway
I-kappaB kinase/NF-kappaB signaling	1.6417	negative regulation of apoptotic signaling pathway
positive regulation of tumor necrosis factor-mediated signaling pathway	2.251	negative regulation of apoptotic signaling pathway
cellular response to reactive nitrogen species	2.1791	negative regulation of apoptotic signaling pathway
regulation of adaptive immune response	1.7741	negative regulation of apoptotic signaling pathway
negative regulation of sensory neuron axon guidance	3.031	negative regulation of apoptotic signaling pathway
regulation of synaptic growth at neuromuscular junction	1.9644	negative regulation of apoptotic signaling pathway
regulation of protein homodimerization activity	1.9506	negative regulation of apoptotic signaling pathway
regulation of mRNA stability	1.5347	negative regulation of apoptotic signaling pathway
oviposition	2.6156	negative regulation of apoptotic signaling pathway
regulation of RNA stability	1.5075	negative regulation of apoptotic signaling pathway
death-inducing signaling complex assembly	2.3676	negative regulation of apoptotic signaling pathway
positive regulation of peptidase activity	1.5202	negative regulation of apoptotic signaling pathway
regulation of response to cytokine stimulus	1.5705	negative regulation of apoptotic signaling pathway
cellular response to stress	1.4653	negative regulation of apoptotic signaling pathway
myeloid leukocyte activation	1.495	negative regulation of apoptotic signaling pathway
dorsal/ventral axon guidance	2.5615	negative regulation of apoptotic signaling pathway
regulation of MAPK cascade	2.2491	negative regulation of apoptotic signaling pathway
positive regulation of NF-kappaB transcription factor activity	1.4612	negative regulation of apoptotic signaling pathway
reproductive behavior	1.9081	negative regulation of apoptotic signaling pathway
regulation of protein stability	1.3366	negative regulation of apoptotic signaling pathway
regulation of interleukin-2 production	1.9796	negative regulation of apoptotic signaling pathway
regulation of mitochondrion organization	1.6277	negative regulation of apoptotic signaling pathway
regulation of sprouting of injured axon	2.0814	negative regulation of apoptotic signaling pathway
leukocyte degranulation	1.6208	negative regulation of apoptotic signaling pathway
positive regulation of cellular component organization	1.6082	negative regulation of apoptotic signaling pathway
regulation of cellular response to stress	2.1877	negative regulation of apoptotic signaling pathway
regulation of phosphorus metabolic process	1.5947	negative regulation of apoptotic signaling pathway
regulation of immunoglobulin production	1.9957	negative regulation of apoptotic signaling pathway
macromolecule catabolic process	2.5315	macromolecule catabolism
protein catabolic process	2.0494	macromolecule catabolism
