% WARNING - This is exported REVIGO data useful only for the specific purpose of constructing a TreeMap visualization.
% Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive 
% threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.
% To export a reduced-redundancy set of GO terms, go to the Scatterplot & Table tab, and export to CSV from there.
term_ID,description,frequencyInDb,log10pvalue,uniqueness,dispensability,representative
GO:0006913,"nucleocytoplasmic transport",0.237%,-2.3960,0.948,0.000,"nucleocytoplasmic transport"
GO:0060003,"copper ion export",0.015%,-2.2506,0.963,0.192,"nucleocytoplasmic transport"
GO:0006812,"cation transport",3.242%,-1.5498,0.958,0.452,"nucleocytoplasmic transport"
GO:0051169,"nuclear transport",0.239%,-2.3725,0.956,0.677,"nucleocytoplasmic transport"
GO:0007157,"heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules",0.008%,-1.5881,0.960,0.000,"heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules"
GO:0008150,"biological_process",100.000%,-6.8716,1.000,0.000,"biological_process"
GO:0008152,"metabolic process",75.387%,-2.4750,0.999,0.000,"metabolism"
GO:0009987,"cellular process",63.780%,-5.1610,0.998,0.000,"cellular process"
GO:0010862,"positive regulation of pathway-restricted SMAD protein phosphorylation",0.010%,-4.1307,0.551,0.000,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0032781,"positive regulation of ATPase activity",0.033%,-1.4706,0.795,0.549,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0060968,"regulation of gene silencing",0.029%,-1.4631,0.673,0.682,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0055076,"transition metal ion homeostasis",0.197%,-3.2024,0.717,0.212,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0048513,"animal organ development",0.779%,-3.2915,0.704,0.668,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0080090,"regulation of primary metabolic process",11.675%,-5.1885,0.619,0.693,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:2001252,"positive regulation of chromosome organization",0.026%,-1.6012,0.679,0.636,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0071260,"cellular response to mechanical stimulus",0.011%,-2.7411,0.854,0.231,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0097284,"hepatocyte apoptotic process",0.002%,-2.1854,0.877,0.564,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0051246,"regulation of protein metabolic process",1.551%,-2.4790,0.675,0.334,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0071281,"cellular response to iron ion",0.005%,-2.0977,0.853,0.693,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:2000291,"regulation of myoblast proliferation",0.002%,-2.3525,0.779,0.540,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0035562,"negative regulation of chromatin binding",0.002%,-1.9566,0.826,0.125,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0032332,"positive regulation of chondrocyte differentiation",0.003%,-1.9971,0.568,0.554,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0042052,"rhabdomere development",0.002%,-1.7899,0.728,0.537,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0001975,"response to amphetamine",0.003%,-1.8478,0.876,0.640,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0070232,"regulation of T cell apoptotic process",0.006%,-1.9991,0.751,0.594,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0032350,"regulation of hormone metabolic process",0.007%,-1.6778,0.721,0.634,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0032349,"positive regulation of aldosterone biosynthetic process",0.000%,-2.9500,0.629,0.420,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0048070,"regulation of developmental pigmentation",0.005%,-1.8888,0.791,0.138,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:1902275,"regulation of chromatin organization",0.069%,-1.7943,0.748,0.564,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0071214,"cellular response to abiotic stimulus",0.113%,-2.3756,0.843,0.645,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0044267,"cellular protein metabolic process",14.293%,-2.5989,0.871,0.572,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0019222,"regulation of metabolic process",11.942%,-4.3512,0.667,0.698,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0060546,"negative regulation of necroptotic process",0.002%,-2.3932,0.722,0.134,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0050794,"regulation of cellular process",18.840%,-6.3515,0.643,0.454,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0030225,"macrophage differentiation",0.007%,-1.9194,0.701,0.653,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0019932,"second-messenger-mediated signaling",0.079%,-1.6202,0.685,0.428,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0050773,"regulation of dendrite development",0.023%,-2.5704,0.578,0.630,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0070887,"cellular response to chemical stimulus",1.007%,-1.5267,0.813,0.601,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0010038,"response to metal ion",0.132%,-1.9383,0.860,0.234,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0036462,"TRAIL-activated apoptotic signaling pathway",0.002%,-1.9977,0.697,0.552,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0045992,"negative regulation of embryonic development",0.006%,-1.5391,0.600,0.609,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:1901566,"organonitrogen compound biosynthetic process",14.064%,-6.0404,0.892,0.585,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0010566,"regulation of ketone biosynthetic process",0.007%,-2.1363,0.737,0.690,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0007223,"Wnt signaling pathway, calcium modulating pathway",0.001%,-1.9038,0.710,0.456,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:0009612,"response to mechanical stimulus",0.035%,-1.7324,0.871,0.696,"positive regulation of pathway-restricted SMAD protein phosphorylation"
GO:2000848,"positive regulation of corticosteroid hormone secretion",0.001%,-2.9500,0.526,0.546,"positive regulation of pathway-restricted SMAD protein phosphorylation"
