description	log10pvalue	representative
nucleocytoplasmic transport	2.396	nucleocytoplasmic transport
copper ion export	2.2506	nucleocytoplasmic transport
cation transport	1.5498	nucleocytoplasmic transport
nuclear transport	2.3725	nucleocytoplasmic transport
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	1.5881	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
biological_process	6.8716	biological_process
metabolic process	2.475	metabolism
cellular process	5.161	cellular process
positive regulation of pathway-restricted SMAD protein phosphorylation	4.1307	positive regulation of pathway-restricted SMAD protein phosphorylation
positive regulation of ATPase activity	1.4706	positive regulation of pathway-restricted SMAD protein phosphorylation
regulation of gene silencing	1.4631	positive regulation of pathway-restricted SMAD protein phosphorylation
transition metal ion homeostasis	3.2024	positive regulation of pathway-restricted SMAD protein phosphorylation
animal organ development	3.2915	positive regulation of pathway-restricted SMAD protein phosphorylation
regulation of primary metabolic process	5.1885	positive regulation of pathway-restricted SMAD protein phosphorylation
positive regulation of chromosome organization	1.6012	positive regulation of pathway-restricted SMAD protein phosphorylation
cellular response to mechanical stimulus	2.7411	positive regulation of pathway-restricted SMAD protein phosphorylation
hepatocyte apoptotic process	2.1854	positive regulation of pathway-restricted SMAD protein phosphorylation
regulation of protein metabolic process	2.479	positive regulation of pathway-restricted SMAD protein phosphorylation
cellular response to iron ion	2.0977	positive regulation of pathway-restricted SMAD protein phosphorylation
regulation of myoblast proliferation	2.3525	positive regulation of pathway-restricted SMAD protein phosphorylation
negative regulation of chromatin binding	1.9566	positive regulation of pathway-restricted SMAD protein phosphorylation
positive regulation of chondrocyte differentiation	1.9971	positive regulation of pathway-restricted SMAD protein phosphorylation
rhabdomere development	1.7899	positive regulation of pathway-restricted SMAD protein phosphorylation
response to amphetamine	1.8478	positive regulation of pathway-restricted SMAD protein phosphorylation
regulation of T cell apoptotic process	1.9991	positive regulation of pathway-restricted SMAD protein phosphorylation
regulation of hormone metabolic process	1.6778	positive regulation of pathway-restricted SMAD protein phosphorylation
positive regulation of aldosterone biosynthetic process	2.95	positive regulation of pathway-restricted SMAD protein phosphorylation
regulation of developmental pigmentation	1.8888	positive regulation of pathway-restricted SMAD protein phosphorylation
regulation of chromatin organization	1.7943	positive regulation of pathway-restricted SMAD protein phosphorylation
cellular response to abiotic stimulus	2.3756	positive regulation of pathway-restricted SMAD protein phosphorylation
cellular protein metabolic process	2.5989	positive regulation of pathway-restricted SMAD protein phosphorylation
regulation of metabolic process	4.3512	positive regulation of pathway-restricted SMAD protein phosphorylation
negative regulation of necroptotic process	2.3932	positive regulation of pathway-restricted SMAD protein phosphorylation
regulation of cellular process	6.3515	positive regulation of pathway-restricted SMAD protein phosphorylation
macrophage differentiation	1.9194	positive regulation of pathway-restricted SMAD protein phosphorylation
second-messenger-mediated signaling	1.6202	positive regulation of pathway-restricted SMAD protein phosphorylation
regulation of dendrite development	2.5704	positive regulation of pathway-restricted SMAD protein phosphorylation
cellular response to chemical stimulus	1.5267	positive regulation of pathway-restricted SMAD protein phosphorylation
response to metal ion	1.9383	positive regulation of pathway-restricted SMAD protein phosphorylation
TRAIL-activated apoptotic signaling pathway	1.9977	positive regulation of pathway-restricted SMAD protein phosphorylation
negative regulation of embryonic development	1.5391	positive regulation of pathway-restricted SMAD protein phosphorylation
organonitrogen compound biosynthetic process	6.0404	positive regulation of pathway-restricted SMAD protein phosphorylation
regulation of ketone biosynthetic process	2.1363	positive regulation of pathway-restricted SMAD protein phosphorylation
Wnt signaling pathway, calcium modulating pathway	1.9038	positive regulation of pathway-restricted SMAD protein phosphorylation
response to mechanical stimulus	1.7324	positive regulation of pathway-restricted SMAD protein phosphorylation
positive regulation of corticosteroid hormone secretion	2.95	positive regulation of pathway-restricted SMAD protein phosphorylation
regulation of cytokine production	1.5353	positive regulation of pathway-restricted SMAD protein phosphorylation
muscle structure development	2.1741	positive regulation of pathway-restricted SMAD protein phosphorylation
multicellular organismal iron ion homeostasis	2.6484	positive regulation of pathway-restricted SMAD protein phosphorylation
regulation of skeletal muscle satellite cell proliferation	2.3556	positive regulation of pathway-restricted SMAD protein phosphorylation
negative regulation of response to biotic stimulus	1.7303	positive regulation of pathway-restricted SMAD protein phosphorylation
regulation of response to biotic stimulus	1.7012	positive regulation of pathway-restricted SMAD protein phosphorylation
regulation of lipid biosynthetic process	2.2399	positive regulation of pathway-restricted SMAD protein phosphorylation
G-protein coupled acetylcholine receptor signaling pathway	1.8488	positive regulation of pathway-restricted SMAD protein phosphorylation
neural tube patterning	2.348	positive regulation of pathway-restricted SMAD protein phosphorylation
dopamine receptor signaling pathway	1.4972	positive regulation of pathway-restricted SMAD protein phosphorylation
enzyme linked receptor protein signaling pathway	1.8362	positive regulation of pathway-restricted SMAD protein phosphorylation
cell surface receptor signaling pathway	1.9062	positive regulation of pathway-restricted SMAD protein phosphorylation
signal transduction	2.4717	positive regulation of pathway-restricted SMAD protein phosphorylation
post-anal tail morphogenesis	1.4582	positive regulation of pathway-restricted SMAD protein phosphorylation
response to inorganic substance	1.4812	positive regulation of pathway-restricted SMAD protein phosphorylation
phosphatidylinositol 3-kinase signaling	1.6651	positive regulation of pathway-restricted SMAD protein phosphorylation
G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	2.7803	positive regulation of pathway-restricted SMAD protein phosphorylation
adenylate cyclase-modulating G-protein coupled receptor signaling pathway	2.8685	positive regulation of pathway-restricted SMAD protein phosphorylation
positive regulation of cardiac muscle hypertrophy in response to stress	2.9484	positive regulation of pathway-restricted SMAD protein phosphorylation
type B pancreatic cell development	1.858	positive regulation of pathway-restricted SMAD protein phosphorylation
muscle adaptation	1.6649	positive regulation of pathway-restricted SMAD protein phosphorylation
negative regulation of posttranscriptional gene silencing	2.2957	positive regulation of pathway-restricted SMAD protein phosphorylation
regulation of multi-organism process	1.6002	positive regulation of pathway-restricted SMAD protein phosphorylation
phospholipase C-activating dopamine receptor signaling pathway	2.9694	positive regulation of pathway-restricted SMAD protein phosphorylation
male genitalia development	1.9604	positive regulation of pathway-restricted SMAD protein phosphorylation
regulation of immune system process	2.7993	positive regulation of pathway-restricted SMAD protein phosphorylation
positive regulation of histone methylation	3.2835	positive regulation of pathway-restricted SMAD protein phosphorylation
regulation of osteoblast differentiation	1.4628	positive regulation of pathway-restricted SMAD protein phosphorylation
regulation of CD4-positive, alpha-beta T cell proliferation	2.9517	positive regulation of pathway-restricted SMAD protein phosphorylation
response to cobalt ion	1.812	positive regulation of pathway-restricted SMAD protein phosphorylation
positive regulation of lipid storage	1.5167	positive regulation of pathway-restricted SMAD protein phosphorylation
phototransduction, visible light	2.2682	positive regulation of pathway-restricted SMAD protein phosphorylation
positive regulation of endothelial cell differentiation	1.9097	positive regulation of pathway-restricted SMAD protein phosphorylation
transcriptional attenuation by ribosome	2.6588	positive regulation of pathway-restricted SMAD protein phosphorylation
transcriptional attenuation	2.6588	positive regulation of pathway-restricted SMAD protein phosphorylation
regulation of cell differentiation	3.3283	positive regulation of pathway-restricted SMAD protein phosphorylation
prostate gland growth	1.8814	positive regulation of pathway-restricted SMAD protein phosphorylation
translation	9.3687	positive regulation of pathway-restricted SMAD protein phosphorylation
calcineurin-NFAT signaling cascade	2.2511	positive regulation of pathway-restricted SMAD protein phosphorylation
activation of cysteine-type endopeptidase activity	1.6347	positive regulation of pathway-restricted SMAD protein phosphorylation
regulation of meiotic cell cycle process involved in oocyte maturation	2.7582	positive regulation of pathway-restricted SMAD protein phosphorylation
cellular response to drug	1.5431	positive regulation of pathway-restricted SMAD protein phosphorylation
Fc-epsilon receptor signaling pathway	1.7724	positive regulation of pathway-restricted SMAD protein phosphorylation
epithelial cell apoptotic process	2.0056	positive regulation of pathway-restricted SMAD protein phosphorylation
morphogenesis of a polarized epithelium	1.6859	positive regulation of pathway-restricted SMAD protein phosphorylation
positive regulation of helicase activity	1.7488	positive regulation of pathway-restricted SMAD protein phosphorylation
regulation of helicase activity	1.5718	positive regulation of pathway-restricted SMAD protein phosphorylation
complement activation, alternative pathway	2.0124	positive regulation of pathway-restricted SMAD protein phosphorylation
inflammatory response	1.5781	positive regulation of pathway-restricted SMAD protein phosphorylation
regulation of circadian rhythm	2.1632	positive regulation of pathway-restricted SMAD protein phosphorylation
regulation of connective tissue replacement	2.9484	positive regulation of pathway-restricted SMAD protein phosphorylation
cellular macromolecule biosynthetic process	7.7071	positive regulation of pathway-restricted SMAD protein phosphorylation
growth	1.6213	growth
single-organism process	1.8394	single-organism process
response to stimulus	1.9792	response to stimulus
biological regulation	5.9736	biological regulation
biosynthetic process	4.2136	biosynthesis
fermentation	2.6582	fermentation
regulation of lipid metabolic process	2.5469	fermentation
lipid modification	2.6175	fermentation
phosphatidylinositol metabolic process	1.8146	fermentation
phospholipid dephosphorylation	1.478	fermentation
non-glycolytic fermentation	2.6582	fermentation
anaerobic glycerol catabolic process	2.6582	fermentation
phosphatidylinositol-3-phosphate biosynthetic process	2.1082	fermentation
growth of unicellular organism as a thread of attached cells	2.1738	growth of unicellular organism as a thread of attached cells
filamentous growth	1.8511	growth of unicellular organism as a thread of attached cells
skeletal muscle tissue regeneration	1.7792	growth of unicellular organism as a thread of attached cells
nitrogen utilization	1.6748	nitrogen utilization
primary metabolic process	3.3201	primary metabolism
single-organism cellular process	2.1106	primary metabolism
cellular metabolic process	3.2204	primary metabolism
organic substance metabolic process	3.2414	primary metabolism
L-glutamate biosynthetic process	1.8377	L-glutamate biosynthesis
ammonia assimilation cycle	1.8076	L-glutamate biosynthesis
nitrogen compound metabolic process	2.7143	nitrogen compound metabolism
DNA strand elongation involved in mitotic DNA replication	2.4924	DNA strand elongation involved in mitotic DNA replication
DNA unwinding involved in DNA replication	1.5091	DNA strand elongation involved in mitotic DNA replication
DNA strand elongation involved in cell cycle DNA replication	2.4924	DNA strand elongation involved in mitotic DNA replication
cellular macromolecule metabolic process	3.3184	DNA strand elongation involved in mitotic DNA replication
macromolecule biosynthetic process	6.8789	DNA strand elongation involved in mitotic DNA replication
cellular biosynthetic process	4.7983	DNA strand elongation involved in mitotic DNA replication
macromolecule metabolic process	3.2473	DNA strand elongation involved in mitotic DNA replication
cellular nitrogen compound biosynthetic process	5.3107	DNA strand elongation involved in mitotic DNA replication
organic substance biosynthetic process	4.5524	DNA strand elongation involved in mitotic DNA replication
organonitrogen compound metabolic process	2.3291	DNA strand elongation involved in mitotic DNA replication
cellular amide metabolic process	6.9503	DNA strand elongation involved in mitotic DNA replication
protein metabolic process	2.3485	DNA strand elongation involved in mitotic DNA replication
RNA capping	1.6305	DNA strand elongation involved in mitotic DNA replication
regulation of DNA-dependent DNA replication initiation	1.4652	DNA strand elongation involved in mitotic DNA replication
mRNA processing	1.569	DNA strand elongation involved in mitotic DNA replication
cellular nitrogen compound metabolic process	4.0736	DNA strand elongation involved in mitotic DNA replication
7-methylguanosine RNA capping	1.6305	DNA strand elongation involved in mitotic DNA replication
snRNA transcription from RNA polymerase II promoter	1.7298	DNA strand elongation involved in mitotic DNA replication
