B_female_44_01	B_female_44_02	B_female_44_03	B_female_K5_01	B_female_K5_02	B_female_K5_03	NB_female_44_01	NB_female_44_02	NB_female_44_03	NB_female_k5_01	NB_female_k5_02	NB_female_k5_03
TRINITY_DN162055_c2_g1	-0.604494970506059	-1.58492051626948	-0.971150295921345	-1.25192511747928	-1.31502491750306	-1.76980205889131	2.20886131470241	3.98801694288619	-1.00472725969619	5.89446550642223	-1.92722769176168	-1.66207093598244
TRINITY_DN191833_c2_g1	-0.539264288610266	-0.539264288610266	-0.539264288610266	-0.539264288610266	-0.539264288610266	-0.539264288610266	1.36068469757941	0.133387340718118	-0.36549722087356	1.17399161312071	0.691553553250817	0.24146574786611
TRINITY_DN157241_c11_g1	-0.510676170821044	-0.510676170821044	-0.510676170821044	-0.510676170821044	-0.510676170821044	-0.510676170821044	0.209164384243224	0.606353882189143	0.452057919774759	-0.510676170821044	1.52740877649593	0.779748233044256
TRINITY_DN49477_c0_g1	-0.717364060126698	-1.15373666298339	-1.28767978488345	-1.6142171330234	-1.39388717814385	-1.28767978488345	2.21897657444651	3.66792609575809	-1.24015141480087	5.03325568433272	-1.2114949561778	-1.0139473795144
TRINITY_DN182912_c1_g2	-0.960835050714714	-1.24376901398621	-1.38512486323175	-1.00804195414815	-0.981736827741796	-1.0442275317778	1.87793716747238	3.35569756484502	-1.11064393074685	4.74625929033036	-0.897048457647563	-1.34846639265291
TRINITY_DN141262_c1_g1	-0.657686396184362	-0.657686396184362	-0.657686396184362	-0.657686396184362	-0.657686396184362	-0.657686396184362	0.0383074169255381	1.26641348945638	-0.48776139474205	3.5703626517001	-0.310587725562094	-0.130616060671702
TRINITY_DN190811_c2_g2	-0.760672987387932	-0.760672987387932	-0.760672987387932	-0.760672987387932	-0.760672987387932	-0.760672987387932	1.87693725883735	0.730410466330324	-0.760672987387932	2.77960231677793	0.345675332117214	-0.407914462347295
TRINITY_DN157861_c0_g1	-1.44520627060867	-1.38997674988828	-1.37649352052465	-1.48083018033939	-1.48083018033939	-1.48083018033939	-1.31604390219605	-1.32378647019381	5.39619008689968	-1.40358718140693	3.65162327948571	3.64977126945117
TRINITY_DN168916_c2_g3	-1.89567534253415	-1.58836105337658	-2.02647374252614	-0.991695689594183	-1.13996234594092	-0.356117039656232	-0.349021076794267	4.73885483704598	-2.02223467471362	7.35541604694057	-2.2623131303455	0.537583211495034
TRINITY_DN176356_c5_g3	-1.50538765964451	-1.16511025487826	-1.3316205919078	-1.50538765964451	-0.568043267494278	-1.190401174176	2.75516498070907	-0.0127653310700646	0.928906958315415	0.710290936963418	2.0762046191915	0.808148443636011
TRINITY_DN180016_c11_g1	-0.848820649882388	-0.848820649882388	-0.848820649882388	-0.848820649882388	-0.848820649882388	-0.848820649882388	0.764239457013727	2.31853727785613	-0.848820649882388	3.60765697946943	-0.0952161136023931	-0.653473051560169
TRINITY_DN69250_c0_g1	-0.731444004856825	-0.731444004856825	-0.731444004856825	-0.731444004856825	-0.731444004856825	-0.731444004856825	0.487027205886437	1.70338435156309	-0.415298262563468	3.61728414937425	-0.496329684480467	-0.507403730638895
TRINITY_DN177710_c4_g1	-0.972510209185938	-0.972510209185938	-0.972510209185938	-0.972510209185938	-0.972510209185938	-0.972510209185938	1.35085985987533	3.03145175696648	-0.780947558485183	4.03728482420158	-0.972510209185938	-0.831077418256643
TRINITY_DN122246_c0_g1	-0.863833637770152	-0.863833637770152	-0.863833637770152	-0.863833637770152	-0.863833637770152	-0.863833637770152	0.657217099130811	2.94794562800087	-0.863833637770152	2.04459501239864	0.133278082905022	0.263799641955722
TRINITY_DN162545_c2_g1	-1.02016964332242	-1.02016964332242	-1.02016964332242	-1.02016964332242	-1.02016964332242	-1.02016964332242	1.48800543771025	3.04824321310754	-0.503145971257844	3.92913182500585	-1.02016964332242	-0.821047001308824
TRINITY_DN182736_c3_g1	-0.465692800583109	-0.465692800583109	-0.465692800583109	-0.465692800583109	-0.465692800583109	-0.465692800583109	0.287911735696886	0.184152551722901	0.657311153471711	0.0166392201642669	0.780411209300808	0.867730933142083
TRINITY_DN185307_c0_g1	0.525202525606736	0.246311813860927	1.21846641308839	0.530166337476397	0.958766908158861	-0.49698771402733	-0.49698771402733	-0.49698771402733	-0.49698771402733	-0.49698771402733	-0.49698771402733	-0.49698771402733
TRINITY_DN179499_c2_g2	-1.36844605556355	-1.07837568741736	-1.58629715237468	-1.18248409075809	-1.41380963686455	-1.58629715237468	0.865507403345808	3.49755443532328	-0.443556980258603	5.61153875902222	-0.762547792066412	-0.552786050013361
TRINITY_DN183319_c4_g1	-1.60341576396667	-1.90046354558112	-2.93827993968416	-0.911868308853365	-0.398010936108193	-1.43382101204872	3.0598967981825	4.89124506712996	-1.56818655150734	7.41376730996912	-2.50915108121039	-2.10171203632162
TRINITY_DN182773_c1_g1	-0.942876305599455	-1.02317062910872	-1.19855331864798	-0.940708468916745	-1.04396243071377	-1.04163737776753	1.09671069161805	3.22795235703174	-1.00720388070365	5.24936829770518	-1.22073902558481	-1.15517990931232
TRINITY_DN179381_c4_g1	-0.878876894972728	1.08274643331422	1.26973187523249	1.24478930148109	0.645688326104472	1.90918232867682	-0.878876894972728	-0.878876894972728	-0.878876894972728	-0.878876894972728	-0.878876894972728	-0.878876894972728
TRINITY_DN172064_c5_g2	-1.74585510707934	-0.965825679532654	-0.698040131707745	-1.14108412527801	-1.18491480192635	-2.08009349538886	2.02025392408409	4.63197513768338	-1.16477604084542	5.95095621418951	-1.99170650123978	-1.63088939295882
TRINITY_DN121265_c0_g1	-0.407237360665988	-0.407237360665988	-0.407237360665988	-0.407237360665988	-0.407237360665988	-0.407237360665988	0.198730998175471	0.92045000351006	0.805020683536747	-0.131038495633746	0.0353080954393166	0.614952878968078
TRINITY_DN197799_c7_g2	-1.60064956592623	-1.63708616350577	-1.4065543973593	-1.42185353374219	-1.00912496273567	-1.91447586231663	3.05931906733597	4.91833821853191	-1.69167130127137	5.91541174278171	-1.67568900272952	-1.5359642390629
TRINITY_DN159879_c0_g1	-1.20614882769491	-1.20614882769491	-1.20614882769491	-1.20614882769491	-1.20614882769491	-1.20614882769491	3.13612144670964	1.89365131570451	-1.20614882769491	-1.20614882769491	2.51697281825572	2.10244504088937
TRINITY_DN167899_c2_g1	-1.01188861017089	-1.01188861017089	-1.01188861017089	-1.01188861017089	-1.01188861017089	-1.01188861017089	0.83450441068147	2.49831379603768	0.282658623724624	4.06603796851418	-1.01188861017089	-0.598294527761715
TRINITY_DN182134_c0_g1	-0.988404261721628	-1.06633879421808	-1.2259679800393	-1.1016398450371	-1.2259679800393	-1.2259679800393	2.02150387354655	3.18965549508162	-0.771792086853501	4.02446309338097	-0.741572017536637	-0.887971516524288
TRINITY_DN197650_c7_g1	-1.00885553035801	-1.00885553035801	-1.00885553035801	-1.00885553035801	-1.00885553035801	-1.00885553035801	1.09749278914714	2.78743072740476	0.0126241970524457	3.73713468994526	-1.00885553035801	-0.572693691043556
TRINITY_DN174766_c2_g3	0.482979034453373	1.50572081720327	-0.571522181729188	0.579687211155706	1.14700384473307	0.285264364558893	-0.571522181729188	-0.571522181729188	-0.571522181729188	-0.571522181729188	-0.571522181729188	-0.571522181729188
TRINITY_DN165351_c1_g2	-1.95371191475405	-1.31977860265041	-1.6070680762695	-1.09770319444251	-0.476918835917613	-1.61630396384537	2.17279420707091	4.34289442682852	-1.7126508441265	6.61148061543272	-2.15910373910665	-1.18393007821954
TRINITY_DN185131_c2_g2	-1.06143698110287	-1.06143698110287	-1.06143698110287	-1.06143698110287	-1.06143698110287	-1.06143698110287	1.35269855188159	2.90370083136032	-0.212638799858676	3.52790705681944	-0.590509723627739	-0.612536029957738
TRINITY_DN192997_c0_g8	-0.573229291802786	-0.573229291802786	-0.573229291802786	-0.573229291802786	-0.573229291802786	-0.573229291802786	0.525055503920637	0.967789861330773	0.0440691910380606	1.54811772507566	-0.573229291802786	0.927572761254372
TRINITY_DN170810_c3_g6	-1.6417755787086	-2.04712345594785	-2.7926988281167	-1.8350850616553	-0.253994270848277	-1.13751089894661	2.14887672825293	4.43878939615826	-0.612278429853508	6.31306146597484	-2.18322807040473	-0.397032995904454
TRINITY_DN176005_c9_g2	-1.026792057439	-1.026792057439	-1.026792057439	-1.026792057439	-1.026792057439	-1.026792057439	1.67852238364738	2.9640720645674	-0.312216818587369	3.33799046077926	-0.480823688333703	-1.026792057439
TRINITY_DN183075_c7_g2	-0.951636208784322	-0.951636208784322	-0.923067056587552	-0.951636208784322	-0.951636208784322	-0.951636208784322	2.75666140518991	3.22835247600269	-0.837935709619594	0.361028964774072	1.0990396115328	-0.925898647370714
TRINITY_DN161957_c2_g1	0.142824865682892	2.67988979540673	1.05085296433929	-0.936467901589962	1.20431075419283	1.47739693150799	-0.936467901589962	-0.936467901589962	-0.936467901589962	-0.936467901589962	-0.936467901589962	-0.936467901589962
TRINITY_DN187491_c2_g1	-1.08107825853195	-1.08107825853195	-1.08107825853195	-1.08107825853195	-1.08107825853195	-1.08107825853195	1.64488097597724	2.0934879534344	-1.08107825853195	4.62152388075977	-0.428477040935428	-0.363867959512351
TRINITY_DN164809_c0_g2	-0.932835498224981	-0.932835498224981	-0.932835498224981	-0.932835498224981	-0.932835498224981	-0.932835498224981	0.355818365380189	1.96827274478953	-0.591418973746258	5.47541780634324	-0.67824145519184	-0.932835498224981
TRINITY_DN194527_c1_g3	-1.24010747255481	-1.40296798538871	-1.95306935937862	-1.13993357955492	-1.22818758893086	-1.39051554644448	2.51560729690851	4.25943860075779	-1.03168965790289	6.27454112958933	-1.75764751118245	-1.90546832591789
TRINITY_DN174443_c9_g2	-1.00939835351555	-1.00939835351555	-1.00939835351555	-1.00939835351555	-1.00939835351555	-1.00939835351555	4.2926281801896	-0.389281188486868	-0.284311628885325	-1.00939835351555	4.27218863046441	-0.825435518672957
TRINITY_DN190104_c1_g1	-1.06786220364162	-1.38305186946002	-1.29061489343815	-1.25942701568488	-1.13646952631518	-1.34326915462516	-1.06786220364162	-1.12855813532918	-1.32765823540887	5.07868502060756	-1.11956935210192	7.04565756903906
TRINITY_DN156318_c9_g1	-0.823838706610302	-1.21667636118038	-2.64576370429252	-1.45199196089584	-1.00921539864962	-1.43016684446492	2.06072322561103	4.38466385819259	-0.994032191358662	7.282821873876	-2.48006328871193	-1.67646050151544
TRINITY_DN186899_c2_g1	-0.584680177958578	-0.32887734135586	-0.584680177958578	-0.584680177958578	-0.584680177958578	-0.584680177958578	0.927799568961055	0.594193780211218	0.462858210804783	0.25043543729964	0.348892460302446	0.668098773569606
TRINITY_DN183061_c7_g2	-1.95178247002439	-2.30227971710853	-1.98729323164001	-1.95631568676565	-2.30227971710853	-2.30227971710853	5.26248712187303	5.58420336626085	-2.30227971710853	7.53092506130537	-1.61790978809552	-1.65519550447957
TRINITY_DN168130_c0_g4	-0.75564582935188	-0.75564582935188	-0.75564582935188	-0.75564582935188	-0.75564582935188	-0.75564582935188	0.660112837170618	1.74158329943573	-0.152523959511884	3.35663727924632	-0.75564582935188	-0.316288650877623
TRINITY_DN190230_c0_g3	-0.441814724699071	-0.441814724699071	-0.441814724699071	-0.441814724699071	-0.441814724699071	-0.441814724699071	1.04670028425874	-0.0621937626433631	0.135432810894079	1.68218247899284	-0.133803410146894	-0.0174300531609748
TRINITY_DN182774_c3_g3	-1.47966133987205	-1.20207109808308	-1.51612950694134	-0.753312980960236	-1.11559157735761	-1.51728412488283	2.39751629753988	3.59710424088309	-1.17813304342633	4.87945432406437	-1.1314165445193	-0.980474646444556
TRINITY_DN190712_c0_g3	1.06325875312506	1.1074639317128	-0.20903255024625	1.25813618138451	-0.7320926120415	1.90482196831438	-0.7320926120415	-0.7320926120415	-0.7320926120415	-0.7320926120415	-0.7320926120415	-0.7320926120415
