B_female_44_01	B_female_44_02	B_female_44_03	B_female_K5_01	B_female_K5_02	B_female_K5_03	NB_female_44_01	NB_female_44_02	NB_female_44_03	NB_female_k5_01	NB_female_k5_02	NB_female_k5_03
B_female_44_01	1	0.724767565861465	0.71506956084446	0.67828940319123	0.587012241353565	0.566815329537632	-0.67569175386935	-0.720069431826886	0.0560170590239644	-0.651962585974191	0.0960701253753781	0.017775749008866
B_female_44_02	0.724767565861465	1	0.590438247161968	0.653107244793131	0.680302508237954	0.596400763836975	-0.688792189412385	-0.722665744121312	0.0714942506873853	-0.653096941836642	0.106781714037093	0.043507878691205
B_female_44_03	0.71506956084446	0.590438247161968	1	0.469621521064067	0.444277015938954	0.701324682222691	-0.634948895300055	-0.698257462936911	0.108068450465447	-0.657301226263845	0.184210105526055	0.0719379123211223
B_female_K5_01	0.67828940319123	0.653107244793131	0.469621521064067	1	0.638376875412815	0.527738211705798	-0.629279332776838	-0.637420279247093	0.00947652551161315	-0.574296625493258	0.0463183281525814	-0.00613378493800223
B_female_K5_02	0.587012241353565	0.680302508237954	0.444277015938954	0.638376875412815	1	0.614561176330178	-0.621605357599308	-0.632579048347184	-0.00249354659753444	-0.55080737273642	0.00109540106746467	-0.0093768380735614
B_female_K5_03	0.566815329537632	0.596400763836975	0.701324682222691	0.527738211705798	0.614561176330178	1	-0.681460379049769	-0.714879865849032	0.110538674920077	-0.642871465807879	0.160772669368529	0.120431732378978
NB_female_44_01	-0.67569175386935	-0.688792189412385	-0.634948895300055	-0.629279332776838	-0.621605357599308	-0.681460379049769	1	0.733732276587281	-0.20892800463324	0.554647967883551	-0.153702481996556	-0.291633314058374
NB_female_44_02	-0.720069431826886	-0.722665744121312	-0.698257462936911	-0.637420279247093	-0.632579048347184	-0.714879865849032	0.733732276587281	1	-0.438725067168151	0.845202629797765	-0.496295383517906	-0.436063899046355
NB_female_44_03	0.0560170590239644	0.0714942506873853	0.108068450465447	0.00947652551161315	-0.00249354659753444	0.110538674920077	-0.20892800463324	-0.438725067168151	1	-0.532717792696357	0.637040494359573	0.52063836873339
NB_female_k5_01	-0.651962585974191	-0.653096941836642	-0.657301226263845	-0.574296625493258	-0.55080737273642	-0.642871465807879	0.554647967883551	0.845202629797765	-0.532717792696357	1	-0.634781437241851	-0.439775998281008
NB_female_k5_02	0.0960701253753781	0.106781714037093	0.184210105526055	0.0463183281525814	0.00109540106746467	0.160772669368529	-0.153702481996556	-0.496295383517906	0.637040494359573	-0.634781437241851	1	0.543311746739359
NB_female_k5_03	0.017775749008866	0.043507878691205	0.0719379123211223	-0.00613378493800223	-0.0093768380735614	0.120431732378978	-0.291633314058374	-0.436063899046355	0.52063836873339	-0.439775998281008	0.543311746739359	1
