GOslim,Count,Percent,Term,go_terms
GO:0000003,11,3.19767441860465,reproduction,GO:0003006;GO:0007279;GO:0007294;GO:0007306;GO:0022412;GO:0030727;GO:0042078;GO:0048134;GO:0048135
GO:0000278,1,0.290697674418605,mitotic cell cycle,GO:0045448
GO:0000902,1,0.290697674418605,cell morphogenesis,GO:0048813
GO:0002376,16,4.65116279069767,immune system process,GO:0002573;GO:0002684;GO:0002761;GO:0002763;GO:0006956;GO:0006957;GO:0006958;GO:0006959;GO:0030099;GO:0030225;GO:0045639;GO:0045649;GO:0045651;GO:1902107;GO:1903708
GO:0003013,0,0,circulatory system process,
GO:0005975,0,0,carbohydrate metabolic process,
GO:0006091,0,0,generation of precursor metabolites...,
GO:0006259,3,0.872093023255814,DNA metabolic process,GO:0000737;GO:0006308;GO:0006309
GO:0006397,0,0,mRNA processing,
GO:0006399,3,0.872093023255814,tRNA metabolic process,GO:0006418;GO:0006428;GO:0043039
GO:0006412,2,0.581395348837209,translation,GO:0006418;GO:0006428
GO:0006457,0,0,protein folding,
GO:0006464,0,0,cellular protein modification proce...,
GO:0006520,4,1.16279069767442,cellular amino acid metabolic proce...,GO:0006418;GO:0006428;GO:0043038;GO:0043039
GO:0006605,0,0,protein targeting,
GO:0006629,0,0,lipid metabolic process,
GO:0006790,0,0,sulfur compound metabolic process,
GO:0006810,3,0.872093023255814,transport,GO:0015696;GO:0015701;GO:0033227
GO:0006913,0,0,nucleocytoplasmic transport,
GO:0006914,0,0,autophagy,
GO:0006950,7,2.03488372093023,response to stress,GO:0006957;GO:0009409
GO:0007005,0,0,mitochondrion organization,
GO:0007009,0,0,plasma membrane organization,
GO:0007010,0,0,cytoskeleton organization,
GO:0007034,0,0,vacuolar transport,
GO:0007049,1,0.290697674418605,cell cycle,GO:0045448
GO:0007059,0,0,chromosome segregation,
GO:0007155,0,0,cell adhesion,
GO:0007165,5,1.45348837209302,signal transduction,GO:0008625;GO:0036462;GO:0043124;GO:0097191;GO:2001238
GO:0007267,0,0,cell-cell signaling,
GO:0007568,0,0,aging,
