GOslim,Count,Percent,Term,go_terms
GO:0000228,0,0,nuclear chromosome,
GO:0000229,0,0,cytoplasmic chromosome,
GO:0005575,40,32.258064516129,cellular_component,GO:0005576;GO:0046658;GO:0005791;GO:0005793;GO:0009986;GO:0016442;GO:0017101;GO:0030312;GO:0030689;GO:0030690;GO:0031233;GO:0031253;GO:0031264;GO:0031265;GO:0031332;GO:0031362;GO:0031526;GO:0031528;GO:0035068;GO:0042600;GO:0043230;GO:0044421;GO:0070062;GO:0070578;GO:0097342;GO:0097730;GO:1902555;GO:1903561;GO:1905348
GO:0005576,14,11.2903225806452,extracellular region,GO:0043230;GO:0044421;GO:0070062;GO:1903561
GO:0005615,2,1.61290322580645,extracellular space,GO:0070062
GO:0005618,0,0,cell wall,
GO:0005622,6,4.83870967741935,intracellular,GO:0005791;GO:0005793;GO:0017101;GO:0030689;GO:0030690;GO:0097342
GO:0005623,20,16.1290322580645,cell,GO:0046658;GO:0005791;GO:0005793;GO:0009986;GO:0017101;GO:0030312;GO:0030689;GO:0030690;GO:0031233;GO:0031253;GO:0031264;GO:0031265;GO:0031362;GO:0031526;GO:0031528;GO:0042600;GO:0097342;GO:0097730
GO:0005634,2,1.61290322580645,nucleus,GO:0030689;GO:0030690
GO:0005635,0,0,nuclear envelope,
GO:0005654,0,0,nucleoplasm,
GO:0005694,0,0,chromosome,
GO:0005730,0,0,nucleolus,
GO:0005737,3,2.41935483870968,cytoplasm,GO:0005791;GO:0005793;GO:0097342
GO:0005739,0,0,mitochondrion,
GO:0005764,0,0,lysosome,
GO:0005768,0,0,endosome,
GO:0005773,0,0,vacuole,
GO:0005777,0,0,peroxisome,
GO:0005783,1,0.806451612903226,endoplasmic reticulum,GO:0005791
GO:0005794,0,0,Golgi apparatus,
GO:0005811,0,0,lipid droplet,
GO:0005815,0,0,microtubule organizing center,
GO:0005829,1,0.806451612903226,cytosol,GO:0097342
GO:0005840,0,0,ribosome,
GO:0005856,0,0,cytoskeleton,
GO:0005886,9,7.25806451612903,plasma membrane,GO:0046658;GO:0031233;GO:0031253;GO:0031264;GO:0031265;GO:0031362;GO:0031526;GO:0031528
GO:0005929,1,0.806451612903226,cilium,GO:0097730
GO:0009536,0,0,plastid,
GO:0009579,0,0,thylakoid,
GO:0030312,2,1.61290322580645,external encapsulating structure,GO:0042600
GO:0031012,0,0,extracellular matrix,
GO:0031410,0,0,cytoplasmic vesicle,
GO:0032991,12,9.67741935483871,protein-containing complex,GO:0016442;GO:0017101;GO:0030689;GO:0030690;GO:0031264;GO:0031265;GO:0031332;GO:0035068;GO:0070578;GO:0097342;GO:1902555;GO:1905348
GO:0043226,11,8.87096774193548,organelle,GO:0005791;GO:0005793;GO:0030689;GO:0030690;GO:0043230;GO:0070062;GO:0097730;GO:1903561
