GOslim,Count,Percent,Term,go_terms
GO:0003674,30,53.5714285714286,molecular_function,GO:0000049;GO:0002161;GO:0003725;GO:0003727;GO:0004089;GO:0004520;GO:0004525;GO:0004530;GO:0004536;GO:0004812;GO:0004822;GO:0005123;GO:0008519;GO:0016443;GO:0016829;GO:0016835;GO:0016836;GO:0016875;GO:0016888;GO:0016891;GO:0032296;GO:0035877;GO:0070883;GO:0097110;GO:0097153;GO:0097199
GO:0003677,0,0,DNA binding,
GO:0003700,0,0,DNA-binding transcription factor ac...,
GO:0003723,4,7.14285714285714,RNA binding,GO:0000049;GO:0003725;GO:0003727;GO:0070883
GO:0003729,0,0,mRNA binding,
GO:0003735,0,0,structural constituent of ribosome,
GO:0003924,0,0,GTPase activity,
GO:0004386,0,0,helicase activity,
GO:0004518,8,14.2857142857143,nuclease activity,GO:0004520;GO:0004525;GO:0004530;GO:0004536;GO:0016443;GO:0016888;GO:0016891;GO:0032296
GO:0005198,0,0,structural molecule activity,
GO:0008092,0,0,cytoskeletal protein binding,
GO:0008134,0,0,transcription factor binding,
GO:0008135,0,0,translation factor activity, RNA bi...,
GO:0008168,0,0,methyltransferase activity,
GO:0008233,2,3.57142857142857,peptidase activity,GO:0097153;GO:0097199
GO:0008289,0,0,lipid binding,
GO:0016301,0,0,kinase activity,
GO:0016491,0,0,oxidoreductase activity,
GO:0016746,0,0,transferase activity, transferring ...,
GO:0016757,0,0,transferase activity, transferring ...,
GO:0016765,0,0,transferase activity, transferring ...,
GO:0016779,0,0,nucleotidyltransferase activity,
GO:0016791,0,0,phosphatase activity,
GO:0016798,0,0,hydrolase activity, acting on glyco...,
GO:0016810,0,0,hydrolase activity, acting on carbo...,
GO:0016829,8,14.2857142857143,lyase activity,GO:0004089;GO:0016835;GO:0016836
GO:0016853,0,0,isomerase activity,
GO:0016874,3,5.35714285714286,ligase activity,GO:0004812;GO:0004822;GO:0016875
GO:0016887,0,0,ATPase activity,
GO:0019843,0,0,rRNA binding,
GO:0019899,0,0,enzyme binding,
GO:0022857,1,1.78571428571429,transmembrane transporter activity,GO:0008519
GO:0030234,0,0,enzyme regulator activity,
GO:0030533,0,0,triplet codon-amino acid adaptor ac...,
GO:0030555,0,0,RNA modification guide activity,
GO:0030674,0,0,protein binding, bridging,
GO:0032182,0,0,ubiquitin-like protein binding,
GO:0042393,0,0,histone binding,
GO:0043167,0,0,ion binding,
GO:0051082,0,0,unfolded protein binding,
