GOslim,Count,Percent,Term,go_terms
GO:0000003,2,0.576368876080692,reproduction,GO:0001541;GO:0030728
GO:0000278,8,2.30547550432277,mitotic cell cycle,GO:0006977;GO:0031571;GO:0044773;GO:0044819;GO:0072413;GO:0072431;GO:1902402;GO:1902403
GO:0000902,0,0,cell morphogenesis,
GO:0002376,4,1.15273775216138,immune system process,GO:0001913;GO:0002443;GO:0002449;GO:0002456
GO:0003013,0,0,circulatory system process,
GO:0005975,4,1.15273775216138,carbohydrate metabolic process,GO:0006071;GO:0019400;GO:0019405;GO:0019563
GO:0006091,7,2.01729106628242,generation of precursor metabolites...,GO:0006119;GO:1904732;GO:1904734;GO:1904959;GO:1904960
GO:0006259,0,0,DNA metabolic process,
GO:0006397,0,0,mRNA processing,
GO:0006399,1,0.288184438040346,tRNA metabolic process,GO:0002098
GO:0006412,0,0,translation,
GO:0006457,0,0,protein folding,
GO:0006464,1,0.288184438040346,cellular protein modification proce...,GO:0018214
GO:0006520,0,0,cellular amino acid metabolic proce...,
GO:0006605,1,0.288184438040346,protein targeting,GO:0006627
GO:0006629,1,0.288184438040346,lipid metabolic process,GO:0051791
GO:0006790,5,1.44092219020173,sulfur compound metabolic process,GO:0030204;GO:0030205;GO:0030206;GO:0030207;GO:0030208
GO:0006810,12,3.45821325648415,transport,GO:0006627;GO:0010155;GO:0022027;GO:0034755;GO:0046676;GO:0046888;GO:0046902;GO:0090278;GO:1901028;GO:1901030;GO:1904959;GO:1904960
GO:0006913,0,0,nucleocytoplasmic transport,
GO:0006914,0,0,autophagy,
GO:0006950,10,2.88184438040346,response to stress,GO:0006977;GO:0030330;GO:0031571;GO:0042770;GO:0044773;GO:0044783;GO:0072422;GO:0072431;GO:1902400;GO:1902402
GO:0007005,11,3.1700288184438,mitochondrion organization,GO:0006627;GO:0032981;GO:0033108;GO:0046902;GO:0090199;GO:0090200;GO:1901028;GO:1901030;GO:1903850;GO:1903852
GO:0007009,0,0,plasma membrane organization,
GO:0007010,0,0,cytoskeleton organization,
GO:0007034,0,0,vacuolar transport,
GO:0007049,12,3.45821325648415,cell cycle,GO:0006977;GO:0031571;GO:0044773;GO:0044783;GO:0044819;GO:0071156;GO:0071158;GO:0072413;GO:0072431;GO:1902400;GO:1902402;GO:1902403
GO:0007059,0,0,chromosome segregation,
GO:0007155,0,0,cell adhesion,
GO:0007165,18,5.18731988472623,signal transduction,GO:0006977;GO:0007168;GO:0030330;GO:0042770;GO:0072395;GO:0072401;GO:0072413;GO:0072422;GO:0072431;GO:0090199;GO:0090200;GO:1901028;GO:1901030;GO:1902400;GO:1902402;GO:1902403;GO:2001235
GO:0007267,3,0.864553314121037,cell-cell signaling,GO:0046676;GO:0046888;GO:0090278
GO:0007568,0,0,aging,
