GOslim,Count,Percent,Term,go_terms
GO:0000228,0,0,nuclear chromosome,
GO:0000229,0,0,cytoplasmic chromosome,
GO:0005575,21,17.3553719008264,cellular_component,GO:0005775;GO:0030134;GO:0009331;GO:0033588;GO:0035578;GO:0035658;GO:0042720;GO:0043204;GO:0044437;GO:0044455;GO:0045178;GO:0061617;GO:0098798;GO:0098800
GO:0005576,0,0,extracellular region,
GO:0005615,0,0,extracellular space,
GO:0005618,0,0,cell wall,
GO:0005622,18,14.8760330578512,intracellular,GO:0005775;GO:0030134;GO:0009331;GO:0033588;GO:0035578;GO:0035658;GO:0042720;GO:0044437;GO:0044455;GO:0061617;GO:0098798;GO:0098800
GO:0005623,21,17.3553719008264,cell,GO:0005775;GO:0030134;GO:0009331;GO:0033588;GO:0035578;GO:0035658;GO:0042720;GO:0043204;GO:0044437;GO:0044455;GO:0045178;GO:0061617;GO:0098798;GO:0098800
GO:0005634,0,0,nucleus,
GO:0005635,0,0,nuclear envelope,
GO:0005654,0,0,nucleoplasm,
GO:0005694,0,0,chromosome,
GO:0005730,0,0,nucleolus,
GO:0005737,17,14.0495867768595,cytoplasm,GO:0005775;GO:0030134;GO:0009331;GO:0035578;GO:0035658;GO:0042720;GO:0044437;GO:0044455;GO:0061617;GO:0098798;GO:0098800
GO:0005739,8,6.61157024793388,mitochondrion,GO:0042720;GO:0044455;GO:0061617;GO:0098798;GO:0098800
GO:0005764,1,0.826446280991736,lysosome,GO:0035578
GO:0005768,1,0.826446280991736,endosome,GO:0035658
GO:0005773,6,4.95867768595041,vacuole,GO:0005775;GO:0035578;GO:0044437
GO:0005777,0,0,peroxisome,
GO:0005783,0,0,endoplasmic reticulum,
GO:0005794,0,0,Golgi apparatus,
GO:0005811,0,0,lipid droplet,
GO:0005815,0,0,microtubule organizing center,
GO:0005829,0,0,cytosol,
GO:0005840,0,0,ribosome,
GO:0005856,0,0,cytoskeleton,
GO:0005886,0,0,plasma membrane,
GO:0005929,0,0,cilium,
GO:0009536,0,0,plastid,
GO:0009579,0,0,thylakoid,
GO:0030312,0,0,external encapsulating structure,
GO:0031012,0,0,extracellular matrix,
GO:0031410,3,2.47933884297521,cytoplasmic vesicle,GO:0030134;GO:0035578;GO:0035658
GO:0032991,9,7.43801652892562,protein-containing complex,GO:0009331;GO:0033588;GO:0035658;GO:0042720;GO:0061617;GO:0098798;GO:0098800
GO:0043226,16,13.2231404958678,organelle,GO:0005775;GO:0030134;GO:0035578;GO:0035658;GO:0042720;GO:0044437;GO:0044455;GO:0061617;GO:0098798;GO:0098800
