GOslim,Count,Percent,Term,go_terms
GO:0000003,4,0.529100529100529,reproduction,GO:0007295;GO:0007565;GO:0060672
GO:0000278,0,0,mitotic cell cycle,
GO:0000902,4,0.529100529100529,cell morphogenesis,GO:0003382;GO:0060088;GO:0060672
GO:0002376,29,3.83597883597884,immune system process,GO:0001787;GO:0001866;GO:0002225;GO:0002759;GO:0002760;GO:0002784;GO:0030101;GO:0038095;GO:0042098;GO:0045620;GO:0045652;GO:0046631;GO:0046633;GO:0046635;GO:0046651;GO:0051132;GO:1902106;GO:1903706;GO:1903707;GO:2000316;GO:2000318;GO:2000514;GO:2000516;GO:2000569;GO:2000570
GO:0003013,0,0,circulatory system process,
GO:0005975,4,0.529100529100529,carbohydrate metabolic process,GO:0016051;GO:0019253;GO:0019685
GO:0006091,0,0,generation of precursor metabolites...,
GO:0006259,20,2.64550264550265,DNA metabolic process,GO:0006295;GO:0006296;GO:0006310;GO:0032204;GO:0033683;GO:0061819;GO:1904353;GO:1904354;GO:1904356;GO:1904505;GO:1904506;GO:1905764;GO:1905765
GO:0006397,0,0,mRNA processing,
GO:0006399,0,0,tRNA metabolic process,
GO:0006412,0,0,translation,
GO:0006457,0,0,protein folding,
GO:0006464,2,0.264550264550265,cellular protein modification proce...,GO:0045736;GO:1904030
GO:0006520,10,1.32275132275132,cellular amino acid metabolic proce...,GO:0006531;GO:0006532;GO:0006533;GO:0006538;GO:0009065;GO:0009068;GO:0019470;GO:0019471;GO:0019550;GO:0019551
GO:0006605,1,0.132275132275132,protein targeting,GO:0006626
GO:0006629,0,0,lipid metabolic process,
GO:0006790,0,0,sulfur compound metabolic process,
GO:0006810,2,0.264550264550265,transport,GO:0006626;GO:0007595
GO:0006913,0,0,nucleocytoplasmic transport,
GO:0006914,2,0.264550264550265,autophagy,GO:0000422;GO:1903599
GO:0006950,18,2.38095238095238,response to stress,GO:0050832;GO:0006295;GO:0006296;GO:0010543;GO:0033683;GO:0048680;GO:0070572;GO:0090330;GO:1900150;GO:1901244;GO:1903203;GO:1903204;GO:1903207;GO:1903208;GO:1904505;GO:1904506;GO:1905764;GO:1905765
GO:0007005,4,0.529100529100529,mitochondrion organization,GO:0000422;GO:0006626;GO:0061726;GO:1903599
GO:0007009,3,0.396825396825397,plasma membrane organization,
GO:0007010,2,0.264550264550265,cytoskeleton organization,GO:0030950;GO:0030952
GO:0007034,0,0,vacuolar transport,
GO:0007049,2,0.264550264550265,cell cycle,GO:0045736;GO:1904030
GO:0007059,0,0,chromosome segregation,
GO:0007155,31,4.1005291005291,cell adhesion,GO:0007157;GO:0007156;GO:0016339;GO:0044331;GO:0046635;GO:0090330;GO:0098742;GO:1905609;GO:2000097;GO:2000516;GO:2000570
GO:0007165,12,1.58730158730159,signal transduction,GO:0007219;GO:0030510;GO:0035329;GO:0038095;GO:0046627;GO:2001044;GO:2001046
GO:0007267,0,0,cell-cell signaling,
GO:0007568,1,0.132275132275132,aging,GO:1900062
