GOslim,Count,Percent,Term,go_terms
GO:0000228,0,0,nuclear chromosome,
GO:0000229,0,0,cytoplasmic chromosome,
GO:0005575,105,33.0188679245283,cellular_component,GO:0000109;GO:0000110;GO:0001772;GO:0005583;GO:0005586;GO:0005592;GO:0005604;GO:0005615;GO:0005797;GO:0005890;GO:0016234;GO:0016323;GO:0031012;GO:0031254;GO:0031528;GO:0032426;GO:0032579;GO:0043230;GO:0044420;GO:0044421;GO:0045177;GO:0060091;GO:0062023;GO:0070062;GO:0070522;GO:0071546;GO:0071547;GO:0090533;GO:0097014;GO:0097409;GO:0097413;GO:0097414;GO:0097462;GO:0097470;GO:0097732;GO:0098533;GO:0098683;GO:0098684;GO:1903561;GO:1904949;GO:1990037;GO:1990038;GO:1990635
GO:0005576,68,21.3836477987421,extracellular region,GO:0005583;GO:0005586;GO:0005592;GO:0005604;GO:0005615;GO:0031012;GO:0032579;GO:0043230;GO:0044420;GO:0044421;GO:0062023;GO:0070062;GO:1903561
GO:0005615,15,4.71698113207547,extracellular space,GO:0070062
GO:0005618,0,0,cell wall,
GO:0005622,14,4.40251572327044,intracellular,GO:0000109;GO:0000110;GO:0005797;GO:0016234;GO:0070522;GO:0071546;GO:0071547;GO:0097014;GO:0097409;GO:0097413;GO:0097414;GO:1990037;GO:1990038
GO:0005623,31,9.74842767295597,cell,GO:0000109;GO:0000110;GO:0001772;GO:0005797;GO:0005890;GO:0016234;GO:0016323;GO:0031254;GO:0031528;GO:0032426;GO:0045177;GO:0060091;GO:0070522;GO:0071546;GO:0071547;GO:0097014;GO:0097409;GO:0097413;GO:0097414;GO:0097462;GO:0097732;GO:1990037;GO:1990038;GO:1990635
GO:0005634,3,0.943396226415094,nucleus,GO:0000109;GO:0000110;GO:0070522
GO:0005635,0,0,nuclear envelope,
GO:0005654,0,0,nucleoplasm,
GO:0005694,0,0,chromosome,
GO:0005730,0,0,nucleolus,
GO:0005737,4,1.25786163522013,cytoplasm,GO:0005797;GO:0071546;GO:0071547;GO:0097014
GO:0005739,0,0,mitochondrion,
GO:0005764,0,0,lysosome,
GO:0005768,0,0,endosome,
GO:0005773,0,0,vacuole,
GO:0005777,0,0,peroxisome,
GO:0005783,0,0,endoplasmic reticulum,
GO:0005794,1,0.314465408805031,Golgi apparatus,GO:0005797
GO:0005811,0,0,lipid droplet,
GO:0005815,0,0,microtubule organizing center,
GO:0005829,0,0,cytosol,
GO:0005840,0,0,ribosome,
GO:0005856,0,0,cytoskeleton,
GO:0005886,7,2.20125786163522,plasma membrane,GO:0001772;GO:0005890;GO:0016323;GO:0031528
GO:0005929,3,0.943396226415094,cilium,GO:0060091;GO:0097014;GO:0097732
GO:0009536,0,0,plastid,
GO:0009579,0,0,thylakoid,
GO:0030312,0,0,external encapsulating structure,
GO:0031012,27,8.49056603773585,extracellular matrix,GO:0005583;GO:0005586;GO:0005592;GO:0005604;GO:0032579;GO:0044420;GO:0062023
GO:0031410,0,0,cytoplasmic vesicle,
GO:0032991,12,3.77358490566038,protein-containing complex,GO:0000109;GO:0000110;GO:0005583;GO:0005586;GO:0005592;GO:0005890;GO:0070522;GO:0071546;GO:0071547;GO:0090533;GO:0098533;GO:1904949
GO:0043226,28,8.80503144654088,organelle,GO:0000109;GO:0000110;GO:0005797;GO:0032426;GO:0043230;GO:0060091;GO:0070062;GO:0070522;GO:0071546;GO:0071547;GO:0097014;GO:0097732;GO:1903561
