GOslim,Count,Percent,Term,go_terms
GO:0000003,2,0.956937799043062,reproduction,GO:0008406;GO:0008584
GO:0000278,1,0.478468899521531,mitotic cell cycle,GO:0000083
GO:0000902,3,1.43540669856459,cell morphogenesis,GO:0050775;GO:0061001;GO:0061003
GO:0002376,2,0.956937799043062,immune system process,GO:0002230;GO:0050691
GO:0003013,0,0,circulatory system process,
GO:0005975,0,0,carbohydrate metabolic process,
GO:0006091,0,0,generation of precursor metabolites...,
GO:0006259,6,2.87081339712919,DNA metabolic process,GO:0006282;GO:0045739;GO:2000779;GO:2000781;GO:2001032;GO:2001034
GO:0006397,0,0,mRNA processing,
GO:0006399,0,0,tRNA metabolic process,
GO:0006412,0,0,translation,
GO:0006457,0,0,protein folding,
GO:0006464,7,3.34928229665072,cellular protein modification proce...,GO:0010390;GO:0016574;GO:0033522;GO:0033523;GO:0051438;GO:0051444;GO:0070936
GO:0006520,0,0,cellular amino acid metabolic proce...,
GO:0006605,0,0,protein targeting,
GO:0006629,0,0,lipid metabolic process,
GO:0006790,0,0,sulfur compound metabolic process,
GO:0006810,5,2.39234449760766,transport,GO:0006906;GO:0008088;GO:0048489;GO:0090385;GO:0090389
GO:0006913,0,0,nucleocytoplasmic transport,
GO:0006914,0,0,autophagy,
GO:0006950,11,5.26315789473684,response to stress,GO:0002230;GO:0006282;GO:0045739;GO:0050691;GO:0071456;GO:1990910;GO:2000779;GO:2000781;GO:2001022;GO:2001032;GO:2001034
GO:0007005,10,4.78468899521531,mitochondrion organization,GO:0007006;GO:0008053;GO:0010635;GO:0010636;GO:0010822;GO:0010823;GO:0070584;GO:0090140;GO:0090258;GO:1990613
GO:0007009,0,0,plasma membrane organization,
GO:0007010,0,0,cytoskeleton organization,
GO:0007034,0,0,vacuolar transport,
GO:0007049,1,0.478468899521531,cell cycle,GO:0000083
GO:0007059,0,0,chromosome segregation,
GO:0007155,0,0,cell adhesion,
GO:0007165,0,0,signal transduction,
GO:0007267,0,0,cell-cell signaling,
GO:0007568,0,0,aging,
GO:0008150,106,50.7177033492823,biological_process,GO:0000083;GO:0001678;GO:0002230;GO:0006906;GO:0006282;GO:0007006;GO:0007040;GO:0008053;GO:0008088;GO:0008406;GO:0061025;GO:0008584;GO:0009746;GO:0009749;GO:0010042;GO:0010390;GO:0010635;GO:0010636;GO:0010822;GO:0010823;GO:0014823;GO:0014850;GO:0016574;GO:0032990;GO:0033522;GO:0033523;GO:0034284;GO:0035561;GO:0035563;GO:0036294;GO:0045471;GO:0045739;GO:0046039;GO:0048284;GO:0048489;GO:0050691;GO:0050775;GO:0051385;GO:0051412;GO:0051438;GO:0051444;GO:0051602;GO:0051640;GO:0060999;GO:0061001;GO:0061003;GO:0070584;GO:0070936;GO:0071322;GO:0071326;GO:0071331;GO:0071333;GO:0071383;GO:0071384;GO:0071385;GO:0071453;GO:0071456;GO:0071495;GO:0071548;GO:0071549;GO:0072347;GO:0080171;GO:0090140;GO:0090174;GO:0090258;GO:0090385;GO:0090389;GO:0090649;GO:0090650;GO:0090659;GO:0097305;GO:0097479;GO:0097480;GO:1900006;GO:1900182;GO:1901068;GO:1901424;GO:1901655;GO:1901664;GO:1901666;GO:1901700;GO:1902617;GO:1902965;GO:1902966;GO:1905395;GO:1905666;GO:1905668;GO:1990613;GO:1990910;GO:2000644;GO:2000646;GO:2000779;GO:2000781;GO:2001022;GO:2001032;GO:2001034
GO:0008219,0,0,cell death,
GO:0008283,0,0,cell proliferation,
GO:0009056,2,0.956937799043062,catabolic process,GO:2000644;GO:2000646
GO:0009058,1,0.478468899521531,biosynthetic process,GO:0000083
GO:0009790,0,0,embryo development,
GO:0015031,0,0,protein transport,
GO:0015979,0,0,photosynthesis,
GO:0016192,4,1.91387559808612,vesicle-mediated transport,GO:0006906;GO:0048489;GO:0090385;GO:0090389
GO:0019748,0,0,secondary metabolic process,
GO:0021700,0,0,developmental maturation,
GO:0022607,2,0.956937799043062,cellular component assembly,GO:0090385;GO:0090389
GO:0022618,0,0,ribonucleoprotein complex assembly,
GO:0030154,5,2.39234449760766,cell differentiation,GO:0050775;GO:0060999;GO:0061001;GO:0061003;GO:1900006
GO:0030198,0,0,extracellular matrix organization,
GO:0030705,1,0.478468899521531,cytoskeleton-dependent intracellula...,GO:0008088
GO:0032196,0,0,transposition,
GO:0034330,0,0,cell junction organization,
GO:0034641,9,4.30622009569378,cellular nitrogen compound metaboli...,GO:0000083;GO:0006282;GO:0045739;GO:0046039;GO:1901068;GO:2000779;GO:2000781;GO:2001032;GO:2001034
GO:0034655,0,0,nucleobase-containing compound cata...,
GO:0040007,0,0,growth,
GO:0040011,0,0,locomotion,
GO:0042254,0,0,ribosome biogenesis,
GO:0042592,2,0.956937799043062,homeostatic process,GO:0001678;GO:0071333
GO:0043473,0,0,pigmentation,
GO:0044281,2,0.956937799043062,small molecule metabolic process,GO:0046039;GO:1901068
GO:0044403,0,0,symbiont process,
GO:0048646,0,0,anatomical structure formation invo...,
GO:0048856,14,6.69856459330144,anatomical structure development,GO:0008406;GO:0008584;GO:0010635;GO:0010636;GO:0032990;GO:0050775;GO:0060999;GO:0061001;GO:0061003;GO:0070584;GO:0090140;GO:0090258;GO:1900006
GO:0048870,0,0,cell motility,
GO:0050877,0,0,nervous system process,
GO:0051186,0,0,cofactor metabolic process,
GO:0051276,4,1.91387559808612,chromosome organization,GO:0010390;GO:0016574;GO:0033522;GO:0033523
GO:0051301,0,0,cell division,
GO:0051604,0,0,protein maturation,
GO:0055085,0,0,transmembrane transport,
GO:0061024,9,4.30622009569378,membrane organization,GO:0006906;GO:0007006;GO:0061025;GO:0090174;GO:0090385;GO:0090389;GO:1990613
GO:0065003,0,0,protein-containing complex assembly,
GO:0071554,0,0,cell wall organization or biogenesi...,
GO:0071941,0,0,nitrogen cycle metabolic process,
GO:0140014,0,0,mitotic nuclear division,
