GOslim,Count,Percent,Term,go_terms
GO:0000003,0,0,reproduction,
GO:0000278,0,0,mitotic cell cycle,
GO:0000902,6,2.69058295964126,cell morphogenesis,GO:0010771;GO:0030516;GO:0030517;GO:0048690;GO:0048692;GO:0050771
GO:0002376,0,0,immune system process,
GO:0003013,0,0,circulatory system process,
GO:0005975,0,0,carbohydrate metabolic process,
GO:0006091,5,2.24215246636771,generation of precursor metabolites...,GO:0006119;GO:1904732;GO:1904734;GO:1904959;GO:1904960
GO:0006259,0,0,DNA metabolic process,
GO:0006397,0,0,mRNA processing,
GO:0006399,0,0,tRNA metabolic process,
GO:0006412,0,0,translation,
GO:0006457,0,0,protein folding,
GO:0006464,0,0,cellular protein modification proce...,
GO:0006520,0,0,cellular amino acid metabolic proce...,
GO:0006605,0,0,protein targeting,
GO:0006629,0,0,lipid metabolic process,
GO:0006790,0,0,sulfur compound metabolic process,
GO:0006810,15,6.72645739910314,transport,GO:0010155;GO:0022898;GO:0032411;GO:0032412;GO:0032414;GO:0034764;GO:0034767;GO:0043270;GO:0046902;GO:1901028;GO:1901030;GO:1904062;GO:1904064;GO:1904959;GO:1904960
GO:0006913,0,0,nucleocytoplasmic transport,
GO:0006914,0,0,autophagy,
GO:0006950,10,4.48430493273543,response to stress,GO:0048679;GO:0048681;GO:0048686;GO:0048688;GO:0048690;GO:0048692;GO:0070570;GO:0070571;GO:1903034;GO:1903035
GO:0007005,10,4.48430493273543,mitochondrion organization,GO:0007006;GO:0010821;GO:0010822;GO:0046902;GO:0090199;GO:0090200;GO:1901028;GO:1901030;GO:1903850;GO:1903852
GO:0007009,0,0,plasma membrane organization,
GO:0007010,0,0,cytoskeleton organization,
GO:0007034,0,0,vacuolar transport,
GO:0007049,0,0,cell cycle,
GO:0007059,0,0,chromosome segregation,
GO:0007155,2,0.896860986547085,cell adhesion,GO:0007158;GO:0022408
GO:0007165,5,2.24215246636771,signal transduction,GO:0090199;GO:0090200;GO:1901028;GO:1901030;GO:2001235
GO:0007267,6,2.69058295964126,cell-cell signaling,GO:0048167;GO:0050805;GO:0050806;GO:0051966;GO:0051968;GO:0060291
GO:0007568,0,0,aging,
GO:0008150,86,38.5650224215247,biological_process,GO:0006119;GO:0007006;GO:0007158;GO:0007612;GO:0008306;GO:0010155;GO:0010647;GO:0010771;GO:0010821;GO:0010822;GO:0010977;GO:0021885;GO:0022029;GO:0022408;GO:0022411;GO:0022898;GO:0023056;GO:0030308;GO:0030322;GO:0030516;GO:0030517;GO:0031345;GO:0031644;GO:0031646;GO:0032409;GO:0032411;GO:0032412;GO:0032414;GO:0032984;GO:0034504;GO:0034764;GO:0034767;GO:0035640;GO:0035641;GO:0043270;GO:0043954;GO:0046034;GO:0046902;GO:0048167;GO:0048640;GO:0048679;GO:0048681;GO:0048686;GO:0048688;GO:0048690;GO:0048692;GO:0050771;GO:0050805;GO:0050806;GO:0050808;GO:0050885;GO:0050905;GO:0051341;GO:0051353;GO:0051966;GO:0051968;GO:0051969;GO:0051971;GO:0060291;GO:0061387;GO:0070570;GO:0070571;GO:0090143;GO:0090144;GO:0090199;GO:0090200;GO:0090559;GO:0099558;GO:1901028;GO:1901030;GO:1903034;GO:1903035;GO:1903108;GO:1903109;GO:1903850;GO:1903852;GO:1904062;GO:1904064;GO:1904732;GO:1904734;GO:1904959;GO:1904960;GO:2001235
GO:0008219,5,2.24215246636771,cell death,GO:0090199;GO:0090200;GO:1901028;GO:1901030;GO:2001235
GO:0008283,0,0,cell proliferation,
GO:0009056,0,0,catabolic process,
GO:0009058,2,0.896860986547085,biosynthetic process,GO:1903108;GO:1903109
GO:0009790,0,0,embryo development,
GO:0015031,0,0,protein transport,
GO:0015979,0,0,photosynthesis,
GO:0016192,0,0,vesicle-mediated transport,
GO:0019748,0,0,secondary metabolic process,
GO:0021700,0,0,developmental maturation,
GO:0022607,0,0,cellular component assembly,
GO:0022618,0,0,ribonucleoprotein complex assembly,
GO:0030154,13,5.82959641255605,cell differentiation,GO:0010771;GO:0010977;GO:0030516;GO:0030517;GO:0048679;GO:0048681;GO:0048686;GO:0048688;GO:0048690;GO:0048692;GO:0050771;GO:0070570;GO:0070571
GO:0030198,0,0,extracellular matrix organization,
GO:0030705,0,0,cytoskeleton-dependent intracellula...,
GO:0032196,0,0,transposition,
GO:0034330,0,0,cell junction organization,
GO:0034641,4,1.79372197309417,cellular nitrogen compound metaboli...,GO:0006119;GO:0046034;GO:1903108;GO:1903109
GO:0034655,0,0,nucleobase-containing compound cata...,
GO:0040007,9,4.03587443946188,growth,GO:0030308;GO:0030516;GO:0030517;GO:0048640;GO:0048686;GO:0048688;GO:0048690;GO:0048692;GO:0061387
GO:0040011,2,0.896860986547085,locomotion,GO:0021885;GO:0022029
GO:0042254,0,0,ribosome biogenesis,
GO:0042592,0,0,homeostatic process,
GO:0043473,0,0,pigmentation,
GO:0044281,2,0.896860986547085,small molecule metabolic process,GO:0006119;GO:0046034
GO:0044403,0,0,symbiont process,
GO:0048646,0,0,anatomical structure formation invo...,
GO:0048856,15,6.72645739910314,anatomical structure development,GO:0010771;GO:0010977;GO:0021885;GO:0022029;GO:0030516;GO:0030517;GO:0048679;GO:0048681;GO:0048686;GO:0048688;GO:0048690;GO:0048692;GO:0050771;GO:0070570;GO:0070571
GO:0048870,2,0.896860986547085,cell motility,GO:0021885;GO:0022029
GO:0050877,8,3.58744394618834,nervous system process,GO:0007612;GO:0008306;GO:0031644;GO:0031646;GO:0050885;GO:0050905;GO:0051969;GO:0051971
GO:0051186,0,0,cofactor metabolic process,
GO:0051276,0,0,chromosome organization,
GO:0051301,0,0,cell division,
GO:0051604,0,0,protein maturation,
GO:0055085,10,4.48430493273543,transmembrane transport,GO:0010155;GO:0022898;GO:0032412;GO:0032414;GO:0034764;GO:0034767;GO:1904062;GO:1904064;GO:1904959;GO:1904960
GO:0061024,6,2.69058295964126,membrane organization,GO:0007006;GO:0046902;GO:1901028;GO:1901030;GO:1903850;GO:1903852
GO:0065003,0,0,protein-containing complex assembly,
GO:0071554,0,0,cell wall organization or biogenesi...,
GO:0071941,0,0,nitrogen cycle metabolic process,
GO:0140014,0,0,mitotic nuclear division,
