GOslim,Count,Percent,Term,go_terms
GO:0000003,3,0.170068027210884,reproduction,GO:0009566;GO:0043046
GO:0000278,2,0.113378684807256,mitotic cell cycle,GO:0031571;GO:0044819
GO:0000902,0,0,cell morphogenesis,
GO:0002376,9,0.510204081632653,immune system process,GO:0002639;GO:0039532;GO:0039536;GO:0045577;GO:0045579;GO:0050687;GO:0072675;GO:1900098;GO:1900100
GO:0003013,1,0.0566893424036281,circulatory system process,GO:0003073
GO:0005975,0,0,carbohydrate metabolic process,
GO:0006091,0,0,generation of precursor metabolites...,
GO:0006259,1,0.0566893424036281,DNA metabolic process,GO:0043046
GO:0006397,0,0,mRNA processing,
GO:0006399,0,0,tRNA metabolic process,
GO:0006412,27,1.53061224489796,translation,GO:0002181
GO:0006457,0,0,protein folding,
GO:0006464,1,0.0566893424036281,cellular protein modification proce...,GO:0031062
GO:0006520,0,0,cellular amino acid metabolic proce...,
GO:0006605,0,0,protein targeting,
GO:0006629,11,0.623582766439909,lipid metabolic process,GO:0006684;GO:0006685;GO:0009395;GO:0031161;GO:0044242;GO:0046337;GO:0046338;GO:0046475;GO:0046503
GO:0006790,0,0,sulfur compound metabolic process,
GO:0006810,17,0.963718820861678,transport,GO:0001820;GO:0006837;GO:0006896;GO:0007269;GO:0015696;GO:0015844;GO:0015871;GO:0035434;GO:0046827;GO:0060003;GO:0060096;GO:0072318;GO:0072319;GO:0090160;GO:1903487;GO:1903489
GO:0006913,1,0.0566893424036281,nucleocytoplasmic transport,GO:0046827
GO:0006914,0,0,autophagy,
GO:0006950,32,1.8140589569161,response to stress,GO:0006978;GO:0006990;GO:0008630;GO:0010543;GO:0010544;GO:0030330;GO:0031104;GO:0031571;GO:0034616;GO:0039532;GO:0039536;GO:0042149;GO:0042771;GO:0042772;GO:0044783;GO:0050687;GO:0061041;GO:0061045;GO:0071498;GO:0071499;GO:0090330;GO:0090331;GO:1900101;GO:1900103;GO:1902235;GO:1902236;GO:1903035;GO:1905898
GO:0007005,1,0.0566893424036281,mitochondrion organization,GO:0001836
GO:0007009,0,0,plasma membrane organization,
GO:0007010,4,0.226757369614512,cytoskeleton organization,GO:0034315;GO:0034316;GO:0051125;GO:0051126
GO:0007034,2,0.113378684807256,vacuolar transport,GO:0006896;GO:0090160
GO:0007049,3,0.170068027210884,cell cycle,GO:0031571;GO:0044783;GO:0044819
GO:0007059,0,0,chromosome segregation,
GO:0007155,3,0.170068027210884,cell adhesion,GO:0034111;GO:0090330;GO:0090331
GO:0007165,22,1.24716553287982,signal transduction,GO:0001836;GO:0006978;GO:0006990;GO:0008630;GO:0017015;GO:0030330;GO:0030512;GO:0039532;GO:0039536;GO:0042771;GO:0042772;GO:0090101;GO:0097193;GO:1900101;GO:1900103;GO:1902235;GO:1902236
GO:0007267,2,0.113378684807256,cell-cell signaling,GO:0007269;GO:0060096
GO:0007568,0,0,aging,
