GOslim,Count,Percent,Term,go_terms
GO:0000228,0,0,nuclear chromosome,
GO:0000229,0,0,cytoplasmic chromosome,
GO:0005575,453,33.138258961229,cellular_component,GO:0022625;GO:0022627;GO:0005622;GO:1990904;GO:0005840;GO:0005604;GO:0005686;GO:0005794;GO:0005912;GO:0005913;GO:0010009;GO:0015934;GO:0015935;GO:0030008;GO:0031528;GO:0032154;GO:0032991;GO:0033018;GO:0033106;GO:0043226;GO:0043228;GO:0043229;GO:0043232;GO:0044391;GO:0044420;GO:0044424;GO:0044444;GO:0044445;GO:0044464;GO:0070161;GO:0071546;GO:0071547;GO:0071953;GO:0097610;GO:0098559;GO:0098560;GO:0098574
GO:0005576,9,0.658376005852231,extracellular region,GO:0005604;GO:0044420;GO:0071953
GO:0005615,0,0,extracellular space,
GO:0005618,0,0,cell wall,
GO:0005622,205,14.996342355523,intracellular,GO:0022625;GO:0022627;GO:0005840;GO:0005686;GO:0005794;GO:0010009;GO:0015934;GO:0015935;GO:0030008;GO:0033018;GO:0033106;GO:0043229;GO:0043232;GO:0044391;GO:0044424;GO:0044444;GO:0044445;GO:0071546;GO:0071547;GO:0098559;GO:0098560;GO:0098574
GO:0005623,260,19.0197512801756,cell,GO:0022625;GO:0022627;GO:0005622;GO:0005840;GO:0005686;GO:0005794;GO:0010009;GO:0015934;GO:0015935;GO:0030008;GO:0031528;GO:0032154;GO:0033018;GO:0033106;GO:0043229;GO:0043232;GO:0044391;GO:0044424;GO:0044444;GO:0044445;GO:0044464;GO:0071546;GO:0071547;GO:0097610;GO:0098559;GO:0098560;GO:0098574
GO:0005634,1,0.0731528895391368,nucleus,GO:0005686
GO:0005635,0,0,nuclear envelope,
GO:0005654,0,0,nucleoplasm,
GO:0005694,0,0,chromosome,
GO:0005730,0,0,nucleolus,
GO:0005737,95,6.949524506218,cytoplasm,GO:0022625;GO:0022627;GO:0005840;GO:0005794;GO:0010009;GO:0015934;GO:0015935;GO:0033018;GO:0033106;GO:0044391;GO:0044444;GO:0044445;GO:0071546;GO:0071547;GO:0098559;GO:0098560;GO:0098574
GO:0005739,0,0,mitochondrion,
GO:0005764,1,0.0731528895391368,lysosome,GO:0098574
GO:0005768,3,0.21945866861741,endosome,GO:0010009;GO:0098559;GO:0098560
GO:0005773,1,0.0731528895391368,vacuole,GO:0098574
GO:0005777,0,0,peroxisome,
GO:0005783,1,0.0731528895391368,endoplasmic reticulum,GO:0033018
GO:0005794,6,0.438917337234821,Golgi apparatus,GO:0033106
GO:0005811,0,0,lipid droplet,
GO:0005815,0,0,microtubule organizing center,
GO:0005829,14,1.02414045354792,cytosol,GO:0022625;GO:0022627;GO:0044445
GO:0005840,38,2.7798098024872,ribosome,GO:0022625;GO:0022627;GO:0015934;GO:0015935;GO:0044391
GO:0005856,0,0,cytoskeleton,
GO:0005886,3,0.21945866861741,plasma membrane,GO:0031528;GO:0032154
GO:0005929,0,0,cilium,
GO:0009536,0,0,plastid,
GO:0009579,0,0,thylakoid,
GO:0030312,0,0,external encapsulating structure,
GO:0031012,9,0.658376005852231,extracellular matrix,GO:0005604;GO:0044420;GO:0071953
GO:0031410,3,0.21945866861741,cytoplasmic vesicle,GO:0010009;GO:0098559;GO:0098560
GO:0032991,96,7.02267739575713,protein-containing complex,GO:0022625;GO:0022627;GO:1990904;GO:0005840;GO:0005686;GO:0015934;GO:0015935;GO:0030008;GO:0044391;GO:0071546;GO:0071547
GO:0043226,169,12.3628383321141,organelle,GO:0022625;GO:0022627;GO:0005840;GO:0005686;GO:0005794;GO:0010009;GO:0015934;GO:0015935;GO:0033018;GO:0033106;GO:0043228;GO:0043229;GO:0043232;GO:0044391;GO:0071546;GO:0071547;GO:0098559;GO:0098560;GO:0098574
