GOslim,Count,Percent,Term,go_terms
GO:0003674,264,65.6716417910448,molecular_function,GO:0003924;GO:0000976;GO:0000977;GO:0000978;GO:0000987;GO:0001012;GO:0001067;GO:0001158;GO:0003690;GO:0003723;GO:0003735;GO:0004252;GO:0004175;GO:0008236;GO:0004611;GO:0004620;GO:0004675;GO:0004690;GO:0004692;GO:0004767;GO:0005017;GO:0005019;GO:0005024;GO:0005096;GO:0005198;GO:0005201;GO:0005246;GO:0005391;GO:0050431;GO:0008047;GO:0008199;GO:0008494;GO:0008556;GO:0008656;GO:0044212;GO:0016247;GO:0016298;GO:0016505;GO:0016530;GO:0016531;GO:0017080;GO:0098772;GO:0017124;GO:0017171;GO:0019001;GO:0019843;GO:0019955;GO:0030332;GO:0030553;GO:0032561;GO:0032767;GO:0039552;GO:0043565;GO:0050436;GO:0050699;GO:0071889;GO:0071933;GO:0090079;GO:1990837
GO:0003677,29,7.21393034825871,DNA binding,GO:0000976;GO:0000977;GO:0000978;GO:0000987;GO:0001012;GO:0001158;GO:0003690;GO:0044212;GO:0043565;GO:1990837
GO:0003700,0,0,DNA-binding transcription factor ac...,
GO:0003723,13,3.23383084577114,RNA binding,GO:0019843
GO:0003729,0,0,mRNA binding,
GO:0003735,0,0,structural constituent of ribosome,
GO:0003924,4,0.995024875621891,GTPase activity,
GO:0004386,0,0,helicase activity,
GO:0004518,0,0,nuclease activity,
GO:0005198,54,13.4328358208955,structural molecule activity,GO:0003735;GO:0005201
GO:0008092,0,0,cytoskeletal protein binding,
GO:0008134,0,0,transcription factor binding,
GO:0008135,0,0,translation factor activity, RNA bi...,
GO:0008168,0,0,methyltransferase activity,
GO:0008233,13,3.23383084577114,peptidase activity,GO:0004252;GO:0004175;GO:0008236
GO:0008289,0,0,lipid binding,
GO:0016301,6,1.49253731343284,kinase activity,GO:0004675;GO:0004690;GO:0004692;GO:0005017;GO:0005019;GO:0005024
GO:0016491,0,0,oxidoreductase activity,
GO:0016746,0,0,transferase activity, transferring ...,
GO:0016757,0,0,transferase activity, transferring ...,
GO:0016765,0,0,transferase activity, transferring ...,
GO:0016779,0,0,nucleotidyltransferase activity,
GO:0016791,0,0,phosphatase activity,
GO:0016798,0,0,hydrolase activity, acting on glyco...,
GO:0016810,0,0,hydrolase activity, acting on carbo...,
GO:0016829,1,0.248756218905473,lyase activity,GO:0004611
GO:0016853,0,0,isomerase activity,
GO:0016874,0,0,ligase activity,
GO:0016887,2,0.497512437810945,ATPase activity,GO:0005391;GO:0008556
GO:0019843,4,0.995024875621891,rRNA binding,
GO:0019899,0,0,enzyme binding,
GO:0022857,2,0.497512437810945,transmembrane transporter activity,GO:0005391;GO:0008556
GO:0030234,7,1.74129353233831,enzyme regulator activity,GO:0005096;GO:0008047;GO:0008656;GO:0016505
GO:0030533,0,0,triplet codon-amino acid adaptor ac...,
GO:0030555,0,0,RNA modification guide activity,
GO:0030674,0,0,protein binding, bridging,
GO:0032182,0,0,ubiquitin-like protein binding,
GO:0042393,0,0,histone binding,
GO:0043167,3,0.746268656716418,ion binding,GO:0008199;GO:0016531;GO:0030553
GO:0051082,0,0,unfolded protein binding,
