GOslim,Count,Percent,Term,go_terms
GO:0000228,0,0,nuclear chromosome,
GO:0000229,0,0,cytoplasmic chromosome,
GO:0005575,9,18.75,cellular_component,GO:0000347;GO:0042599;GO:0061617;GO:0097057;GO:0097208;GO:0097232;GO:0097233;GO:1990597;GO:1990604
GO:0005576,0,0,extracellular region,
GO:0005615,0,0,extracellular space,
GO:0005618,0,0,cell wall,
GO:0005622,7,14.5833333333333,intracellular,GO:0000347;GO:0042599;GO:0061617;GO:0097208;GO:0097232;GO:0097233;GO:1990604
GO:0005623,7,14.5833333333333,cell,GO:0000347;GO:0042599;GO:0061617;GO:0097208;GO:0097232;GO:0097233;GO:1990604
GO:0005634,1,2.08333333333333,nucleus,GO:0000347
GO:0005635,0,0,nuclear envelope,
GO:0005654,0,0,nucleoplasm,
GO:0005694,0,0,chromosome,
GO:0005730,0,0,nucleolus,
GO:0005737,6,12.5,cytoplasm,GO:0042599;GO:0061617;GO:0097208;GO:0097232;GO:0097233;GO:1990604
GO:0005739,1,2.08333333333333,mitochondrion,GO:0061617
GO:0005764,0,0,lysosome,
GO:0005768,0,0,endosome,
GO:0005773,0,0,vacuole,
GO:0005777,0,0,peroxisome,
GO:0005783,1,2.08333333333333,endoplasmic reticulum,GO:1990604
GO:0005794,0,0,Golgi apparatus,
GO:0005811,0,0,lipid droplet,
GO:0005815,0,0,microtubule organizing center,
GO:0005829,0,0,cytosol,
GO:0005840,0,0,ribosome,
GO:0005856,0,0,cytoskeleton,
GO:0005886,0,0,plasma membrane,
GO:0005929,0,0,cilium,
GO:0009536,0,0,plastid,
GO:0009579,0,0,thylakoid,
GO:0030312,0,0,external encapsulating structure,
GO:0031012,0,0,extracellular matrix,
GO:0031410,4,8.33333333333333,cytoplasmic vesicle,GO:0042599;GO:0097208;GO:0097232;GO:0097233
GO:0032991,5,10.4166666666667,protein-containing complex,GO:0000347;GO:0061617;GO:0097057;GO:1990597;GO:1990604
GO:0043226,7,14.5833333333333,organelle,GO:0000347;GO:0042599;GO:0061617;GO:0097208;GO:0097232;GO:0097233;GO:1990604
