GOslim,Count,Percent,Term,go_terms
GO:0000003,3,0.0848896434634974,reproduction,GO:0007530;GO:0030238;GO:0033327
GO:0000278,0,0,mitotic cell cycle,
GO:0000902,6,0.169779286926995,cell morphogenesis,GO:0010771;GO:0048814;GO:0050774
GO:0002376,3,0.0848896434634974,immune system process,GO:0030225;GO:0038095;GO:0045651
GO:0003013,1,0.0282965478211658,circulatory system process,GO:0010882
GO:0005975,60,1.69779286926995,carbohydrate metabolic process,GO:0005976;GO:0005977;GO:0005980;GO:0005981;GO:0005984;GO:0005985;GO:0005986;GO:0006000;GO:0006073;GO:0006109;GO:0006110;GO:0009311;GO:0009312;GO:0010675;GO:0010677;GO:0010906;GO:0016051;GO:0019405;GO:0019563;GO:0019588;GO:0043470;GO:0043471;GO:0044042;GO:0044262;GO:0044264;GO:0044275;GO:0045820;GO:0045912;GO:0046351;GO:0070873
GO:0006091,25,0.707413695529145,generation of precursor metabolites...,GO:0005977;GO:0005980;GO:0005981;GO:0006099;GO:0006110;GO:0006112;GO:0006113;GO:0015980;GO:0019588;GO:0019662;GO:0043467;GO:0045820;GO:0070873
GO:0006259,41,1.1601584606678,DNA metabolic process,GO:0000018;GO:0006282;GO:0006302;GO:0010569;GO:0045738;GO:0045739;GO:0045910;GO:0051052;GO:0051053;GO:0051054;GO:2000042;GO:2000779;GO:2000780;GO:2000781;GO:2001032;GO:2001034
GO:0006397,3,0.0848896434634974,mRNA processing,GO:0000398
GO:0006399,6,0.169779286926995,tRNA metabolic process,GO:0006418;GO:0006425;GO:0006428;GO:0043039
GO:0006412,9,0.254668930390492,translation,GO:0006418;GO:0006425;GO:0006428
GO:0006457,2,0.0565930956423316,protein folding,GO:0061077
GO:0006464,53,1.49971703452179,cellular protein modification proce...,GO:0001932;GO:0016570;GO:0006476;GO:0010800;GO:0016575;GO:0018095;GO:0018193;GO:0018205;GO:0018243;GO:0031399;GO:0033233;GO:0033235;GO:0033522;GO:0033523;GO:0034983;GO:0051444;GO:0070932;GO:0070933
GO:0006520,8,0.226372382569327,cellular amino acid metabolic proce...,GO:0006418;GO:0006425;GO:0006428;GO:0043038;GO:0043039
GO:0006605,0,0,protein targeting,
GO:0006629,1,0.0282965478211658,lipid metabolic process,GO:0033539
GO:0006790,2,0.0565930956423316,sulfur compound metabolic process,GO:0006085;GO:0006086
GO:0006810,75,2.12224108658744,transport,GO:0046903;GO:0006409;GO:0006816;GO:0006828;GO:0015031;GO:0015833;GO:1902600;GO:0015988;GO:0015991;GO:0035964;GO:0042886;GO:0046827;GO:0048194;GO:0050482;GO:0051031;GO:0071528;GO:0071702;GO:0071705;GO:0090662;GO:0098655;GO:0098660;GO:0098662;GO:0099131;GO:0099132;GO:1903963
GO:0006913,3,0.0848896434634974,nucleocytoplasmic transport,GO:0006409;GO:0046827;GO:0071528
GO:0006914,0,0,autophagy,
GO:0006950,46,1.30164119977363,response to stress,GO:0003299;GO:0006282;GO:0006302;GO:0010569;GO:0014898;GO:0043403;GO:0045738;GO:0045739;GO:0080135;GO:1903242;GO:1903244;GO:2000042;GO:2000779;GO:2000780;GO:2000781;GO:2001020;GO:2001021;GO:2001022;GO:2001032;GO:2001034
GO:0007005,1,0.0282965478211658,mitochondrion organization,GO:0001836
GO:0007009,0,0,plasma membrane organization,
GO:0007010,2,0.0565930956423316,cytoskeleton organization,GO:0032232;GO:0051497
GO:0007034,0,0,vacuolar transport,
GO:0007049,0,0,cell cycle,
GO:0007059,0,0,chromosome segregation,
GO:0007155,19,0.537634408602151,cell adhesion,GO:0001952;GO:0010810;GO:0030155;GO:0071603;GO:0090136
GO:0007165,37,1.04697226938314,signal transduction,GO:0001836;GO:0007223;GO:0007212;GO:0007213;GO:0019722;GO:0007602;GO:0007603;GO:0010882;GO:0019932;GO:0048016;GO:0033173;GO:0036462;GO:0038030;GO:0038031;GO:0038063;GO:0038065;GO:0038095;GO:0038129;GO:0038133;GO:0046580;GO:0050850;GO:0051058;GO:0060079;GO:0060158;GO:0070884;GO:0070886;GO:0095500;GO:0097720;GO:1902532;GO:1903831
GO:0007267,7,0.198075834748161,cell-cell signaling,GO:0007223;GO:0032222;GO:0032224;GO:0038030;GO:0038031;GO:0060079;GO:0099170
GO:0007568,0,0,aging,
