GOslim,Count,Percent,Term,go_terms
GO:0003674,618,75.6425948592411,molecular_function,GO:0015036;GO:0009055;GO:0000049;GO:0000166;GO:0005515;GO:0046961;GO:0008134;GO:0001085;GO:0004197;GO:0001968;GO:0002161;GO:0003723;GO:0003735;GO:0003779;GO:0003824;GO:0003993;GO:0004371;GO:0004407;GO:0016018;GO:0004645;GO:0004653;GO:0004723;GO:0004738;GO:0004739;GO:0004812;GO:0004819;GO:0004822;GO:0004846;GO:0004857;GO:0005123;GO:0030246;GO:0005198;GO:0005488;GO:0008092;GO:0008144;GO:0008184;GO:0008455;GO:0042802;GO:0015037;GO:0090729;GO:0015078;GO:0015279;GO:0016208;GO:0016615;GO:0016661;GO:0016663;GO:0016667;GO:0016758;GO:0016787;GO:0016788;GO:0016791;GO:0016875;GO:0017025;GO:0017076;GO:0019899;GO:0017136;GO:0019203;GO:0019208;GO:0019789;GO:0019888;GO:0019900;GO:0019901;GO:0030060;GO:0030170;GO:0030234;GO:0030554;GO:0030955;GO:0031078;GO:0031683;GO:0031821;GO:0031826;GO:0032027;GO:0032041;GO:0032553;GO:0032555;GO:0032559;GO:0033192;GO:0033558;GO:0034979;GO:0035877;GO:0036094;GO:0036442;GO:0038062;GO:0038064;GO:0042132;GO:0042578;GO:0043167;GO:0043168;GO:0043425;GO:0043426;GO:0045131;GO:0045504;GO:0050308;GO:0051020;GO:0051920;GO:0052689;GO:0061629;GO:0070279;GO:0070491;GO:0070679;GO:0097199;GO:0097367;GO:0097677;GO:0102250;GO:0102499;GO:0102567;GO:0102568;GO:1901265
GO:0003677,0,0,DNA binding,
GO:0003700,0,0,DNA-binding transcription factor ac...,
GO:0003723,13,1.59118727050184,RNA binding,GO:0000049;GO:0045131
GO:0003729,0,0,mRNA binding,
GO:0003735,0,0,structural constituent of ribosome,
GO:0003924,0,0,GTPase activity,
GO:0004386,0,0,helicase activity,
GO:0004518,0,0,nuclease activity,
GO:0005198,12,1.468788249694,structural molecule activity,GO:0003735
GO:0008092,10,1.22399020807834,cytoskeletal protein binding,GO:0003779;GO:0032027
GO:0008134,10,1.22399020807834,transcription factor binding,GO:0001085;GO:0017025;GO:0043425;GO:0043426;GO:0061629;GO:0070491
GO:0008135,0,0,translation factor activity, RNA bi...,
GO:0008168,0,0,methyltransferase activity,
GO:0008233,3,0.367197062423501,peptidase activity,GO:0004197;GO:0097199
GO:0008289,0,0,lipid binding,
GO:0016301,2,0.244798041615667,kinase activity,GO:0004371;GO:0038062
GO:0016491,15,1.8359853121175,oxidoreductase activity,GO:0015036;GO:0009055;GO:0004738;GO:0004739;GO:0004846;GO:0015037;GO:0016615;GO:0016661;GO:0016663;GO:0016667;GO:0030060;GO:0051920
GO:0016746,0,0,transferase activity, transferring ...,
GO:0016757,9,1.1015911872705,transferase activity, transferring ...,GO:0004645;GO:0004653;GO:0008184;GO:0008455;GO:0016758;GO:0102250;GO:0102499
GO:0016765,0,0,transferase activity, transferring ...,
GO:0016779,0,0,nucleotidyltransferase activity,
GO:0016791,10,1.22399020807834,phosphatase activity,GO:0003993;GO:0004723;GO:0019203;GO:0033192;GO:0042132;GO:0050308
GO:0016798,0,0,hydrolase activity, acting on glyco...,
GO:0016810,4,0.489596083231334,hydrolase activity, acting on carbo...,GO:0004407;GO:0017136;GO:0031078;GO:0032041
GO:0016829,0,0,lyase activity,
GO:0016853,0,0,isomerase activity,
GO:0016874,6,0.734394124847001,ligase activity,GO:0004812;GO:0004819;GO:0004822;GO:0016875
GO:0016887,2,0.244798041615667,ATPase activity,GO:0046961;GO:0036442
GO:0019843,0,0,rRNA binding,
GO:0019899,24,2.937576499388,enzyme binding,GO:0019900;GO:0019901;GO:0051020
GO:0022857,5,0.611995104039168,transmembrane transporter activity,GO:0046961;GO:0015078;GO:0015279;GO:0036442
GO:0030234,13,1.59118727050184,enzyme regulator activity,GO:0004857;GO:0019208;GO:0019888
GO:0030533,0,0,triplet codon-amino acid adaptor ac...,
GO:0030555,0,0,RNA modification guide activity,
GO:0030674,0,0,protein binding, bridging,
GO:0032182,0,0,ubiquitin-like protein binding,
GO:0042393,0,0,histone binding,
GO:0043167,61,7.46634026927785,ion binding,GO:0016208;GO:0030170;GO:0030955;GO:0043168;GO:0070679
GO:0051082,0,0,unfolded protein binding,
