GOslim,Count,Percent,Term,go_terms
GO:0000003,2,0.309597523219814,reproduction,GO:0018991;GO:0019098
GO:0000278,0,0,mitotic cell cycle,
GO:0000902,15,2.32198142414861,cell morphogenesis,GO:0010771;GO:0030516;GO:0030517;GO:0033563;GO:0048690;GO:0048692;GO:0048841;GO:0048843;GO:0050771;GO:1902667;GO:1902668;GO:1905489;GO:1905490;GO:1905812;GO:1905815
GO:0002376,29,4.48916408668731,immune system process,GO:0002263;GO:0002274;GO:0002275;GO:0002283;GO:0002366;GO:0002637;GO:0002697;GO:0002699;GO:0002700;GO:0002702;GO:0002703;GO:0002705;GO:0002706;GO:0002708;GO:0002709;GO:0002711;GO:0002718;GO:0002720;GO:0002724;GO:0002726;GO:0002819;GO:0002821;GO:0002822;GO:0002824;GO:0036230;GO:0042119;GO:0043299;GO:0043312;GO:0051023
GO:0003013,0,0,circulatory system process,
GO:0005975,0,0,carbohydrate metabolic process,
GO:0006091,0,0,generation of precursor metabolites...,
GO:0006259,1,0.154798761609907,DNA metabolic process,GO:0006284
GO:0006397,0,0,mRNA processing,
GO:0006399,0,0,tRNA metabolic process,
GO:0006412,0,0,translation,
GO:0006457,0,0,protein folding,
GO:0006464,36,5.57275541795666,cellular protein modification proce...,GO:0000209;GO:0001932;GO:0016567;GO:0006513;GO:0007250;GO:0016574;GO:0016579;GO:0031399;GO:0032446;GO:0032872;GO:0032874;GO:0043406;GO:0043408;GO:0043409;GO:0043506;GO:0043507;GO:0046328;GO:0046330;GO:0070534;GO:0070647;GO:1903719;GO:1903721
GO:0006520,0,0,cellular amino acid metabolic proce...,
GO:0006605,3,0.464396284829721,protein targeting,GO:1903214;GO:1903533;GO:1903955
GO:0006629,0,0,lipid metabolic process,
GO:0006790,0,0,sulfur compound metabolic process,
GO:0006810,16,2.47678018575851,transport,GO:0032388;GO:0033157;GO:0043299;GO:0043312;GO:0045055;GO:0051023;GO:0051049;GO:0051223;GO:0090087;GO:0090316;GO:1903214;GO:1903533;GO:1903955
GO:0006913,0,0,nucleocytoplasmic transport,
GO:0006914,0,0,autophagy,
GO:0006950,36,5.57275541795666,response to stress,GO:0000302;GO:0006284;GO:0033554;GO:0032872;GO:0032874;GO:0034599;GO:0034614;GO:0034976;GO:0043506;GO:0043507;GO:0046328;GO:0046330;GO:0048679;GO:0048681;GO:0048686;GO:0048688;GO:0048690;GO:0048692;GO:0070059;GO:0070302;GO:0070304;GO:0070570;GO:0070571;GO:0071731;GO:0071732;GO:0080134;GO:0080135;GO:1902229;GO:1902230;GO:1903034;GO:1903035;GO:2001020;GO:2001021
GO:0007005,4,0.619195046439629,mitochondrion organization,GO:0010821;GO:0010822;GO:1903214;GO:1903955
GO:0007009,0,0,plasma membrane organization,
GO:0007010,0,0,cytoskeleton organization,
GO:0007034,0,0,vacuolar transport,
GO:0007049,0,0,cell cycle,
GO:0007059,0,0,chromosome segregation,
GO:0007155,0,0,cell adhesion,
GO:0007165,47,7.27554179566563,signal transduction,GO:0001959;GO:0001961;GO:0007249;GO:0007250;GO:0009968;GO:0010803;GO:0019221;GO:0032872;GO:0032874;GO:0033209;GO:0043123;GO:0043406;GO:0043408;GO:0043409;GO:0043506;GO:0043507;GO:0046328;GO:0046330;GO:0070059;GO:0070302;GO:0070304;GO:0071550;GO:0097190;GO:0097193;GO:1901222;GO:1901224;GO:1902041;GO:1902042;GO:1902229;GO:1902230;GO:1902531;GO:1903265;GO:1903719;GO:1903721;GO:2001233;GO:2001234;GO:2001235;GO:2001236;GO:2001237;GO:2001238;GO:2001242;GO:2001243
GO:0007267,0,0,cell-cell signaling,
GO:0007568,0,0,aging,
