GOslim,Count,Percent,Term,go_terms
GO:0000228,0,0,nuclear chromosome,
GO:0000229,0,0,cytoplasmic chromosome,
GO:0005575,15,25.4237288135593,cellular_component,GO:0005654;GO:0009898;GO:0031594;GO:0031983;GO:0034774;GO:0035631;GO:0036062;GO:0060205;GO:0097057;GO:0098562;GO:0098802;GO:1904813;GO:1990597;GO:1990604
GO:0005576,0,0,extracellular region,
GO:0005615,0,0,extracellular space,
GO:0005618,0,0,cell wall,
GO:0005622,6,10.1694915254237,intracellular,GO:0005654;GO:0034774;GO:0060205;GO:1904813;GO:1990604
GO:0005623,10,16.9491525423729,cell,GO:0005654;GO:0009898;GO:0034774;GO:0035631;GO:0036062;GO:0060205;GO:0098802;GO:1904813;GO:1990604
GO:0005634,2,3.38983050847458,nucleus,GO:0005654
GO:0005635,0,0,nuclear envelope,
GO:0005654,2,3.38983050847458,nucleoplasm,
GO:0005694,0,0,chromosome,
GO:0005730,0,0,nucleolus,
GO:0005737,4,6.77966101694915,cytoplasm,GO:0034774;GO:0060205;GO:1904813;GO:1990604
GO:0005739,0,0,mitochondrion,
GO:0005764,0,0,lysosome,
GO:0005768,0,0,endosome,
GO:0005773,0,0,vacuole,
GO:0005777,0,0,peroxisome,
GO:0005783,1,1.69491525423729,endoplasmic reticulum,GO:1990604
GO:0005794,0,0,Golgi apparatus,
GO:0005811,0,0,lipid droplet,
GO:0005815,0,0,microtubule organizing center,
GO:0005829,0,0,cytosol,
GO:0005840,0,0,ribosome,
GO:0005856,0,0,cytoskeleton,
GO:0005886,4,6.77966101694915,plasma membrane,GO:0009898;GO:0035631;GO:0036062;GO:0098802
GO:0005929,0,0,cilium,
GO:0009536,0,0,plastid,
GO:0009579,0,0,thylakoid,
GO:0030312,0,0,external encapsulating structure,
GO:0031012,0,0,extracellular matrix,
GO:0031410,3,5.08474576271186,cytoplasmic vesicle,GO:0034774;GO:0060205;GO:1904813
GO:0032991,5,8.47457627118644,protein-containing complex,GO:0035631;GO:0097057;GO:0098802;GO:1990597;GO:1990604
GO:0043226,7,11.864406779661,organelle,GO:0005654;GO:0031983;GO:0034774;GO:0060205;GO:1904813;GO:1990604
