GOslim,Count,Percent,Term,go_terms
GO:0000003,6,0.215362526920316,reproduction,GO:0030539;GO:0048806;GO:0060736;GO:0060742;GO:1900193;GO:1903538
GO:0000278,1,0.0358937544867193,mitotic cell cycle,GO:1902983
GO:0000902,3,0.107681263460158,cell morphogenesis,GO:0048814;GO:0050774
GO:0002376,33,1.18449389806174,immune system process,GO:0002682;GO:0002698;GO:0006955;GO:0006957;GO:0006958;GO:0030225;GO:0038093;GO:0038095;GO:0042130;GO:0045649;GO:0045651;GO:0046634;GO:0046636;GO:0046640;GO:0046642;GO:0050672;GO:0050687;GO:0050776;GO:0050868;GO:0051250;GO:2000514;GO:2000515;GO:2000561;GO:2000562
GO:0003013,0,0,circulatory system process,
GO:0005975,3,0.107681263460158,carbohydrate metabolic process,GO:0019405;GO:0019563;GO:0019588
GO:0006091,3,0.107681263460158,generation of precursor metabolites...,GO:0006113;GO:0019588;GO:0019662
GO:0006259,7,0.251256281407035,DNA metabolic process,GO:0006268;GO:0006271;GO:0006283;GO:0030174;GO:1902296;GO:1902319;GO:1902983
GO:0006397,7,0.251256281407035,mRNA processing,GO:0000398;GO:0006370;GO:0045292
GO:0006399,0,0,tRNA metabolic process,
GO:0006412,11,0.394831299353912,translation,
GO:0006457,0,0,protein folding,
GO:0006464,23,0.825556353194544,cellular protein modification proce...,GO:0010862;GO:0031056;GO:0031058;GO:0031060;GO:0031062;GO:0031399;GO:0031401;GO:0060393
GO:0006520,3,0.107681263460158,cellular amino acid metabolic proce...,GO:0006537;GO:0019676;GO:0097054
GO:0006605,0,0,protein targeting,
GO:0006629,37,1.32806891600861,lipid metabolic process,GO:0006650;GO:0010866;GO:0010893;GO:0046889;GO:0019216;GO:0030258;GO:0032344;GO:0032346;GO:0032347;GO:0032349;GO:0036092;GO:0044255;GO:0045940;GO:0046488;GO:0046839;GO:0046854;GO:0046856;GO:0046890;GO:0090030;GO:0090031;GO:0090207
GO:0006790,0,0,sulfur compound metabolic process,
GO:0006810,47,1.68700646087581,transport,GO:0006405;GO:0006406;GO:0006812;GO:0030001;GO:0006825;GO:0006913;GO:0010828;GO:0035434;GO:0035735;GO:0046676;GO:0046883;GO:0046907;GO:0050657;GO:0050658;GO:0051028;GO:0051168;GO:0051169;GO:0060003;GO:0090278;GO:2000831;GO:2000833;GO:2000846;GO:2000848;GO:2000855;GO:2000857;GO:2000858;GO:2000860
GO:0006913,9,0.323043790380474,nucleocytoplasmic transport,GO:0006405;GO:0006406;GO:0051168
GO:0006914,0,0,autophagy,
GO:0006950,10,0.358937544867193,response to stress,GO:0003299;GO:0006283;GO:0006954;GO:0006957;GO:0014898;GO:0043403;GO:0050687;GO:1903242;GO:1903244
GO:0007005,0,0,mitochondrion organization,
GO:0007009,0,0,plasma membrane organization,
GO:0007010,0,0,cytoskeleton organization,
GO:0007034,0,0,vacuolar transport,
GO:0007049,4,0.143575017946877,cell cycle,GO:1902296;GO:1902319;GO:1902983;GO:1903538
GO:0007059,0,0,chromosome segregation,
GO:0007155,9,0.323043790380474,cell adhesion,GO:0007157;GO:0042130;GO:0046636;GO:0046642;GO:0050868;GO:1903038;GO:2000515;GO:2000562
GO:0007165,107,3.84063173007897,signal transduction,GO:0007223;GO:0007178;GO:0007166;GO:0007167;GO:0007179;GO:0007187;GO:0007188;GO:0007200;GO:0007212;GO:0007213;GO:0007602;GO:0007603;GO:0008286;GO:0008625;GO:0009966;GO:0009967;GO:0009968;GO:0010862;GO:0014065;GO:0019932;GO:0019934;GO:0048016;GO:0030509;GO:0030513;GO:0031664;GO:0031666;GO:0033173;GO:0036462;GO:0038093;GO:0038095;GO:0043123;GO:0045745;GO:0050850;GO:0060079;GO:0060158;GO:0060390;GO:0060391;GO:0060393;GO:0060395;GO:0070884;GO:0070886;GO:0090092;GO:0090100;GO:0095500;GO:0097720;GO:1901620;GO:1901621;GO:1902531;GO:1902532;GO:1903831
GO:0007267,15,0.53840631730079,cell-cell signaling,GO:0007223;GO:0046676;GO:0046883;GO:0060079;GO:0090278;GO:0099170;GO:2000831;GO:2000833;GO:2000846;GO:2000848;GO:2000855;GO:2000857;GO:2000858;GO:2000860
GO:0007568,0,0,aging,
GO:0008150,1669,59.9066762383345,biological_process,GO:0000375;GO:0000377;GO:0000398;GO:0008152;GO:0007157;GO:0001654;GO:0001704;GO:0001707;GO:0001738;GO:0001817;GO:0001818;GO:0001841;GO:0001958;GO:0001974;GO:0001975;GO:0002068;GO:0002237;GO:0002682;GO:0002698;GO:0002831;GO:0002832;GO:0003299;GO:0003300;GO:0003323;GO:0007223;GO:0007165;GO:0007178;GO:0006113;GO:0045454;GO:0006268;GO:0006271;GO:0006283;GO:0006355;GO:0006357;GO:0006370;GO:0006397;GO:0006405;GO:0006406;GO:0006412;GO:0006518;GO:0006537;GO:0006629;GO:0006650;GO:0006807;GO:0006812;GO:0030001;GO:0006825;GO:0006878;GO:0006913;GO:0009612;GO:0006954;GO:0006955;GO:0006957;GO:0006958;GO:0040007;GO:0007166;GO:0007167;GO:0007179;GO:0007187;GO:0007188;GO:0007200;GO:0007212;GO:0007213;GO:0007423;GO:0007435;GO:0007517;GO:0007602;GO:0007603;GO:0008286;GO:0008625;GO:0009058;GO:0009059;GO:0009266;GO:0009301;GO:0010038;GO:0009452;GO:0009584;GO:0009605;GO:0009649;GO:0009889;GO:0009893;GO:0009966;GO:0009967;GO:0009968;GO:0009987;GO:0010035;GO:0010039;GO:0010378;GO:0010468;GO:0010556;GO:0010566;GO:0010604;GO:0010612;GO:0010613;GO:0010615;GO:0010646;GO:0010647;GO:0010648;GO:0010828;GO:0010830;GO:0010831;GO:0010862;GO:0010866;GO:0010884;GO:0010893;GO:0010939;GO:0010941;GO:0010975;GO:0014065;GO:0014075;GO:0014733;GO:0014742;GO:0014744;GO:0014823;GO:0014842;GO:0014857;GO:0014883;GO:0014887;GO:0014888;GO:0014896;GO:0014897;GO:0014898;GO:0014904;GO:0046889;GO:0016311;GO:0042981;GO:0046886;GO:0046677;GO:0019216;GO:0019219;GO:0019222;GO:0019405;GO:0019538;GO:0019563;GO:0019588;GO:0019662;GO:0019676;GO:0019725;GO:0019740;GO:0019932;GO:0019934;GO:0048016;GO:0021532;GO:0070887;GO:0023051;GO:0071260;GO:0023056;GO:0023057;GO:0030154;GO:0030174;GO:0030225;GO:0030258;GO:0030278;GO:0030447;GO:0030509;GO:0030513;GO:0030539;GO:0031056;GO:0031058;GO:0031060;GO:0031062;GO:0031076;GO:0031323;GO:0031325;GO:0031326;GO:0031399;GO:0031401;GO:0031554;GO:0031555;GO:0031556;GO:0031664;GO:0031666;GO:0032025;GO:0032268;GO:0032270;GO:0032330;GO:0032332;GO:0032344;GO:0032346;GO:0032347;GO:0032349;GO:0032350;GO:0032352;GO:0032496;GO:0032502;GO:0032781;GO:0032945;GO:0033173;GO:0033993;GO:0034103;GO:0034105;GO:0034641;GO:0034645;GO:0035050;GO:0036342;GO:0035434;GO:0035561;GO:0035562;GO:0035690;GO:0035735;GO:0036075;GO:0036092;GO:0036260;GO:0036267;GO:0036462;GO:0038093;GO:0038095;GO:0042052;GO:0042130;GO:0042592;GO:0042752;GO:0042795;GO:0043010;GO:0043043;GO:0043067;GO:0043123;GO:0043170;GO:0043403;GO:0043462;GO:0043500;GO:0043603;GO:0043604;GO:0043900;GO:0044060;GO:0044182;GO:0044237;GO:0044238;GO:0044249;GO:0044255;GO:0044260;GO:0044267;GO:0044271;GO:0045292;GO:0045595;GO:0045597;GO:0045601;GO:0045603;GO:0045634;GO:0045649;GO:0045651;GO:0045664;GO:0045667;GO:0045668;GO:0045745;GO:0045893;GO:0045940;GO:0045944;GO:0045992;GO:0046174;GO:0046488;GO:0046634;GO:0046636;GO:0046640;GO:0046642;GO:0046676;GO:0046839;GO:0046854;GO:0046856;GO:0046883;GO:0046885;GO:0046890;GO:0046907;GO:0050801;GO:0046916;GO:0048066;GO:0048070;GO:0048513;GO:0048584;GO:0048585;GO:0048738;GO:0048741;GO:0048806;GO:0048814;GO:0048869;GO:0048878;GO:0050657;GO:0050658;GO:0050672;GO:0050687;GO:0050767;GO:0050773;GO:0050774;GO:0050776;GO:0050789;GO:0050793;GO:0050794;GO:0050850;GO:0050868;GO:0050896;GO:0050932;GO:0051028;GO:0051091;GO:0051095;GO:0051096;GO:0051128;GO:0051155;GO:0051168;GO:0051169;GO:0051171;GO:0051173;GO:0051236;GO:0051239;GO:0051246;GO:0051247;GO:0051250;GO:0051252;GO:0051254;GO:0051716;GO:0051960;GO:0055065;GO:0055070;GO:0055072;GO:0055076;GO:0055080;GO:0055082;GO:0060003;GO:0060078;GO:0060079;GO:0060147;GO:0060149;GO:0060158;GO:0060255;GO:0060284;GO:0060390;GO:0060391;GO:0060393;GO:0060395;GO:0060544;GO:0060546;GO:0060547;GO:0060586;GO:0060736;GO:0060742;GO:0060964;GO:0060965;GO:0060966;GO:0060967;GO:0060968;GO:0060969;GO:0061035;GO:0061036;GO:0061061;GO:0061458;GO:0065007;GO:0070228;GO:0070232;GO:0070243;GO:0070664;GO:0070783;GO:0070884;GO:0070886;GO:0070920;GO:0071214;GO:0071281;GO:0071310;GO:0071467;GO:0071496;GO:0071704;GO:0080090;GO:0090030;GO:0090031;GO:0090092;GO:0090100;GO:0090207;GO:0090278;GO:0095500;GO:0097054;GO:0097194;GO:0097202;GO:0097284;GO:0097720;GO:0098771;GO:0098781;GO:0099151;GO:0099170;GO:1900193;GO:1901564;GO:1901566;GO:1901576;GO:1901620;GO:1901621;GO:1902275;GO:1902296;GO:1902319;GO:1902531;GO:1902532;GO:1902680;GO:1902983;GO:1903038;GO:1903242;GO:1903244;GO:1903506;GO:1903508;GO:1903538;GO:1903798;GO:1903799;GO:1903831;GO:1904019;GO:1905203;GO:1905205;GO:1905269;GO:1905952;GO:1905954;GO:2000026;GO:2000106;GO:2000112;GO:2000288;GO:2000291;GO:2000514;GO:2000515;GO:2000561;GO:2000562;GO:2000831;GO:2000833;GO:2000846;GO:2000848;GO:2000855;GO:2000857;GO:2000858;GO:2000860;GO:2001141;GO:2001252
GO:0008219,28,1.00502512562814,cell death,GO:0008625;GO:0010939;GO:0010941;GO:0042981;GO:0036462;GO:0043067;GO:0060544;GO:0060546;GO:0060547;GO:0070228;GO:0070232;GO:0070243;GO:0097194;GO:0097284;GO:1904019;GO:2000106
GO:0008283,12,0.430725053840632,cell proliferation,GO:0014842;GO:0014857;GO:0032945;GO:0042130;GO:0046640;GO:0046642;GO:0050672;GO:0070664;GO:2000288;GO:2000291;GO:2000561;GO:2000562
GO:0009056,4,0.143575017946877,catabolic process,GO:0019405;GO:0019563;GO:0019588;GO:0046174
GO:0009058,268,9.61952620244078,biosynthetic process,GO:0006268;GO:0006271;GO:0006355;GO:0006357;GO:0006412;GO:0006537;GO:0009059;GO:0009301;GO:0009889;GO:0010556;GO:0010566;GO:0010866;GO:0010893;GO:0046889;GO:0046886;GO:0030174;GO:0030509;GO:0030513;GO:0031326;GO:0031554;GO:0031555;GO:0031556;GO:0032347;GO:0032349;GO:0034645;GO:0036092;GO:0042795;GO:0043043;GO:0043604;GO:0044249;GO:0044271;GO:0045893;GO:0045944;GO:0046885;GO:0046890;GO:0051091;GO:0090030;GO:0090031;GO:0097054;GO:0098781;GO:1901566;GO:1901576;GO:1902296;GO:1902319;GO:1902680;GO:1902983;GO:1903506;GO:1903508;GO:2000112;GO:2001141
GO:0009790,9,0.323043790380474,embryo development,GO:0001704;GO:0001707;GO:0001841;GO:0021532;GO:0031076;GO:0035050;GO:0045992;GO:1901620;GO:1901621
GO:0015031,3,0.107681263460158,protein transport,GO:0006406;GO:0046676
GO:0015979,0,0,photosynthesis,
GO:0016192,0,0,vesicle-mediated transport,
GO:0019748,0,0,secondary metabolic process,
GO:0021700,2,0.0717875089734386,developmental maturation,GO:1900193;GO:1903538
GO:0022607,2,0.0717875089734386,cellular component assembly,GO:0035735;GO:0099151
GO:0022618,0,0,ribonucleoprotein complex assembly,
GO:0030154,64,2.29720028715004,cell differentiation,GO:0002068;GO:0003323;GO:0010830;GO:0010831;GO:0010975;GO:0014904;GO:0030225;GO:0032330;GO:0032332;GO:0042052;GO:0045595;GO:0045597;GO:0045601;GO:0045603;GO:0045634;GO:0045649;GO:0045651;GO:0045664;GO:0045667;GO:0045668;GO:0048741;GO:0048814;GO:0050767;GO:0050773;GO:0050774;GO:0050932;GO:0051155;GO:0060284;GO:0060742;GO:1900193;GO:1903538
