GOslim,Count,Percent,Term,go_terms
GO:0000228,1,0.0648929266709929,nuclear chromosome,GO:0000811
GO:0000229,0,0,cytoplasmic chromosome,
GO:0005575,512,33.2251784555483,cellular_component,GO:0000178;GO:0022625;GO:0005622;GO:0005834;GO:0000346;GO:0000811;GO:0001534;GO:1990904;GO:0005930;GO:0005829;GO:0005840;GO:0005615;GO:0005634;GO:0005654;GO:0005665;GO:0043231;GO:0005890;GO:0005942;GO:0005952;GO:0005955;GO:0010009;GO:0015934;GO:0030008;GO:0030018;GO:0030689;GO:0030690;GO:0031261;GO:0031264;GO:0031265;GO:0031464;GO:0031465;GO:0032991;GO:0033106;GO:0036056;GO:0036057;GO:0042555;GO:0043226;GO:0043227;GO:0043228;GO:0043229;GO:0043232;GO:0044391;GO:0044421;GO:0044422;GO:0044424;GO:0044441;GO:0044444;GO:0044445;GO:0044449;GO:0044451;GO:0044463;GO:0044464;GO:0061695;GO:0080008;GO:0090533;GO:0097342;GO:0097542;GO:0097546;GO:0098533;GO:0098559;GO:0098560;GO:0098574;GO:0098685;GO:0098686;GO:0098797;GO:1902494;GO:1904949;GO:1905354;GO:1905360
GO:0005576,15,0.973393900064893,extracellular region,GO:0005615;GO:0044421
GO:0005615,7,0.45425048669695,extracellular space,
GO:0005618,0,0,cell wall,
GO:0005622,225,14.6009085009734,intracellular,GO:0000178;GO:0022625;GO:0005834;GO:0000346;GO:0000811;GO:0001534;GO:0005930;GO:0005829;GO:0005840;GO:0005634;GO:0005654;GO:0005665;GO:0043231;GO:0005952;GO:0005955;GO:0010009;GO:0015934;GO:0030008;GO:0030018;GO:0030689;GO:0030690;GO:0031261;GO:0031464;GO:0031465;GO:0033106;GO:0043229;GO:0043232;GO:0044391;GO:0044424;GO:0044444;GO:0044445;GO:0044449;GO:0044451;GO:0080008;GO:0097342;GO:0098559;GO:0098560;GO:0098574
GO:0005623,288,18.6891628812459,cell,GO:0000178;GO:0022625;GO:0005622;GO:0005834;GO:0000346;GO:0000811;GO:0001534;GO:0005930;GO:0005829;GO:0005840;GO:0005634;GO:0005654;GO:0005665;GO:0043231;GO:0005890;GO:0005952;GO:0005955;GO:0010009;GO:0015934;GO:0030008;GO:0030018;GO:0030689;GO:0030690;GO:0031261;GO:0031264;GO:0031265;GO:0031464;GO:0031465;GO:0033106;GO:0043229;GO:0043232;GO:0044391;GO:0044424;GO:0044441;GO:0044444;GO:0044445;GO:0044449;GO:0044451;GO:0044463;GO:0044464;GO:0080008;GO:0097342;GO:0097542;GO:0097546;GO:0098559;GO:0098560;GO:0098574;GO:0098797
GO:0005634,29,1.88189487345879,nucleus,GO:0000346;GO:0000811;GO:0005654;GO:0005665;GO:0030689;GO:0030690;GO:0031261;GO:0044451
GO:0005635,0,0,nuclear envelope,
GO:0005654,13,0.843608046722907,nucleoplasm,GO:0000811;GO:0005665;GO:0031261;GO:0044451
GO:0005694,1,0.0648929266709929,chromosome,GO:0000811
GO:0005730,0,0,nucleolus,
GO:0005737,73,4.73718364698248,cytoplasm,GO:0022625;GO:0001534;GO:0005930;GO:0005829;GO:0005840;GO:0010009;GO:0015934;GO:0030018;GO:0033106;GO:0044391;GO:0044444;GO:0044445;GO:0044449;GO:0097342;GO:0098559;GO:0098560;GO:0098574
GO:0005739,0,0,mitochondrion,
GO:0005764,1,0.0648929266709929,lysosome,GO:0098574
GO:0005768,3,0.194678780012979,endosome,GO:0010009;GO:0098559;GO:0098560
GO:0005773,1,0.0648929266709929,vacuole,GO:0098574
GO:0005777,0,0,peroxisome,
GO:0005783,0,0,endoplasmic reticulum,
GO:0005794,1,0.0648929266709929,Golgi apparatus,GO:0033106
GO:0005811,0,0,lipid droplet,
GO:0005815,0,0,microtubule organizing center,
GO:0005829,16,1.03828682673589,cytosol,GO:0022625;GO:0044445;GO:0097342
GO:0005840,17,1.10317975340688,ribosome,GO:0022625;GO:0015934;GO:0044391
GO:0005856,3,0.194678780012979,cytoskeleton,GO:0001534;GO:0005930
GO:0005886,6,0.389357560025957,plasma membrane,GO:0005834;GO:0005890;GO:0031264;GO:0031265;GO:0098797
GO:0005929,8,0.519143413367943,cilium,GO:0001534;GO:0005930;GO:0044441;GO:0097542;GO:0097546
GO:0009536,0,0,plastid,
GO:0009579,0,0,thylakoid,
GO:0030312,0,0,external encapsulating structure,
GO:0031012,0,0,extracellular matrix,
GO:0031410,3,0.194678780012979,cytoplasmic vesicle,GO:0010009;GO:0098559;GO:0098560
GO:0032991,94,6.09993510707333,protein-containing complex,GO:0000178;GO:0022625;GO:0005834;GO:0000346;GO:0000811;GO:0001534;GO:1990904;GO:0005840;GO:0005665;GO:0005890;GO:0005942;GO:0005952;GO:0005955;GO:0015934;GO:0030008;GO:0030689;GO:0030690;GO:0031261;GO:0031264;GO:0031265;GO:0031464;GO:0031465;GO:0042555;GO:0044391;GO:0061695;GO:0080008;GO:0090533;GO:0097342;GO:0098533;GO:0098797;GO:1902494;GO:1904949;GO:1905354;GO:1905360
GO:0043226,224,14.5360155743024,organelle,GO:0022625;GO:0000346;GO:0000811;GO:0001534;GO:0005930;GO:0005840;GO:0005634;GO:0005654;GO:0005665;GO:0043231;GO:0010009;GO:0015934;GO:0030018;GO:0030689;GO:0030690;GO:0031261;GO:0033106;GO:0043227;GO:0043228;GO:0043229;GO:0043232;GO:0044391;GO:0044422;GO:0044441;GO:0044449;GO:0044451;GO:0097542;GO:0097546;GO:0098559;GO:0098560;GO:0098574
