GOslim,Count,Percent,Term,go_terms
GO:0003674,459,75,molecular_function,GO:0005515;GO:0003924;GO:0000976;GO:0000977;GO:0000978;GO:0000987;GO:0001012;GO:0001664;GO:0001882;GO:0001883;GO:0003676;GO:0003677;GO:0003678;GO:0003700;GO:0003723;GO:0003735;GO:0003985;GO:0003988;GO:0004114;GO:0004355;GO:0004371;GO:0005102;GO:0016307;GO:0052813;GO:0034593;GO:0016018;GO:0004723;GO:0005123;GO:0005125;GO:0005126;GO:0005160;GO:0005164;GO:0045735;GO:0005198;GO:0005391;GO:0005488;GO:0046872;GO:0005525;GO:0050431;GO:0046983;GO:0008327;GO:0008459;GO:0008556;GO:0008603;GO:0016303;GO:0035005;GO:0046934;GO:0015930;GO:0016040;GO:0016262;GO:0016408;GO:0016453;GO:0016530;GO:0016531;GO:0016639;GO:0016791;GO:0019001;GO:0019843;GO:0030552;GO:0031683;GO:0031714;GO:0031715;GO:0031821;GO:0031826;GO:0032549;GO:0032550;GO:0032561;GO:0032767;GO:0032813;GO:0033192;GO:0033612;GO:0034481;GO:0034596;GO:0034597;GO:0035004;GO:0035877;GO:0042578;GO:0043169;GO:0043274;GO:0043425;GO:0043426;GO:0043565;GO:0045181;GO:0046982;GO:0047555;GO:0051538;GO:0052866;GO:0061629;GO:0070696;GO:0070700;GO:0097153;GO:0097159;GO:0097199;GO:1901363;GO:1990825
GO:0003677,26,4.2483660130719,DNA binding,GO:0000976;GO:0000977;GO:0000978;GO:0000987;GO:0001012;GO:0008327;GO:0043565
GO:0003700,4,0.65359477124183,DNA-binding transcription factor ac...,
GO:0003723,12,1.96078431372549,RNA binding,GO:0019843;GO:1990825
GO:0003729,1,0.163398692810458,mRNA binding,GO:1990825
GO:0003735,0,0,structural constituent of ribosome,
GO:0003924,3,0.490196078431373,GTPase activity,
GO:0004386,2,0.326797385620915,helicase activity,GO:0003678
GO:0004518,0,0,nuclease activity,
GO:0005198,24,3.92156862745098,structural molecule activity,GO:0003735
GO:0008092,0,0,cytoskeletal protein binding,
GO:0008134,3,0.490196078431373,transcription factor binding,GO:0043425;GO:0043426;GO:0061629
GO:0008135,0,0,translation factor activity, RNA bi...,
GO:0008168,0,0,methyltransferase activity,
GO:0008233,2,0.326797385620915,peptidase activity,GO:0097153;GO:0097199
GO:0008289,0,0,lipid binding,
GO:0016301,7,1.1437908496732,kinase activity,GO:0004371;GO:0016307;GO:0052813;GO:0016303;GO:0035005;GO:0046934;GO:0035004
GO:0016491,5,0.816993464052288,oxidoreductase activity,GO:0004355;GO:0015930;GO:0016040;GO:0016639;GO:0045181
GO:0016746,4,0.65359477124183,transferase activity, transferring ...,GO:0003985;GO:0003988;GO:0016408;GO:0016453
GO:0016757,1,0.163398692810458,transferase activity, transferring ...,GO:0016262
GO:0016765,0,0,transferase activity, transferring ...,
GO:0016779,0,0,nucleotidyltransferase activity,
GO:0016791,9,1.47058823529412,phosphatase activity,GO:0034593;GO:0004723;GO:0033192;GO:0034596;GO:0034597;GO:0052866
GO:0016798,0,0,hydrolase activity, acting on glyco...,
GO:0016810,0,0,hydrolase activity, acting on carbo...,
GO:0016829,0,0,lyase activity,
GO:0016853,0,0,isomerase activity,
GO:0016874,0,0,ligase activity,
GO:0016887,2,0.326797385620915,ATPase activity,GO:0005391;GO:0008556
GO:0019843,2,0.326797385620915,rRNA binding,
GO:0019899,1,0.163398692810458,enzyme binding,GO:0043274
GO:0022857,2,0.326797385620915,transmembrane transporter activity,GO:0005391;GO:0008556
GO:0030234,1,0.163398692810458,enzyme regulator activity,GO:0008603
GO:0030533,0,0,triplet codon-amino acid adaptor ac...,
GO:0030555,0,0,RNA modification guide activity,
GO:0030674,0,0,protein binding, bridging,
GO:0032182,0,0,ubiquitin-like protein binding,
GO:0042393,0,0,histone binding,
GO:0043167,42,6.86274509803922,ion binding,GO:0046872;GO:0005525;GO:0016531;GO:0030552;GO:0043169
GO:0051082,0,0,unfolded protein binding,
