,Count,Percent,Term
GO:0000003,1,0.255102040816327,reproduction
GO:0000278,8,2.04081632653061,mitotic cell cycle
GO:0000902,0,0,cell morphogenesis
GO:0002376,29,7.39795918367347,immune system process
GO:0003013,0,0,circulatory system process
GO:0005975,2,0.510204081632653,carbohydrate metabolic process
GO:0006091,6,1.53061224489796,generation of precursor metabolites...
GO:0006259,0,0,DNA metabolic process
GO:0006397,0,0,mRNA processing
GO:0006399,1,0.255102040816327,tRNA metabolic process
GO:0006412,0,0,translation
GO:0006457,0,0,protein folding
GO:0006464,3,0.76530612244898,cellular protein modification proce...
GO:0006520,0,0,cellular amino acid metabolic proce...
GO:0006605,1,0.255102040816327,protein targeting
GO:0006629,2,0.510204081632653,lipid metabolic process
GO:0006790,5,1.27551020408163,sulfur compound metabolic process
GO:0006810,18,4.59183673469388,transport
GO:0006913,0,0,nucleocytoplasmic transport
GO:0006914,0,0,autophagy
GO:0006950,9,2.29591836734694,response to stress
GO:0007005,8,2.04081632653061,mitochondrion organization
GO:0007009,0,0,plasma membrane organization
GO:0007010,0,0,cytoskeleton organization
GO:0007034,0,0,vacuolar transport
GO:0007049,15,3.8265306122449,cell cycle
GO:0007059,0,0,chromosome segregation
GO:0007155,14,3.57142857142857,cell adhesion
GO:0007165,16,4.08163265306122,signal transduction
GO:0007267,2,0.510204081632653,cell-cell signaling
GO:0007568,0,0,aging
GO:0008150,127,32.3979591836735,biological_process
GO:0008219,7,1.78571428571429,cell death
GO:0008283,4,1.02040816326531,cell population proliferation
GO:0009056,6,1.53061224489796,catabolic process
GO:0009058,6,1.53061224489796,biosynthetic process
GO:0009790,1,0.255102040816327,embryo development
GO:0015031,6,1.53061224489796,protein transport
GO:0015979,0,0,photosynthesis
GO:0016192,0,0,vesicle-mediated transport
GO:0019748,0,0,secondary metabolic process
GO:0021700,1,0.255102040816327,developmental maturation
GO:0022607,1,0.255102040816327,cellular component assembly
GO:0022618,0,0,ribonucleoprotein complex assembly
GO:0030154,18,4.59183673469388,cell differentiation
GO:0030198,0,0,extracellular matrix organization
GO:0030705,5,1.27551020408163,cytoskeleton-dependent intracellula...
GO:0032196,0,0,transposition
GO:0034330,3,0.76530612244898,cell junction organization
GO:0034641,6,1.53061224489796,cellular nitrogen compound metaboli...
GO:0034655,0,0,nucleobase-containing compound cata...
GO:0040007,0,0,growth
GO:0040011,2,0.510204081632653,locomotion
GO:0042254,0,0,ribosome biogenesis
GO:0042592,1,0.255102040816327,homeostatic process
GO:0043473,0,0,pigmentation
GO:0044281,10,2.55102040816327,small molecule metabolic process
GO:0044403,0,0,symbiotic process
GO:0048646,0,0,anatomical structure formation invo...
GO:0048856,27,6.88775510204082,anatomical structure development
GO:0048870,2,0.510204081632653,cell motility
GO:0050877,3,0.76530612244898,nervous system process
GO:0051276,2,0.510204081632653,chromosome organization
GO:0051301,2,0.510204081632653,cell division
GO:0051604,3,0.76530612244898,protein maturation
GO:0055085,4,1.02040816326531,transmembrane transport
GO:0061024,5,1.27551020408163,membrane organization
GO:0065003,0,0,protein-containing complex assembly
GO:0071554,0,0,cell wall organization or biogenesi...
GO:0071941,0,0,nitrogen cycle metabolic process
GO:0140014,0,0,mitotic nuclear division
