,Count,Percent,Term
GO:0000003,2,0.385356454720617,reproduction
GO:0000278,0,0,mitotic cell cycle
GO:0000902,0,0,cell morphogenesis
GO:0002376,26,5.00963391136802,immune system process
GO:0003013,1,0.192678227360308,circulatory system process
GO:0005975,0,0,carbohydrate metabolic process
GO:0006091,0,0,generation of precursor metabolites...
GO:0006259,9,1.73410404624277,DNA metabolic process
GO:0006397,1,0.192678227360308,mRNA processing
GO:0006399,1,0.192678227360308,tRNA metabolic process
GO:0006412,0,0,translation
GO:0006457,0,0,protein folding
GO:0006464,2,0.385356454720617,cellular protein modification proce...
GO:0006520,9,1.73410404624277,cellular amino acid metabolic proce...
GO:0006605,1,0.192678227360308,protein targeting
GO:0006629,4,0.770712909441233,lipid metabolic process
GO:0006790,0,0,sulfur compound metabolic process
GO:0006810,5,0.963391136801541,transport
GO:0006913,0,0,nucleocytoplasmic transport
GO:0006914,3,0.578034682080925,autophagy
GO:0006950,20,3.85356454720617,response to stress
GO:0007005,2,0.385356454720617,mitochondrion organization
GO:0007009,0,0,plasma membrane organization
GO:0007010,2,0.385356454720617,cytoskeleton organization
GO:0007034,0,0,vacuolar transport
GO:0007049,2,0.385356454720617,cell cycle
GO:0007059,0,0,chromosome segregation
GO:0007155,9,1.73410404624277,cell adhesion
GO:0007165,13,2.50481695568401,signal transduction
GO:0007267,3,0.578034682080925,cell-cell signaling
GO:0007568,1,0.192678227360308,aging
GO:0008150,217,41.8111753371869,biological_process
GO:0008219,11,2.11946050096339,cell death
GO:0008283,7,1.34874759152216,cell population proliferation
GO:0009056,11,2.11946050096339,catabolic process
GO:0009058,7,1.34874759152216,biosynthetic process
GO:0009790,5,0.963391136801541,embryo development
GO:0015031,1,0.192678227360308,protein transport
GO:0015979,0,0,photosynthesis
GO:0016192,3,0.578034682080925,vesicle-mediated transport
GO:0019748,0,0,secondary metabolic process
GO:0021700,1,0.192678227360308,developmental maturation
GO:0022607,3,0.578034682080925,cellular component assembly
GO:0022618,1,0.192678227360308,ribonucleoprotein complex assembly
GO:0030154,26,5.00963391136802,cell differentiation
GO:0030198,1,0.192678227360308,extracellular matrix organization
GO:0030705,0,0,cytoskeleton-dependent intracellula...
GO:0032196,0,0,transposition
GO:0034330,2,0.385356454720617,cell junction organization
GO:0034641,12,2.3121387283237,cellular nitrogen compound metaboli...
GO:0034655,1,0.192678227360308,nucleobase-containing compound cata...
GO:0040007,1,0.192678227360308,growth
GO:0040011,2,0.385356454720617,locomotion
GO:0042254,0,0,ribosome biogenesis
GO:0042592,9,1.73410404624277,homeostatic process
GO:0043473,0,0,pigmentation
GO:0044281,11,2.11946050096339,small molecule metabolic process
GO:0044403,0,0,symbiotic process
GO:0048646,1,0.192678227360308,anatomical structure formation invo...
GO:0048856,58,11.1753371868979,anatomical structure development
GO:0048870,2,0.385356454720617,cell motility
GO:0050877,1,0.192678227360308,nervous system process
GO:0051276,8,1.54142581888247,chromosome organization
GO:0051301,0,0,cell division
GO:0051604,0,0,protein maturation
GO:0055085,0,0,transmembrane transport
GO:0061024,0,0,membrane organization
GO:0065003,1,0.192678227360308,protein-containing complex assembly
GO:0071554,0,0,cell wall organization or biogenesi...
GO:0071941,0,0,nitrogen cycle metabolic process
GO:0140014,0,0,mitotic nuclear division
