male_bleached_K5_01	male_bleached_K5_02	male_bleached_K5_03	female_bleached_K5_04	female_bleached_K5_05	female_bleached_K5_06
TRINITY_DN167872_c7_g1	1.88699994819913	0.891779726312466	1.0891887988124	-1.28932282444133	-1.28932282444133	-1.28932282444133
TRINITY_DN200010_c5_g1	0.46292924543486	1.6210353032831	0.732139114731681	-0.938701221149881	-0.938701221149881	-0.938701221149881
TRINITY_DN183857_c0_g1	2.46575691004002	1.61032120650572	1.75930248492092	-1.94512686715556	-1.94512686715556	-1.94512686715556
TRINITY_DN198636_c6_g1	1.10861682647543	0.602187728300966	2.05538112647314	-1.25539522708318	-1.25539522708318	-1.25539522708318
TRINITY_DN165911_c1_g3	1.97714627419273	1.09767062338861	0.140022215600027	-1.07161303772712	-1.07161303772712	-1.07161303772712
TRINITY_DN187708_c6_g1	1.20572280755327	1.96626719075668	0.0492554659636253	-1.07374848809119	-1.07374848809119	-1.07374848809119
TRINITY_DN199916_c4_g3	0.329451791778208	1.06849451405038	1.06732649749146	-0.821757601106685	-0.821757601106685	-0.821757601106685
TRINITY_DN162161_c0_g1	4.69563818049735	-0.956103806924882	1.87366858124032	-1.66351967361966	-1.96176302700658	-1.98792025418655
TRINITY_DN157585_c2_g11	1.23701088713036	2.45161548995215	2.34258120421349	-2.08549417038852	-1.86021924051895	-2.08549417038852
TRINITY_DN197059_c3_g1	2.76109589925922	1.46711769534574	1.1270214382911	-1.92904179372741	-1.49715144544123	-1.92904179372741
TRINITY_DN151245_c0_g1	3.29634977783954	-1.65912860533123	4.78865133061154	-2.57607749986766	-1.44461537373188	-2.4051796295203
TRINITY_DN193107_c2_g5	-1.25984651168048	-1.25984651168048	-1.25984651168048	0.805381111095136	2.27980862523992	0.694349798706392
TRINITY_DN191472_c1_g2	7.22533648239503	0.729829426665043	-1.7957971209474	-2.06798426194236	-2.08298242623226	-2.00840209993805
TRINITY_DN158606_c2_g1	2.0561735828016	-0.330265928546165	2.83210366023415	-1.84807229155135	-1.51981657669198	-1.19012244624626
TRINITY_DN172252_c1_g2	2.0091156413425	1.10367963369017	0.271384604683925	-1.12805995990553	-1.12805995990553	-1.12805995990553
TRINITY_DN165577_c2_g1	0.252785785284569	0.366907394455163	2.65473064936282	-1.09147460970085	-1.09147460970085	-1.09147460970085
TRINITY_DN176651_c2_g6	3.64179530118918	0.511111379083673	0.0170839115196617	-1.38999686393084	-1.38999686393084	-1.38999686393084
TRINITY_DN178739_c0_g1	5.13976721335323	-0.424568558103387	0.428010414592845	-1.7144030232809	-1.7144030232809	-1.7144030232809
TRINITY_DN181168_c5_g1	-1.89436273362092	-1.89436273362092	-1.35532803065016	1.53739392657353	1.37586717361708	2.23079239770137
TRINITY_DN198807_c3_g1	3.2120554330137	0.19215006466568	1.31722132646085	-1.57380894138007	-1.57380894138007	-1.57380894138007
TRINITY_DN159439_c3_g7	-1.10831012502766	-1.10831012502766	-1.10831012502766	1.5947905745765	1.02656792931545	0.703571871191011
TRINITY_DN164358_c3_g5	-1.21966197505068	-1.21966197505068	-1.21966197505068	2.19542060774376	1.36650227088023	0.0970630465280655
TRINITY_DN183871_c3_g8	-1.67624333779372	-1.67624333779372	-1.67624333779372	1.92640357071165	1.03613233508695	2.06619410758255
TRINITY_DN188072_c3_g4	2.98764877178586	1.91548230475549	-0.453295619473553	-1.48327848568927	-1.48327848568927	-1.48327848568927
TRINITY_DN165679_c4_g2	-1.64094116866948	-1.64094116866948	-1.64094116866948	2.55865266001454	1.54175112884671	0.82241971714718
TRINITY_DN199899_c4_g1	-0.991496831686153	-1.08046038566142	-1.07307694835366	1.62826108553307	0.978923307656314	0.537849772511853
TRINITY_DN188089_c2_g1	5.05992750127818	-1.88788637403157	3.33848093906702	-2.00448413134542	-2.2530189674841	-2.2530189674841
TRINITY_DN163958_c0_g1	2.43087402961089	1.71850869211449	0.13975981480975	-1.23060863513537	-1.52926695069988	-1.52926695069988
TRINITY_DN162970_c2_g1	-1.11635394392729	-1.11635394392729	-1.11635394392729	1.49292823598928	0.884006684756221	0.972126911036383
TRINITY_DN168919_c8_g1	2.87984264295466	0.125406504884878	0.349538580406422	-1.11826257608199	-1.11826257608199	-1.11826257608199
TRINITY_DN212791_c0_g1	0.28395149759943	3.78569630260944	-0.365896876060616	-1.23458364138275	-1.23458364138275	-1.23458364138275
TRINITY_DN183000_c0_g1	-1.06285646261303	-1.06285646261303	-1.06285646261303	1.43667056160207	1.15437425360764	0.597524572629382
TRINITY_DN190838_c3_g2	1.18728083210089	2.32426346462809	0.713124188476588	-1.40822282840185	-1.40822282840185	-1.40822282840185
TRINITY_DN165545_c0_g1	2.54773689120012	0.613757493460215	0.894776013382249	-1.14678090941361	-1.88567367380385	-1.02381581482511
TRINITY_DN165525_c2_g2	2.40082918295652	1.39307842172572	-0.128306769048809	-1.22186694521115	-1.22186694521115	-1.22186694521115
TRINITY_DN166036_c0_g1	-1.03904968894209	-1.00869373180114	-0.740385332289797	1.52838029184594	1.04007814085738	0.219670320329693
TRINITY_DN196431_c0_g1	1.15202384688503	1.00475867244664	0.655640392530543	-0.937474303954072	-0.937474303954072	-0.937474303954072
TRINITY_DN176935_c1_g1	6.15468831436419	-1.49221990448804	1.89619584261155	-2.13652476322639	-1.78454714479103	-2.63759234447028
TRINITY_DN137484_c0_g1	-1.13302667100799	-1.13302667100799	-1.13302667100799	0.648962444856712	1.87954200249506	0.870575565672203
TRINITY_DN172490_c4_g1	3.61147479867459	3.70061969149263	3.80680423222131	-3.70629957412951	-3.70629957412951	-3.70629957412951
TRINITY_DN170364_c2_g3	-1.74894327776021	-1.74894327776021	-1.68130456088485	1.73815713506432	1.83962145964114	1.60141252169982
TRINITY_DN189188_c2_g2	1.13105233814575	3.44792028868855	0.46598108840932	-1.68165123841454	-1.68165123841454	-1.68165123841454
TRINITY_DN169094_c10_g2	0.986497596325762	2.21167433781793	0.291088936353428	-1.16308695683237	-1.16308695683237	-1.16308695683237
TRINITY_DN173465_c0_g2	0.336182390797981	0.979832023905321	2.12243447514488	-1.14614962994939	-1.14614962994939	-1.14614962994939
TRINITY_DN157834_c22_g1	0.668789293347798	3.26411977503873	-0.361753580830618	-1.19038516251864	-1.19038516251864	-1.19038516251864
TRINITY_DN199533_c5_g1	4.02752758959715	0.8804811456364	0.820545328230757	-2.0400843868692	-1.41540145712175	-2.27306821947336
