bleached_male_K5_01	bleached_male_K5_02	bleached_male_K5_03	bleached_female_K5_04	bleached_female_K5_05	bleached_female_K5_06	bleached_female_44_01	bleached_female_44_02	bleached_female_44_03	non-bleached_female_K5_01	non-bleached_female_K5_02	non-bleached_female_K5_03	non-bleached_female_44_01	non-bleached_female_44_02	non-bleached_female_44_03
TRINITY_DN146444_c3_g1	-0.454726578064143	-0.454726578064143	-0.454726578064143	-0.454726578064143	-0.454726578064143	-0.454726578064143	-0.454726578064143	-0.454726578064143	-0.454726578064143	-0.454726578064143	1.53550221536187	0.852701947128105	0.143638627259502	0.812509563748267	1.20291342714368
TRINITY_DN231501_c0_g1	-0.727358056910913	-0.727358056910913	-0.727358056910913	-0.727358056910913	-0.727358056910913	-0.727358056910913	-0.727358056910913	-0.727358056910913	-0.727358056910913	3.67099231343505	-0.727358056910913	0.48053479473042	0.165615758362421	2.71810381026744	0.238333892313792
TRINITY_DN121800_c0_g1	-0.651437554917576	-0.651437554917576	-0.651437554917576	-0.651437554917576	-0.651437554917576	-0.651437554917576	-0.651437554917576	-0.651437554917576	-0.651437554917576	2.56501731022718	-0.651437554917576	0.904378600144064	-0.0502164693326294	2.65307348689238	0.442122621244762
TRINITY_DN196262_c4_g3	-0.353207547574207	-0.353207547574207	-0.353207547574207	-0.353207547574207	-0.353207547574207	-0.353207547574207	-0.353207547574207	-0.353207547574207	-0.353207547574207	1.18433702439037	0.0560475991106309	0.369258476896884	0.549830722538705	0.812865128372499	0.206528976858776
TRINITY_DN188659_c0_g1	-0.65377794018425	-0.65377794018425	-0.65377794018425	-0.65377794018425	-0.65377794018425	-0.65377794018425	-0.65377794018425	-0.65377794018425	-0.65377794018425	3.30728968608354	0.588672133493452	0.600211326046537	0.274497621427685	1.76710863479128	-0.65377794018425
TRINITY_DN162158_c4_g5	2.28919425607699	0.209504028773783	1.67603664695413	2.32339373467909	0.0692094368527847	-1.20999666639521	1.08428563253084	0.0905211776401975	1.80005788519439	-1.32811579294859	-0.906992131067525	-1.50234424201462	-1.43870360854907	-1.44831360272289	-1.7077367550043
TRINITY_DN158309_c3_g1	-1.73549119199092	-2.5010259383539	-0.997677203186396	-0.930077333180573	-0.480612635809714	-0.245223101751182	-1.7346427973526	0.0606667830444088	-1.82837430902552	-1.54571313490919	1.32211198094463	-1.20354102264333	7.29412408593861	-1.8094917734347	6.33496759171038
TRINITY_DN172555_c8_g1	-0.825298677014301	-0.825298677014301	-0.825298677014301	-0.825298677014301	-0.825298677014301	-0.825298677014301	-0.825298677014301	-0.825298677014301	-0.825298677014301	4.16088468586707	-0.825298677014301	-0.0162959020752146	1.17758383151882	3.75611283184663	-0.825298677014301
TRINITY_DN84765_c0_g1	-0.496601079481756	-0.496601079481756	-0.496601079481756	-0.496601079481756	-0.496601079481756	-0.496601079481756	-0.496601079481756	-0.496601079481756	-0.496601079481756	1.5509373092816	-0.496601079481756	0.356995426720756	1.5826916877911	0.847659315503662	0.627727055520445
TRINITY_DN184631_c1_g1	-1.02053395545291	-0.206881794934092	-0.312637431441182	-1.2133593590053	-0.36136052189285	-1.2133593590053	-0.866260688383028	-0.815008988659332	-0.921755800974732	2.24357817723323	-0.850468716339436	-0.947922462956198	6.58943485567106	0.920861580755337	-1.02432553461528
TRINITY_DN192566_c1_g1	-0.447661381375626	-0.447661381375626	-0.447661381375626	-0.447661381375626	-0.447661381375626	-0.447661381375626	-0.447661381375626	-0.447661381375626	-0.447661381375626	2.4751073415415	-0.447661381375626	0.0315691798307103	0.593581600856255	0.732486479782803	0.643869211744991
TRINITY_DN160534_c1_g2	-0.622120828811119	-0.17369066698943	-0.537231931224606	-0.632758259793376	-0.47848814035195	-0.526033724619742	-0.528514714123497	-0.745124782865939	-0.559892528635778	6.80260265075519	-0.585495597044711	-0.745124782865939	-0.334783678251852	0.295417010996908	-0.628760026174155
TRINITY_DN181323_c0_g3	-0.505126266452255	-0.505126266452255	-0.505126266452255	-0.505126266452255	-0.505126266452255	-0.505126266452255	-0.505126266452255	-0.505126266452255	-0.505126266452255	2.2820972178309	0.0179337953429942	0.398683292126442	0.946941963771556	1.40560639545066	-0.505126266452255
TRINITY_DN190106_c5_g1	-0.670448074493573	-1.067703420088	-0.940730563830234	-0.93545562178956	-1.067703420088	-0.404131084670477	-1.067703420088	-1.067703420088	-0.751557677794644	0.0619093180424692	-0.71268715586845	1.91287032913696	1.00714449581217	3.13573268371564	2.56816703209171
TRINITY_DN189885_c0_g5	-0.863271393909983	-0.863271393909983	-0.863271393909983	-0.863271393909983	-0.863271393909983	-0.863271393909983	-0.863271393909983	-0.863271393909983	-0.863271393909983	4.08205538335464	-0.863271393909983	-0.863271393909983	2.26518699023695	3.18094784272313	-0.0322048833049102
