bleached_male_K5_01	bleached_male_K5_02	bleached_male_K5_03	bleached_female_K5_04	bleached_female_K5_05	bleached_female_K5_06	bleached_female_44_01	bleached_female_44_02	bleached_female_44_03	non-bleached_female_K5_01	non-bleached_female_K5_02	non-bleached_female_K5_03	non-bleached_female_44_01	non-bleached_female_44_02	non-bleached_female_44_03
bleached_male_K5_01	1	0.736741773207396	0.88183119380458	0.880438032519986	0.661445564913411	-0.323304079191106	0.859807980571025	0.370219929957188	0.469384028860442	-0.476041168871038	-0.1416044041641	-0.187201165829457	-0.464116336084222	-0.469813060898406	-0.314713679736396
bleached_male_K5_02	0.736741773207396	1	0.670207986938176	0.632238864000114	0.794628678918261	-0.493709652725309	0.844741781334972	0.0483334753938816	0.12215139097717	-0.248480169654929	-0.306353026455275	-0.268395325884928	-0.414303507892247	-0.231454679672375	-0.45006543466623
bleached_male_K5_03	0.88183119380458	0.670207986938176	1	0.897304436822295	0.726683396485704	-0.20128733503278	0.732036884890199	0.256750054815832	0.424288541879127	-0.530362293780355	-0.0962136900216294	-0.338888024224644	-0.268422069268318	-0.432306975025045	-0.303017734380866
bleached_female_K5_04	0.880438032519986	0.632238864000114	0.897304436822295	1	0.723183678594329	-0.359199223699314	0.755083577188158	0.249882458094433	0.267336637193597	-0.441437421358753	-0.175585787977176	-0.319387901054292	-0.368050903548571	-0.357087643813652	-0.297977283270455
bleached_female_K5_05	0.661445564913411	0.794628678918261	0.726683396485704	0.723183678594329	1	-0.448178554904039	0.76649947717704	-0.110786885143562	-0.0429560406676297	-0.415787079837773	-0.0817220114914824	-0.234144917609988	-0.269773643981406	-0.453546978454342	-0.158895663999056
bleached_female_K5_06	-0.323304079191106	-0.493709652725309	-0.20128733503278	-0.359199223699314	-0.448178554904039	1	-0.490548289547055	0.17305858543942	0.190793451058092	-0.27328920048256	0.415420328666139	0.165194425202203	0.261920631028281	0.149780652624057	0.298190658043051
bleached_female_44_01	0.859807980571025	0.844741781334972	0.732036884890199	0.755083577188158	0.76649947717704	-0.490548289547055	1	0.259324208595272	0.385449229134044	-0.329977948363275	-0.151183772873869	-0.14991803979474	-0.531986502718523	-0.498262623537471	-0.341256073285909
bleached_female_44_02	0.370219929957188	0.0483334753938816	0.256750054815832	0.249882458094433	-0.110786885143562	0.17305858543942	0.259324208595272	1	0.403765284725083	-0.336421574355394	0.152875904500357	-0.32405833896953	0.00832693218774571	-0.180256211404329	0.110199228824073
bleached_female_44_03	0.469384028860442	0.12215139097717	0.424288541879127	0.267336637193597	-0.0429560406676297	0.190793451058092	0.385449229134044	0.403765284725083	1	-0.274970968515462	0.236937155236223	0.0179691620329609	-0.307511655673423	-0.29703908018291	-0.204235846235175
non-bleached_female_K5_01	-0.476041168871038	-0.248480169654929	-0.530362293780355	-0.441437421358753	-0.415787079837773	-0.27328920048256	-0.329977948363275	-0.336421574355394	-0.274970968515462	1	-0.420777291492238	0.0952648278443724	-0.219478792807862	0.288970407756557	-0.254531535784683
non-bleached_female_K5_02	-0.1416044041641	-0.306353026455275	-0.0962136900216294	-0.175585787977176	-0.0817220114914824	0.415420328666139	-0.151183772873869	0.152875904500357	0.236937155236223	-0.420777291492238	1	0.186215776776244	0.112924801836515	-0.231584995836932	0.293589536929971
non-bleached_female_K5_03	-0.187201165829457	-0.268395325884928	-0.338888024224644	-0.319387901054292	-0.234144917609988	0.165194425202203	-0.14991803979474	-0.32405833896953	0.0179691620329609	0.0952648278443724	0.186215776776244	1	-0.267517242914955	-0.218514954619171	-0.0562647751137986
non-bleached_female_44_01	-0.464116336084222	-0.414303507892247	-0.268422069268318	-0.368050903548571	-0.269773643981406	0.261920631028281	-0.531986502718523	0.00832693218774571	-0.307511655673423	-0.219478792807862	0.112924801836515	-0.267517242914955	1	0.107777250370861	0.350811729418931
non-bleached_female_44_02	-0.469813060898406	-0.231454679672375	-0.432306975025045	-0.357087643813652	-0.453546978454342	0.149780652624057	-0.498262623537471	-0.180256211404329	-0.29703908018291	0.288970407756557	-0.231584995836932	-0.218514954619171	0.107777250370861	1	-0.16777104516569
non-bleached_female_44_03	-0.314713679736396	-0.45006543466623	-0.303017734380866	-0.297977283270455	-0.158895663999056	0.298190658043051	-0.341256073285909	0.110199228824073	-0.204235846235175	-0.254531535784683	0.293589536929971	-0.0562647751137986	0.350811729418931	-0.16777104516569	1
