UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
4	8
1	0
3	0
0	0
0	0
0	0
10	0
0	0
0	0
0	0
5	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
5	0
3	0
0	0
6	0
0	0
0	0
8	0
0	0
0	0
0	0
0	0
0	0
3	0
5	0
2	0
0	0
8	0
0	0
3	0
5	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	0
0	0
4	0
1	0
1	0
1	0
0	0
0	0
2	0
0	0
2	0
0	0
0	0
9	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
5	0
0	0
1	0
0	0
0	0
0	0
9	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
8	0
3	0
7	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
15	0
2	0
0	0
0	0
1	0
14	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
9	0
0	0
13	0
0	0
0	0
0	0
0	0
13	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
72	0
0	0
0	0
5	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
2	0
6	0
0	0
0	0
0	0
0	0
15	0
4	0
2	0
2	0
0	0
0	0
1	0
0	0
1	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
1	0
8	0
0	0
0	0
0	0
4	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
18	0
0	0
0	0
4	0
9	0
5	0
0	0
0	0
0	0
0	0
0	0
0	0
4	1
0	1
0	0
0	0
0	0
0	0
0	0
3	0
0	0
7	0
0	0
0	0
0	0
24	0
0	0
0	0
0	0
0	0
7	0
1	0
3	0
0	0
0	0
0	0
2	0
0	0
0	0
2	0
2	0
2	0
1	0
0	0
3	0
15	8
12	4
29	9
0	0
5	0
3	3
3	3
1	0
1	0
0	1
0	2
0	2
0	0
0	0
0	6
0	5
0	1
0	1
0	0
0	18
0	0
9	24
0	24
5	0
0	0
4	0
0	0
0	51
2	41
3	41
0	6
0	195
0	1
0	2
0	1
0	1
0	2
3	0
0	0
0	3
0	0
0	9
0	9
0	16
4	13
0	0
0	0
6	0
1	0
0	0
0	26
0	26
0	0
7	0
0	0
0	0
13	38
0	30
2	38
0	0
4	0
0	0
0	0
0	0
1	0
3	11
13	11
0	10
15	154
