UniqueCount	AmbigCount
0	0
4	0
1	0
2	0
0	0
1	0
0	0
0	0
0	0
0	0
2	0
1	0
1	0
0	0
0	0
0	0
16	0
0	0
0	0
1	0
0	0
0	0
0	0
1	0
0	0
0	0
31	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
13	0
4	0
1	0
0	0
0	0
0	0
12	0
2	0
8	0
0	0
0	0
0	0
0	0
1	0
13	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
1	7
4	0
0	0
1	0
0	0
0	0
0	0
3	0
0	0
4	0
0	0
4	0
0	0
0	0
3	0
3	0
1	0
6	0
0	0
1	0
2	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
11	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
6	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
5	0
0	0
5	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
5	0
0	0
0	0
0	0
2	0
15	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
15	0
0	0
2	0
3	0
3	0
0	0
0	0
0	0
1	0
1	0
0	0
1	0
3	0
0	0
0	0
2	0
0	0
1	0
12	0
7	0
2	0
2	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
1	0
0	0
0	0
0	0
2	0
0	0
0	0
5	0
1	0
0	0
124	0
0	0
0	0
5	0
0	0
1	0
0	0
0	0
0	0
12	0
4	0
6	0
0	0
3	0
0	0
7	0
5	0
0	0
0	0
2	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
13	0
1	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
7	0
0	0
0	0
0	0
0	0
1	0
0	0
1	0
0	0
2	0
0	0
3	0
3	0
0	0
1	0
1	0
0	0
0	0
3	0
0	0
0	0
9	2
15	4
0	12
0	0
0	0
5	3
19	3
13	0
0	38
3	12
2	27
0	8
1	21
9	47
3	18
6	18
0	5
0	8
3	2
0	2
0	0
0	2
2	2
173	0
0	0
0	0
4	0
0	0
33	843
72	843
0	2
4	172
0	32
0	34
2	22
0	35
0	37
1	0
0	0
0	0
0	0
2	30
0	25
0	80
0	43
0	0
0	0
0	0
1	0
0	0
0	227
0	231
0	11
13	0
1	0
0	0
69	117
2	97
5	117
0	0
0	0
0	0
0	0
0	0
3	0
18	40
1	37
3	36
20	123
0	123
0	0
41	85
0	0
0	0
1	0
14	23
0	23
4	11
0	0
2	0
67	0
0	0
0	3
0	6
8	8
0	6
0	7
0	12
0	3
6	12
0	19
5	1
0	1
0	0
1	0
390	912
76	851
60	152
5	215
0	0
0	0
19	0
14	14
0	0
0	0
0	0
7	8
19	6
2	3
2	10
10	0
6	4
7	26
17	28
23	0
0	52
0	0
0	0
0	0
0	0
0	0
1	4
5	7
5	20
40	28
0	18
85	18
0	0
170	0
0	3
9	0
1	0
50	1
19	2
0	2
102	13
1	0
4	0
2	0
2	0
16	41
0	41
0	5
16	43
0	0
0	0
1	0
0	0
9	0
10	0
3	3
0	52
0	49
0	78
0	81
5	1
2	46
321	43
4	31
4	43
0	0
0	1
0	3
127	50
0	50
0	6
117	7
7	9
0	8
0	9
0	8
0	7
24	0
4	75
4	75
0	156
0	156
252	0
0	7
16	10
212	370
0	0
25	369
0	0
0	0
3	100
13	131
8	0
0	0
50	0
0	0
6	0
144	18
3	11
0	41
2	41
305	27
81	0
31	6
0	0
29	0
0	0
6	0
0	8
0	8
0	29
0	1
0	29
0	0
0	0
0	72
134	4
18	6
0	6
0	0
35	47
0	0
0	5
11	5
2	6
1	7
2	7
1	7
13	0
0	0
0	0
3	0
0	0
0	0
14	0
0	0
0	0
0	0
3	35
3	4
2	35
0	4
1	4
0	0
0	0
0	0
0	0
0	1
0	68
42	0
13	6
3	6
0	0
1	0
47	1
39	1
13	0
0	0
0	10
3	10
1	0
0	1
0	1
0	1
0	0
0	85
10	85
0	0
0	226
0	37
0	263
0	3
0	0
0	40
0	0
0	0
3	11
10	11
33	799
94	272
2	272
12	0
30	9
0	2
11	7
33	217
0	18
1	217
0	22
0	628
0	602
25	0
0	7
0	0
3	0
12	0
0	0
1	0
13	0
0	158
0	196
4	183
0	196
0	184
32	70
1	137
0	153
0	0
0	0
11	226
0	246
2	246
4	0
144	5
71	0
8	0
0	0
0	2
1	7
0	6
0	4
16	8
0	2
15	7
2	7
26	44
11	39
0	2
146	0
14	0
0	0
3	4
0	4
0	3
0	1
0	0
1	4
6	4
0	2
8	0
13	6
0	0
0	6
0	0
0	0
3	103
0	103
0	109
0	0
14	0
2	0
0	12
1	0
0	2
1	2
0	0
2	3
0	3
3	4
53	85
2	405
0	0
10	0
0	0
0	0
52	0
1	10
0	0
0	1
0	10
0	7
0	1
0	17
0	17
0	11
0	11
3	0
0	0
4	992
0	0
3	0
0	0
2	0
0	0
5	81
2	81
5	5
2	6
29	6
0	3
6	0
245	0
75	0
0	0
0	0
13	0
7	36
8	0
4	0
0	0
0	0
0	0
2	24
17	0
3	0
1	0
1	0
0	0
1	17
19	0
0	0
0	0
1	0
0	2
0	23
3	0
0	18
0	24
3	0
0	5
17	3
0	4
0	0
0	0
0	0
3	0
0	0
3	60
0	60
0	7
2	115
4	115
0	0
3	0
16	57
0	0
3	0
0	0
0	0
11	3
2	1
0	622
3	270
57	0
8	0
0	0
2	0
1	0
0	44
27	18
0	24
4	4
0	24
2	0
0	0
0	0
0	0
0	95
0	116
0	122
0	93
0	110
0	116
5	0
1	5
1	5
28	7
5	0
9	0
0	0
1	0
0	11
4	11
0	8
1	8
5	0
0	13
176	12
0	5
0	0
0	0
0	0
1	95
2	95
0	48
0	0
10	0
14	0
385	312
9	0
0	0
8	70
0	69
0	62
5	9
3	28
1	3
11	28
1	0
0	0
0	6
0	40
0	7
0	100
12	81
5	33
0	0
0	0
0	0
0	0
0	2
0	43
0	44
6	0
0	1
0	1
0	105
1	9
3	9
0	8
0	15
10	45
8	51
3	21
39	1
0	0
0	0
0	0
0	137
1	0
0	0
1	0
35	88
3	1
0	1
0	3
1	8
0	88
4	7
1	0
0	3
0	3
0	3
0	0
27	52
156	119
0	1
4	1
8	0
17	0
0	0
0	0
0	0
0	0
25	8
0	8
0	9
0	4
0	5
6	2
41	2
0	10
0	0
0	0
15	0
1	0
25	0
0	0
9	0
1	0
34	19
0	13
0	19
17	8
0	8
0	0
0	0
2	0
0	0
0	3
0	16
0	0
0	0
2	0
398	354
0	0
7	34
31	0
11	17
0	488
0	0
0	0
0	0
24	0
0	0
0	0
0	1
0	1
5	2
0	0
1	0
1	0
167	2
21	0
9	2
0	0
13	2
0	2
0	0
0	0
0	0
0	0
9	176
2	176
3	0
1	0
0	7
1	7
0	0
0	0
909	0
5	743
221	1339
15	1466
1	1466
1	697
3	0
0	31
16	56
1	53
0	2
0	6
0	14
11	5
3	2
8	244
0	0
11	1364
0	13
16	30
18	21
12	18
6	534
0	118
2	13
2	118
27	3
5	10
0	0
6	29
1	434
0	444
0	450
0	434
0	428
0	300
15	0
11	0
2	0
2	9
0	0
9	0
57	36
8	36
25	0
0	0
3	4
45	4
3	0
3	0
32	0
0	0
10	0
0	0
3	0
0	0
0	0
10	42
5	42
0	17
0	2
0	1
0	8
3	18
3	18
5	26
0	0
5	58
24	51
1	0
0	0
1	0
0	0
10	0
7	0
0	0
0	305
67	499
0	407
71	506
0	0
331	50
164	50
85	0
0	2
0	4
0	0
0	1
0	0
0	0
2	0
0	0
0	0
0	0
19	568
2	568
4	6
0	71
0	54
0	60
1	53
126	77
0	26
15	27
1	236
6	18
10	251
2	116
7	8
43	48
72	38
0	53
50	51
28	51
0	110
3	118
3	118
62	87
0	60
5	79
25	82
160	0
0	3
0	3
0	0
147	0
0	0
0	164
26	39
1	35
0	0
0	0
58	0
1	0
0	0
36	0
0	0
0	305
0	3
2	64
4	131
16	356
0	0
0	0
0	6
0	1
3	9
0	0
1	460
4	56
37	460
2	0
0	0
0	0
0	0
34	156
34	0
2	15
5	19
2	5
3	0
10	0
0	0
21	0
0	0
5	0
0	6
0	6
0	0
2	0
4	1
0	0
116	43
0	3
30	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
7	14
0	5
0	14
1	1
1	1
1	0
0	0
5	0
1	0
4	6
0	6
0	0
5	0
1	0
0	0
0	0
3	16
0	24
0	23
3	0
0	2
3	3
32	14
44	1
4	40
0	28
0	0
24	11
20	7
2	6
0	0
0	6
1	6
0	0
8	0
463	525
1	0
1	0
0	1
8	0
0	1
0	0
4	0
2	0
1	2
2	0
0	0
2	74
2	124
37	92
38	74
0	119
36	97
14	5
0	0
1	0
0	71
0	0
19	9
1	10
50	131
2	115
0	131
1	31
5	112
0	0
0	18
2	0
0	1
6	1
0	3
0	12
7	10
2	21
2	22
0	23
0	0
0	0
0	2
6	2
7	4
0	2
0	0
7	0
0	0
11	5
5	0
0	0
0	0
1	1
0	90
37	92
1	31
9	38
9	6
0	1
4	0
0	139
8	139
0	3
0	7
0	5
0	5
0	3
9	0
2	0
9	0
0	0
1	10
10	10
0	0
0	0
0	0
0	0
0	0
10	1172
2	0
4	13
4	6
0	6
0	13
0	12
18	7
0	0
10	41
1	41
0	0
20	2
2	1
0	3
0	0
0	0
2	0
99	0
0	13
0	13
0	1
0	2
0	1
0	1
2	1
165	73
100	33
1	33
0	45
0	21
0	15
0	27
6	27
2	27
6	28
313	0
1	0
362	1
0	3
3	2
2	3
3	2
9	1
79	65
34	0
35	3
5	65
0	0
0	0
0	15
2	3
0	3
0	15
5	13
1018	17
0	9
4	9
0	0
0	0
69	12
20	0
1	0
2	0
6	22
5	8
3	11
72	2
31	2
41	0
14	0
1	12
6	12
0	68
0	56
2	39
52	67
8	68
0	56
3	0
2	1
7	3
1	3
52	0
39	21
2	21
0	0
0	0
0	1
1	1
3	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
6	0
0	112
0	95
6	0
0	0
4	0
1	0
16	6
7	6
18	0
1	0
