group	lib.size	norm.factors	eff.lib.size
bleached_male_K5_01	997934	1.01916803478022	1017062.43362037
bleached_male_K5_02	998364	0.913915601939367	912420.436014594
bleached_male_K5_03	997004	1.15973431338316	1156259.74938027
bleached_female_K5_04	996937	1.01741968392138	1014303.32742953
bleached_female_K5_05	997285	0.838085395119787	835809.993272037
bleached_female_K5_06	997356	0.583706133176702	582162.814160582
bleached_female_44_01	998028	1.37451628666782	1371805.74055051
bleached_female_44_02	997373	1.10988443720806	1106968.77079152
bleached_female_44_03	997280	1.1437892656022	1140678.15879976
non-bleached_female_K5_01	998135	0.576290051721048	575215.270774588
non-bleached_female_K5_02	997477	1.29150908677235	1288250.60934642
non-bleached_female_K5_03	996583	1.04469924599154	1041129.50866799
non-bleached_female_44_01	998180	1.25505892080711	1252774.71357124
non-bleached_female_44_02	998295	1.02191056182787	1020168.20431996
non-bleached_female_44_03	997405	1.0688737261379	1066099.99881857
