b_44_01	b_44_02	b_44_03	b_K5_01	b_K5_02	b_K5_03	b_K5_04	b_K5_05	b_K5_06	bleached_44_01	bleached_44_02	bleached_44_03	bleached_K5_01	bleached_K5_02	bleached_K5_03	bleached_K5_04	bleached_K5_05	bleached_K5_06	nb_44_04	nb_44_05	nb_44_06	nb_K5_07	nb_K5_08	nbK5_09	non-bleached_44_01	non-bleached_44_02	non-bleached_44_03	non-bleached_K5_01	non-bleached_K5_02	non-bleached_K5_03
TRINITY_DN178486_c5_g5_i2	-2.19172784120053	-1.50497153842721	-1.0481706833785	-1.25811523853443	0.154180198975651	9.44664890703599	2.02506064204309	0.0528651596584107	-0.928754995608294	-2.19000522005152	-1.50543053255831	-1.0481706833785	-1.25863099331368	0.150785734942463	9.44650422650544	2.02621228305901	0.0518775997410135	-0.929576049932732	-0.240179006647145	-1.82628786820803	0.679076668300405	-1.36692575526973	-0.745270570471213	-1.24553650101944	-0.239988035035126	-1.82647901693847	0.678942010030244	-1.36650877129624	-0.745632012297202	-1.24579211672544
TRINITY_DN170041_c0_g6_i1	-1.41813241442926	8.92749570646604	-0.701799934141277	-0.482295540745239	-1.41813241442926	-1.41813241442926	0.331616364435232	0.375139240068819	-1.41813241442926	-1.41813241442926	8.92715417378147	-0.701799934141277	-0.482295540745239	-1.41813241442926	-1.41813241442926	0.332474090406329	0.374306515635374	-1.41813241442926	-0.5220543590322	0.327320068702433	-0.553401492114513	-1.41813241442926	0.0714105212132095	-0.682610237132727	-0.5220543590322	0.327320068702433	-0.553401492114513	-1.41813241442926	0.0714105212132095	-0.682610237132727
TRINITY_DN197499_c3_g1_i5	5.56959849914422	5.91065868108136	-2.11425933711795	-2.11425933711795	5.87562898658687	5.9017967706185	-2.11425933711795	-2.11425933711795	-2.11425933711795	5.57108517032686	5.91044818268959	-2.11425933711795	-2.11425933711795	5.87243601312583	5.9020531130216	-2.11425933711795	-2.11425933711795	-2.11425933711795	-2.11425933711795	-2.11425933711795	-2.11425933711795	-2.11425933711795	-2.11425933711795	-2.11425933711795	-2.11425933711795	-2.11425933711795	-2.11425933711795	-2.11425933711795	-2.11425933711795	-2.11425933711795
TRINITY_DN188733_c0_g3_i4	0.0246750373664177	-1.8035172658309	0.416357575071708	-1.05704085528361	-1.45294577357572	-1.88932441950117	-0.395169135506218	-3.7333082635495	-3.7333082635495	0.0261671866256497	-1.8035172658309	0.416520132259586	-1.05726657616976	-1.45562100981525	-1.88892261054693	-0.394456024404314	-3.7333082635495	-3.7333082635495	-1.91814274946192	5.02914686321372	1.32453187353095	5.45927059542505	3.9659587884107	-0.237229456450122	-1.91814274946192	5.02894752343868	1.32435861325021	5.45969709094393	3.96574358046735	-0.236845913967233
TRINITY_DN198377_c9_g1_i2	-0.699638715571361	-0.702521224104482	-0.702521224104482	-0.702521224104482	-0.693890918961042	-0.702521224104482	-0.702521224104482	-0.702521224104482	-0.702521224104482	-0.699638715571361	-0.702521224104482	-0.702521224104482	-0.702521224104482	-0.692457540759784	-0.702521224104482	-0.702521224104482	-0.702521224104482	-0.702521224104482	-0.702521224104482	1.97058287348569	2.18051301155067	-0.702521224104482	2.55599770060682	1.01029463033289	-0.702521224104482	1.96786593286935	2.17992619232725	-0.702521224104482	2.55509290594506	1.01073467762649
TRINITY_DN176376_c4_g1_i1	-2.00715753480931	-1.41835296779376	-1.26041481903158	-1.02165710450443	-2.00715753480931	9.43316870367116	-0.0271322345705776	-1.27076913410585	8.27869198888612	-2.00715753480931	-1.41835296779376	-1.26041481903158	-1.02165710450443	-2.00715753480931	9.43335714295402	-0.026401015578295	-1.27163535751277	8.27743872303766	-1.06080096317568	-2.00715753480931	-2.00715753480931	-1.01947285724255	-1.03925116451916	-1.56567405522667	-1.06080096317568	-2.00715753480931	-2.00715753480931	-1.01874550908452	-1.03925116451916	-1.56461207870401
TRINITY_DN193341_c1_g1_i3	-1.20726230349228	-1.20726230349228	-1.20726230349228	-1.20726230349228	-1.20726230349228	-1.20726230349228	-1.20726230349228	-1.20726230349228	-1.20726230349228	-1.20726230349228	-1.20726230349228	-1.20726230349228	-1.20726230349228	-1.20726230349228	-1.20726230349228	-1.20726230349228	-1.20726230349228	-1.20726230349228	3.73736191956276	-1.20726230349228	4.67332527580724	-1.20726230349228	6.07647430613256	-1.20726230349228	3.73759614231526	-1.20726230349228	4.67327630033271	-1.20726230349228	6.0762613396641	-1.20726230349228
TRINITY_DN177632_c1_g1_i4	-1.23174522946746	-1.47995667651706	-1.35992143897757	10.7092621731909	-0.451112497586242	-0.452170579805204	-1.01299138519436	-1.36290324170812	-0.429070165673863	-1.23083701726189	-1.47995667651706	-1.35992143897757	10.709063217791	-0.453229438598343	-0.45164144169515	-1.01221091720622	-1.36389854705348	-0.430112198973689	-0.542248889012945	0.148931187448223	-0.78325698851674	-1.48536205953915	-0.851417753184966	0.584924111865778	-0.541685666268767	0.148582246815034	-0.78325698851674	-1.48536205953915	-0.851417753184966	0.584924111865778
TRINITY_DN169918_c4_g1_i12	-0.78418813413434	-1.03703138072679	7.35796713377489	-1.21560503467288	-0.410251932686975	-1.8754164223946	-1.055110075076	-0.466433777422444	-1.61051438456222	-0.782766409416287	-1.03720088023246	7.3583250754627	-1.21570094897939	-0.413328628406901	-1.87511339886043	-1.0547668622658	-0.46774679755306	-1.61177603312613	-0.104916556456724	-0.976944978407751	5.22972544396193	-1.78255327149835	0.053857061225103	-1.32113388258572	-0.104650097973994	-0.977026268450928	5.22969792859564	-1.78212709010363	0.0536581209414289	-1.32092751796787
TRINITY_DN182612_c4_g2_i5	2.45859089760342	1.9589857445867	4.14326928494397	-1.76051897667242	-1.3369248358231	-0.17578345755036	0.522463176726244	-0.317553306375404	-0.912831026071107	2.46009818538581	1.95882636242259	4.14364642741892	-1.76063246300804	-1.33997394732718	-0.175405174722432	0.523302359517267	-0.318910488602516	-0.914218991233351	0.608378008766437	0.664755770935871	-0.640013682111928	-1.84372897593225	-0.118847831971741	-3.24908130834705	0.608707511563614	0.664702951470144	-0.640065877080943	-1.84324817774713	-0.119066063920861	-3.24892209684317
