b_44_01	b_44_02	b_44_03	b_K5_01	b_K5_02	b_K5_03	b_K5_04	b_K5_05	b_K5_06	bleached_44_01	bleached_44_02	bleached_44_03	bleached_K5_01	bleached_K5_02	bleached_K5_03	bleached_K5_04	bleached_K5_05	bleached_K5_06	nb_44_04	nb_44_05	nb_44_06	nb_K5_07	nb_K5_08	nbK5_09	non-bleached_44_01	non-bleached_44_02	non-bleached_44_03	non-bleached_K5_01	non-bleached_K5_02	non-bleached_K5_03
b_44_01	1	0.593149397728975	0.250834731823219	-0.257277954698597	0.194970765536634	-0.045791673063436	-0.300289333305833	-0.32754575382434	-0.401508055325173	0.999999947657512	0.593151956149727	0.250853239344565	-0.257268221627038	0.195027167685504	-0.0457838389556258	-0.300311405301747	-0.32748218682835	-0.401552159530339	0.0990845450224583	0.243287846791897	0.023654347204419	-0.287308131391982	-0.215308474188311	-0.399803477092423	0.0990794508816953	0.245137876698263	0.0236713809714562	-0.287324820999084	-0.215331469277693	-0.399811963161144
b_44_02	0.593149397728975	1	0.012138706392249	-0.192770116587072	0.269643421829089	0.101046019255395	-0.171757922561798	-0.105001638184072	-0.314929171318386	0.593115764124289	0.9999999994442	0.0121301380857007	-0.192750631800555	0.269733090473005	0.101051247926398	-0.171705797032423	-0.10500744138115	-0.314975680346119	-0.00159649234707131	0.0770944825751056	-0.153308004641991	-0.311901942152998	-0.262571877233131	-0.3320331328284	-0.00160806440871479	0.0767082111514272	-0.153307584303362	-0.311908727957591	-0.262514999547533	-0.332040713118106
b_44_03	0.250834731823219	0.012138706392249	1	-0.241699000700502	-0.197518365033752	-0.230089390774438	-0.214805805832219	-0.071659020088028	-0.337984446831015	0.250938238959705	0.012136296310906	0.999999986535895	-0.241695719628862	-0.197655621914687	-0.230079202311173	-0.214789049046909	-0.0717849124223311	-0.338068320565431	0.0239926017652545	0.146261959590761	0.364704588819717	-0.239384931733284	-0.0844732832704021	-0.298259782539887	0.0240033957279909	0.148796850935878	0.364735568602589	-0.239382866578485	-0.0846202550052459	-0.298243886413374
b_K5_01	-0.257277954698597	-0.192770116587072	-0.241699000700502	1	0.124650918772571	-0.0183680328852461	0.331652679143414	0.121654285731186	0.176193737253307	-0.257245856015118	-0.192767819842362	-0.241691366658412	0.999999997538917	0.124559961608548	-0.0183450044349348	0.331692072199721	0.121589785302648	0.176288294000526	-0.155478202600815	-0.0752024252945726	-0.265669993595573	-0.0809337309946738	-0.257671031608646	0.112523970858411	-0.155451979081889	-0.0754280667700921	-0.265664842753223	-0.0809427537858146	-0.257589565154132	0.112513886330644
b_K5_02	0.194970765536634	0.269643421829089	-0.197518365033752	0.124650918772571	1	0.410607555882721	-0.0109759322697632	0.168687967064913	0.143960767831221	0.194992234507964	0.269641945945648	-0.197505253148136	0.124638488016634	0.999999872672718	0.410618722038614	-0.0109083932322619	0.168632777498437	0.144063698569781	-0.28229185619812	-0.288080164003178	-0.417183000589128	-0.302063974986453	-0.477775106493466	0.0461908394802645	-0.282303613175827	-0.288410144394064	-0.417197954663303	-0.302061467823584	-0.47753386148818	0.0461845832735859
b_K5_03	-0.045791673063436	0.101046019255395	-0.230089390774438	-0.0183680328852461	0.410607555882721	1	0.206094133228874	0.312805505073571	0.282547899600659	-0.0457338766865701	0.101031965576497	-0.230089820906487	-0.0183810816804342	0.41054558470001	0.999999998740626	0.206172540415826	0.312682614490733	0.282607467443032	-0.257495664786602	-0.395492481051146	-0.39829016984911	-0.208476559550216	-0.31838295016255	-0.270971875986248	-0.257502170327904	-0.395974775948536	-0.398298025699221	-0.208446863177337	-0.318328546165229	-0.270950898144131
b_K5_04	-0.300289333305833	-0.171757922561798	-0.214805805832219	0.331652679143414	-0.0109759322697632	0.206094133228874	1	0.278529488559805	0.308745304160291	-0.300263578897108	-0.171766218947899	-0.214801013698497	0.331643606374177	-0.0110883957132648	0.20609417777755	0.999999981825379	0.27852262975522	0.308951987109493	-0.208386830146249	-0.224928160545655	-0.29151220424639	0.0101210490999387	-0.289353871771883	-0.042236170676787	-0.20838472305547	-0.225088311592093	-0.291509527456253	0.0101291765169269	-0.289268671289079	-0.0422424180214979
b_K5_05	-0.32754575382434	-0.105001638184072	-0.071659020088028	0.121654285731186	0.168687967064913	0.312805505073571	0.278529488559805	1	0.216321638793955	-0.327545649254315	-0.105006321603879	-0.0716575188130164	0.121640791612358	0.168682185661977	0.312802424046596	0.278521777030201	0.999999915509611	0.216528501156156	-0.135591183526803	-0.40748584493094	-0.158930976796658	-0.129026296872055	-0.209558754647809	-0.0856709926018743	-0.135591870357911	-0.407521476556702	-0.158920704172903	-0.129017436490596	-0.2095552684987	-0.0856828220130592
b_K5_06	-0.401508055325173	-0.314929171318386	-0.337984446831015	0.176193737253307	0.143960767831221	0.282547899600659	0.308745304160291	0.216321638793955	1	-0.401530225090888	-0.314927559932684	-0.337978017700919	0.176179697703209	0.14396860427973	0.282540310652812	0.308772136036754	0.216273730404889	0.999999914127332	-0.279425171122875	-0.439452610065468	-0.39432191133782	0.00959695390003932	-0.342448213684069	0.408011164942701	-0.279430129678484	-0.439848744484877	-0.39431334845066	0.00962403207443778	-0.34235463846708	0.408044226953211
bleached_44_01	0.999999947657512	0.593115764124289	0.250938238959705	-0.257245856015118	0.194992234507964	-0.0457338766865701	-0.300263578897108	-0.327545649254315	-0.401530225090888	1	0.593118316251154	0.250956741876963	-0.257236128370947	0.195048552913046	-0.0457260399546615	-0.300285619900203	-0.327482136895917	-0.401574348807622	0.0991232348702266	0.243318158679757	0.0236327682026018	-0.287392263485745	-0.215392611152685	-0.399837376162254	0.0991181388381135	0.245168411894965	0.0236498107453262	-0.2874089498622	-0.215415656877602	-0.399845862392972
