b_F_K5_04	b_F_K5_05	b_F_K5_06	nb_F_K5_07	nb_F_K5_08	nb_F_K5_09
TRINITY_DN182381_c1_g3_i8	4.8332084234903	3.22140044665221	0.702666924996672	-2.91909193171306	-2.91909193171306	-2.91909193171306
TRINITY_DN177851_c1_g1_i3	-2.8485453775268	-2.71829466012893	-2.83677461567837	4.06729974318986	2.0291881522819	2.30712675786233
TRINITY_DN189706_c3_g1_i1	-3.52466656009853	-3.8754298153038	-4.54898623929395	4.14650307111653	3.68885468783938	4.11372485574038
TRINITY_DN189706_c3_g1_i2	3.08499691439843	3.33343954450273	3.21573298040566	-5.50078813880454	-2.87061567952346	-1.26276562097882
TRINITY_DN186597_c6_g1_i8	0.960092999409259	7.68613310928305	-2.16047504654265	-2.16191702071655	-2.16191702071655	-2.16191702071655
TRINITY_DN199020_c0_g1_i2	4.27866210501004	-1.95242464194658	3.53103646277626	-1.95242464194658	-1.95242464194658	-1.95242464194658
TRINITY_DN196483_c4_g1_i6	5.2937824213131	-2.30750553120942	3.93623970352457	-2.30750553120942	-2.30750553120942	-2.30750553120942
TRINITY_DN197729_c2_g2_i3	-2.48216484946034	-2.48216484946034	-2.48216484946034	4.95798175180338	4.97067764603799	-2.48216484946034
TRINITY_DN178404_c2_g1_i4	3.85887459847761	3.51647267450795	4.69105870289616	-4.02213532529391	-4.02213532529391	-4.02213532529391
TRINITY_DN168408_c3_g2_i3	-2.29278585177138	-2.29278585177138	-2.29278585177138	-0.364131281871209	6.91962298416445	0.322865853020912
TRINITY_DN186583_c0_g1_i2	3.75661873432033	2.72183533562659	2.43227810535757	-3.18930494514431	-2.53212228501588	-3.18930494514431
TRINITY_DN184011_c5_g1_i3	-2.92432431101002	-2.92432431101002	-2.92432431101002	6.08403427562081	5.61326296841925	-2.92432431101002
TRINITY_DN191018_c2_g2_i2	-2.68315343595181	-2.68315343595181	-2.68315343595181	2.87238666686402	2.75450709982439	2.42256654116703
TRINITY_DN182388_c0_g4_i6	-3.4207583952157	-3.4207583952157	-3.4207583952157	3.26634429644443	3.62071459021171	3.37521629899097
TRINITY_DN183996_c0_g2_i2	2.73977877663981	3.91925792362663	2.52843930713318	-3.06249200246654	-3.06249200246654	-3.06249200246654
TRINITY_DN193590_c3_g1_i5	-2.91729927588496	-2.92162088183505	-2.65378548973744	-1.00247151854738	4.83166273462583	4.663514431379
TRINITY_DN161045_c0_g1_i1	-3.67779513833376	-4.46940086303831	-4.46940086303831	6.1246493601121	2.90668978824154	3.58525771605675
