bleached_44_02	bleached_K5_03	bleached_K5_01	non-bleached_K5_01	non-bleached_44_03	bleached_K5_05	bleached_K5_02	non-bleached_44_02	non-bleached_44_01	bleached_44_03	bleached_K5_04	non-bleached_K5_02	non-bleached_K5_03	bleached_K5_06	bleached_44_01
TRINITY_DN199099_c3_g1_i1	-1.1546738653076	-1.1546738653076	-1.1546738653076	-1.1546738653076	4.57935827425733	-1.1546738653076	-1.1546738653076	-1.1546738653076	4.90664871911971	-1.1546738653076	-1.1546738653076	4.37007939031413	-1.1546738653076	-1.1546738653076	-1.1546738653076
TRINITY_DN174713_c1_g2_i6	-0.966633457678101	-1.46845472309901	-0.591103096649749	5.61048594743504	-0.318545055564087	-0.792187314833122	0.165673834426029	-0.741623506066519	-1.46845472309901	-1.08994309984528	-1.46845472309901	-1.46845472309901	6.70841155113326	-0.64226218686241	-1.46845472309901
TRINITY_DN132627_c0_g1_i3	-1.1020127627518	-1.1020127627518	-0.109969486580148	6.13932216032561	-1.1020127627518	-1.1020127627518	-1.1020127627518	1.17209977503197	-1.1020127627518	-1.1020127627518	-1.1020127627518	-1.1020127627518	4.92068794149242	-1.1020127627518	-1.1020127627518
TRINITY_DN176580_c0_g1_i6	-1.43147109146542	-1.43147109146542	-0.930669038408258	2.97540566856498	1.99170366010539	-1.43147109146542	-1.43147109146542	3.38870787094977	2.4182279921753	-1.43147109146542	-1.43147109146542	2.35481160697359	-1.41997545262759	-0.757914667475271	-1.43147109146542
TRINITY_DN198392_c1_g2_i3	-1.24419663671712	-1.24419663671712	-1.24419663671712	4.8119316426074	-1.24419663671712	-1.24419663671712	-1.24419663671712	0.462444420592284	6.02463071646348	-1.22271690930667	-1.24419663671712	2.36567649681476	-1.24419663671712	-1.24419663671712	-1.24419663671712
TRINITY_DN188733_c0_g3_i4	-1.80386762103972	-1.8880909736009	-1.05656116482254	5.45950358500551	1.32334696898568	-3.73327990894097	-1.45470035848255	5.02915196293434	-1.9181143948534	0.416467210563708	-0.39442766979579	3.96566779067402	-0.236945395523863	-3.73327990894097	0.0251298778374482
TRINITY_DN198377_c9_g1_i2	-0.702555985395869	-0.702555985395869	-0.702555985395869	-0.702555985395869	2.17930437302537	-0.702555985395869	-0.692492302051171	1.96919028146735	-0.702555985395869	-0.702555985395869	-0.702555985395869	2.55641512394251	1.0102598690415	-0.702555985395869	-0.699673476862747
TRINITY_DN193341_c1_g1_i3	-1.20716530039124	-1.20716530039124	-1.20716530039124	-1.20716530039124	4.67222190090667	-1.20716530039124	-1.20716530039124	-1.20716530039124	3.73745892266379	-1.20716530039124	-1.20716530039124	6.07630278112447	-1.20716530039124	-1.20716530039124	-1.20716530039124
TRINITY_DN197499_c3_g1_i5	5.91004463604747	5.90252726898777	-2.11419746251234	-2.11419746251234	-2.11419746251234	-2.11419746251234	5.87344174361668	-2.11419746251234	-2.11419746251234	-2.11419746251234	-2.11419746251234	-2.11419746251234	-2.11419746251234	-2.11419746251234	5.5701584389838
TRINITY_DN197815_c5_g1_i3	5.54255105144088	5.07830477818702	-1.53552872410662	-2.09003658237843	-2.53132308472705	-1.36982165786974	4.95655834076832	-0.187466577631505	-0.864927731994506	1.48102060434587	-2.41291663707657	-2.80356111114533	-1.42576990488841	-1.73053618067597	-0.106546582247938
TRINITY_DN196282_c2_g1_i4	-1.18436656036726	-1.18436656036726	-1.18436656036726	4.56613275660537	4.84274324686625	-1.18436656036726	-1.18436656036726	-1.18436656036726	-1.18436656036726	-1.18436656036726	-1.18436656036726	4.80352272093552	-1.18436656036726	-1.18436656036726	-1.18436656036726
TRINITY_DN174963_c1_g2_i2	-0.843844437938393	-0.843844437938393	-0.843844437938393	9.75042604057765	-0.843844437938393	-0.843844437938393	-0.843844437938393	0.556146912725789	-0.843844437938393	-0.50927616227226	-0.843844437938393	-0.515007973708853	-0.843844437938393	-0.843844437938393	-0.843844437938393
TRINITY_DN182381_c1_g3_i8	-2.53196143994948	4.82882420495824	3.72736754839844	-2.53196143994948	-2.53196143994948	3.82840283659399	3.73165518622883	-2.53196143994948	-2.53196143994948	-2.53196143994948	5.42315952773215	-2.53196143994948	-2.53196143994948	1.24824365563369	-2.53196143994948
TRINITY_DN176376_c4_g1_i1	-1.41858241302762	9.43356677476119	-1.02115809981577	-1.01897495431838	-2.00738698004317	-1.27186480274663	-2.00738698004317	-2.00738698004317	-1.06177927686179	-1.26064426426543	-0.0266304608121488	-1.03948060975302	-1.56484152393786	8.27993755095011	-2.00738698004317
TRINITY_DN191468_c1_g2_i5	-1.07753263941027	-1.07753263941027	-1.07753263941027	-1.07753263941027	-1.07753263941027	-1.07753263941027	-1.07753263941027	3.86338580838844	4.22993231701494	-1.07753263941027	-1.07753263941027	3.9526709945362	-0.193130086426585	-1.07753263941027	-1.07753263941027
TRINITY_DN172328_c2_g4_i7	-1.06854734449489	-0.498084413468852	-1.06854734449489	-0.430705284170789	9.73500341586507	0.25683907016488	-1.06854734449489	-1.06854734449489	-0.460684441663658	-1.06854734449489	-1.06854734449489	-0.622820641144909	-1.06854734449489	0.568831050377401	-1.06854734449489
TRINITY_DN157861_c0_g1_i1	-1.75449083653466	-1.75449083653466	-1.75449083653466	-1.75449083653466	8.55530835383169	-1.75449083653466	-1.75449083653466	-1.75449083653466	-1.75449083653466	-1.75449083653466	-1.75449083653466	5.98111934030927	6.51746234427497	-1.75449083653466	-1.75449083653466
