bleached_44_02	bleached_K5_03	bleached_K5_01	non-bleached_K5_01	non-bleached_44_03	bleached_K5_05	bleached_K5_02	non-bleached_44_02	non-bleached_44_01	bleached_44_03	bleached_K5_04	non-bleached_K5_02	non-bleached_K5_03	bleached_K5_06	bleached_44_01
bleached_44_02	1	0.475254790247577	-0.405677520623503	-0.291236279685011	-0.340990873735271	-0.254931380755452	0.790071963042122	-0.184670040883661	-0.193392252167878	0.326949087463344	-0.438270768150967	-0.451598313049559	-0.217237865483658	-0.221890125955353	0.788163245939045
bleached_K5_03	0.475254790247577	1	0.175067782183592	-0.48118911813767	-0.514882784147128	0.23731126318749	0.57949705772989	-0.481086971953836	-0.362628286210998	-0.0728755286087644	0.288259009381616	-0.629912295206609	-0.411922899604791	0.650429124291561	0.269717359637554
bleached_K5_01	-0.405677520623503	0.175067782183592	1	-0.0561727027072412	-0.291762783794583	0.848789190300912	0.203562505441849	-0.153718030501814	-0.243922800307765	-0.362435453622588	0.944068352491539	-0.349616864994826	-0.102785693016572	0.230838135652489	-0.434519893075789
non-bleached_K5_01	-0.291236279685011	-0.48118911813767	-0.0561727027072412	1	-0.151358685372566	-0.266379721915329	-0.387870300293209	0.386975009688286	-0.0473888305584783	0.215889584516761	-0.161488568616098	-0.0257713277003147	0.251781378246886	-0.230542731525462	-0.132469837942064
non-bleached_44_03	-0.340990873735271	-0.514882784147128	-0.291762783794583	-0.151358685372566	1	-0.0973628600367206	-0.48155800300608	-0.135713818937728	0.079194225271606	-0.121119947594343	-0.242828582418271	0.593049845177943	0.200256430416784	-0.1767757039538	-0.21900033891608
bleached_K5_05	-0.254931380755452	0.23731126318749	0.848789190300912	-0.266379721915329	-0.0973628600367206	1	0.271703006936247	-0.448746281548286	-0.12247475888701	-0.462788301026156	0.787178432314151	-0.397435119478552	-0.172039574468391	0.339179378156401	-0.405345396746421
bleached_K5_02	0.790071963042122	0.57949705772989	0.203562505441849	-0.387870300293209	-0.48155800300608	0.271703006936247	1	-0.345920574110612	-0.365742142501199	0.0271218785746375	0.160142471159898	-0.6324978111069	-0.279013691124704	-0.159814752706568	0.601738995376853
non-bleached_44_02	-0.184670040883661	-0.481086971953836	-0.153718030501814	0.386975009688286	-0.135713818937728	-0.448746281548286	-0.345920574110612	1	0.229343786648728	0.44492253355544	-0.194851196105706	0.277166442878067	0.0260050799650271	-0.396392185781009	-0.0392605934934451
non-bleached_44_01	-0.193392252167878	-0.362628286210998	-0.243922800307765	-0.0473888305584783	0.079194225271606	-0.12247475888701	-0.365742142501199	0.229343786648728	1	-0.0310974953569588	-0.242056411254439	0.483725635932323	-0.258213768471682	-0.11246909960624	-0.196626094854277
bleached_44_03	0.326949087463344	-0.0728755286087644	-0.362435453622588	0.215889584516761	-0.121119947594343	-0.462788301026156	0.0271218785746375	0.44492253355544	-0.0310974953569588	1	-0.41652763260007	-0.0556045151540568	-0.0390113304534506	-0.259828374297614	0.00830863664189609
bleached_K5_04	-0.438270768150967	0.288259009381616	0.944068352491539	-0.161488568616098	-0.242828582418271	0.787178432314151	0.160142471159898	-0.194851196105706	-0.242056411254439	-0.41652763260007	1	-0.2474617158517	-0.261282236279857	0.338056084797349	-0.382471473942564
non-bleached_K5_02	-0.451598313049559	-0.629912295206609	-0.349616864994826	-0.0257713277003147	0.593049845177943	-0.397435119478552	-0.6324978111069	0.277166442878067	0.483725635932323	-0.0556045151540568	-0.2474617158517	1	0.0938237919000341	-0.333296657621833	-0.235822798362861
non-bleached_K5_03	-0.217237865483658	-0.411922899604791	-0.102785693016572	0.251781378246886	0.200256430416784	-0.172039574468391	-0.279013691124704	0.0260050799650271	-0.258213768471682	-0.0390113304534506	-0.261282236279857	0.0938237919000341	1	-0.182758202170109	-0.211768177559109
bleached_K5_06	-0.221890125955353	0.650429124291561	0.230838135652489	-0.230542731525462	-0.1767757039538	0.339179378156401	-0.159814752706568	-0.396392185781009	-0.11246909960624	-0.259828374297614	0.338056084797349	-0.333296657621833	-0.182758202170109	1	-0.354362328350652
bleached_44_01	0.788163245939045	0.269717359637554	-0.434519893075789	-0.132469837942064	-0.21900033891608	-0.405345396746421	0.601738995376853	-0.0392605934934451	-0.196626094854277	0.00830863664189609	-0.382471473942564	-0.235822798362861	-0.211768177559109	-0.354362328350652	1
