#gene_id	length
TRINITY_DN49344_c0_g1	226
TRINITY_DN18357_c0_g1	295
TRINITY_DN99252_c0_g1	390
TRINITY_DN84814_c0_g1	307
TRINITY_DN83066_c0_g1	441
TRINITY_DN35905_c0_g1	308
TRINITY_DN53651_c0_g1	279
TRINITY_DN18681_c0_g1	358
TRINITY_DN73538_c0_g1	276
TRINITY_DN73543_c0_g1	229
TRINITY_DN81626_c0_g1	398
TRINITY_DN72922_c0_g1	267
TRINITY_DN97906_c0_g1	304
TRINITY_DN90344_c0_g1	259
TRINITY_DN78893_c0_g1	339
TRINITY_DN53761_c0_g1	248
TRINITY_DN79160_c0_g1	421
TRINITY_DN74323_c1_g1	215
TRINITY_DN38579_c0_g1	448
TRINITY_DN81506_c0_g1	344
TRINITY_DN93935_c0_g1	294
TRINITY_DN83391_c0_g1	590
TRINITY_DN48428_c0_g1	968
TRINITY_DN48449_c0_g1	392
TRINITY_DN29636_c0_g1	252
TRINITY_DN53102_c0_g1	289
TRINITY_DN39413_c0_g2	725
TRINITY_DN94498_c0_g1	224
TRINITY_DN13676_c0_g1	582
TRINITY_DN78092_c0_g1	502
TRINITY_DN78078_c0_g1	572
TRINITY_DN58618_c0_g1	249
TRINITY_DN98402_c0_g1	360
TRINITY_DN35073_c0_g1	465
TRINITY_DN35095_c0_g1	856
TRINITY_DN44559_c0_g1	322
TRINITY_DN77916_c0_g1	1134
TRINITY_DN77986_c0_g1	246
TRINITY_DN33218_c0_g1	407
TRINITY_DN67352_c0_g1	237
TRINITY_DN67390_c0_g1	366
TRINITY_DN80870_c0_g1	541
TRINITY_DN98062_c0_g1	209
TRINITY_DN73314_c0_g1	263
TRINITY_DN61646_c0_g1	562
TRINITY_DN77384_c0_g1	428
TRINITY_DN94299_c0_g1	512
TRINITY_DN92921_c0_g1	293
TRINITY_DN98847_c0_g1	320
TRINITY_DN62319_c0_g1	214
TRINITY_DN90404_c0_g1	248
TRINITY_DN47060_c0_g1	743
TRINITY_DN29791_c0_g1	330
TRINITY_DN85726_c1_g1	205
TRINITY_DN94307_c0_g1	345
TRINITY_DN94391_c0_g1	457
TRINITY_DN87678_c0_g1	354
TRINITY_DN87627_c0_g1	255
TRINITY_DN79273_c0_g2	253
TRINITY_DN61265_c0_g1	344
TRINITY_DN70858_c0_g1	1097
TRINITY_DN70815_c0_g1	215
TRINITY_DN16973_c0_g1	207
TRINITY_DN48905_c0_g1	208
TRINITY_DN45888_c0_g1	284
TRINITY_DN66802_c0_g1	350
TRINITY_DN55774_c0_g1	274
TRINITY_DN31967_c0_g1	357
TRINITY_DN29823_c0_g1	234
TRINITY_DN63756_c0_g1	491
TRINITY_DN34428_c0_g1	254
TRINITY_DN91458_c0_g1	214
TRINITY_DN68402_c0_g1	251
TRINITY_DN69122_c0_g1	213
TRINITY_DN95942_c0_g1	333
TRINITY_DN95926_c0_g1	233
