TRINITY_DN132627_c0_g1_i3.p1	B3EWZ3
TRINITY_DN157861_c0_g1_i1.p1	A8QZJ5
TRINITY_DN172328_c2_g4_i7.p1	B3EWY9
TRINITY_DN174713_c1_g2_i6.p1	G8HTB6
TRINITY_DN174963_c1_g2_i2.p1	G8HTB6
TRINITY_DN176580_c0_g1_i6.p1	G8HTB6
TRINITY_DN188733_c0_g3_i4.p1	A7SE05
TRINITY_DN191468_c1_g2_i5.p1	B8VIW9
TRINITY_DN193341_c1_g1_i3.p1	Q25189
TRINITY_DN196282_c2_g1_i4.p1	A7SNN5
TRINITY_DN198377_c9_g1_i2.p1	B8V7R6
TRINITY_DN198392_c1_g2_i3.p1	Q86PM4
TRINITY_DN199099_c3_g1_i1.p1	A7SFP1
