A7RFT2	TRINITY_DN167020_c0_g1_i1.p1	A7RFT2	CD123_NEMVE	reviewed	Cell division cycle protein 123 homolog	cdc123 v1g233898	329	cell cycle [GO:0007049]; cell division [GO:0051301]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; cell cycle [GO:0007049]; cell division [GO:0051301]		GO:0005737; GO:0007049; GO:0051301	v1g233898	
A7RL75	TRINITY_DN178404_c2_g1_i2.p1	A7RL75	TTC36_NEMVE	reviewed	Tetratricopeptide repeat protein 36 homolog (TPR repeat protein 36 homolog)	ttc36 v1g239069	181	cilium assembly [GO:0060271]		cilium assembly [GO:0060271]		GO:0060271	v1g239069	
A7RUD5	TRINITY_DN186864_c1_g1_i6.p1	A7RUD5	NUBP1_NEMVE	reviewed	Cytosolic Fe-S cluster assembly factor NUBP1 homolog	v1g236650	318	iron-sulfur cluster assembly [GO:0016226]	cytosol [GO:0005829]	cytosol [GO:0005829]; 4 iron, 4 sulfur cluster binding [GO:0051539]; ATP binding [GO:0005524]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; iron-sulfur cluster assembly [GO:0016226]	4 iron, 4 sulfur cluster binding [GO:0051539]; ATP binding [GO:0005524]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]	GO:0005524; GO:0005829; GO:0016226; GO:0046872; GO:0051536; GO:0051539	v1g236650	
A7SKE9	TRINITY_DN193590_c3_g1_i5.p1	A7SKE9	EIF3G_NEMVE	reviewed	Eukaryotic translation initiation factor 3 subunit G (eIF3g) (Eukaryotic translation initiation factor 3 RNA-binding subunit) (eIF-3 RNA-binding subunit) (Eukaryotic translation initiation factor 3 subunit 4)	v1g171563	294	formation of cytoplasmic translation initiation complex [GO:0001732]	eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex [GO:0005852]	eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex [GO:0005852]; translation initiation factor activity [GO:0003743]; formation of cytoplasmic translation initiation complex [GO:0001732]	translation initiation factor activity [GO:0003743]	GO:0001732; GO:0003743; GO:0005852; GO:0016282; GO:0033290	v1g171563	
A7SKE9	TRINITY_DN193830_c1_g1_i1.p1	A7SKE9	EIF3G_NEMVE	reviewed	Eukaryotic translation initiation factor 3 subunit G (eIF3g) (Eukaryotic translation initiation factor 3 RNA-binding subunit) (eIF-3 RNA-binding subunit) (Eukaryotic translation initiation factor 3 subunit 4)	v1g171563	294	formation of cytoplasmic translation initiation complex [GO:0001732]	eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex [GO:0005852]	eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex [GO:0005852]; translation initiation factor activity [GO:0003743]; formation of cytoplasmic translation initiation complex [GO:0001732]	translation initiation factor activity [GO:0003743]	GO:0001732; GO:0003743; GO:0005852; GO:0016282; GO:0033290	v1g171563	
A7SNN5	TRINITY_DN184011_c5_g1_i3.p1	A7SNN5	PLK4_NEMVE	reviewed	Serine/threonine-protein kinase PLK4 (EC 2.7.11.21) (Polo-like kinase 4) (PLK-4)	v1g246408	978	centriole replication [GO:0007099]	centriole [GO:0005814]	centriole [GO:0005814]; ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; centriole replication [GO:0007099]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524; GO:0005814; GO:0007099	v1g246408	A7SNN5
A8QZJ5	TRINITY_DN155268_c4_g3_i1.p1	A8QZJ5	MCTX1_MILDI	reviewed	Millepora cytotoxin-1 (MCTx-1)		222		extracellular region [GO:0005576]; nematocyst [GO:0042151]	extracellular region [GO:0005576]; nematocyst [GO:0042151]		GO:0005576; GO:0042151		
A8QZJ5	TRINITY_DN155268_c4_g3_i7.p1	A8QZJ5	MCTX1_MILDI	reviewed	Millepora cytotoxin-1 (MCTx-1)		222		extracellular region [GO:0005576]; nematocyst [GO:0042151]	extracellular region [GO:0005576]; nematocyst [GO:0042151]		GO:0005576; GO:0042151		
B3EWY9	TRINITY_DN194106_c1_g1_i10.p1	B3EWY9	MLP_ACRMI	reviewed	Mucin-like protein (Fragment)		1594	cell-matrix adhesion [GO:0007160]; epithelial structure maintenance [GO:0010669]; regulation of signaling receptor activity [GO:0010469]	integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; ErbB-2 class receptor binding [GO:0005176]; extracellular matrix constituent, lubricant activity [GO:0030197]; cell-matrix adhesion [GO:0007160]; epithelial structure maintenance [GO:0010669]; regulation of signaling receptor activity [GO:0010469]	calcium ion binding [GO:0005509]; ErbB-2 class receptor binding [GO:0005176]; extracellular matrix constituent, lubricant activity [GO:0030197]	GO:0005176; GO:0005509; GO:0007160; GO:0010469; GO:0010669; GO:0016021; GO:0030197		
B3EWY9	TRINITY_DN197452_c2_g1_i1.p1	B3EWY9	MLP_ACRMI	reviewed	Mucin-like protein (Fragment)		1594	cell-matrix adhesion [GO:0007160]; epithelial structure maintenance [GO:0010669]; regulation of signaling receptor activity [GO:0010469]	integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; ErbB-2 class receptor binding [GO:0005176]; extracellular matrix constituent, lubricant activity [GO:0030197]; cell-matrix adhesion [GO:0007160]; epithelial structure maintenance [GO:0010669]; regulation of signaling receptor activity [GO:0010469]	calcium ion binding [GO:0005509]; ErbB-2 class receptor binding [GO:0005176]; extracellular matrix constituent, lubricant activity [GO:0030197]	GO:0005176; GO:0005509; GO:0007160; GO:0010469; GO:0010669; GO:0016021; GO:0030197		
B8RJM0	TRINITY_DN177851_c1_g1_i3.p1	B8RJM0	USOM3_ACRMI	reviewed	Uncharacterized skeletal organic matrix protein 3 (Uncharacterized SOMP-3) (Fragment)		433		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021		
